model	subset	n_val	n_test	n_full	gt_in_prompt	errorprobe_step@1_val	errorprobe_step@1_test	errorprobe_step@1_full	errorprobe_agent@1_val	errorprobe_agent@1_test	errorprobe_agent@1_full	errorprobe_bt_step@1_val	errorprobe_bt_step@1_test	errorprobe_bt_step@1_full	errorprobe_bt_agent@1_val	errorprobe_bt_agent@1_test	errorprobe_bt_agent@1_full	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	algorithm-generated	26.0	63.0	126.0	0.0	0.21346153846153845	0.21349206349206348	0.20634920634920637	0.3961538461538462	0.38095238095238093	0.38888888888888895	0.07500000000000001	0.09365079365079365	0.08730158730158728	0.25384615384615383	0.3055555555555555	0.2936507936507936	0.40576923076923077	0.40793650793650793	0.4047619047619048	0.5596153846153846	0.553968253968254	0.5555555555555556	0.40793650793650793	0.553968253968254	0.4047619047619048	0.5555555555555556
qwen3.5-9b	hand-crafted	12.0	29.0	58.0	0.0	0.15416666666666667	0.20172413793103447	0.1896551724137931	0.4750000000000001	0.5086206896551724	0.5	0.125	0.13103448275862067	0.1379310344827586	0.5916666666666667	0.5741379310344829	0.5689655172413792	0.1625	0.19310344827586207	0.1896551724137931	0.5541666666666668	0.6293103448275863	0.6034482758620691	0.2189655172413793	0.6327586206896552	0.1896551724137931	0.6034482758620691
deepseek-8b	algorithm-generated	26.0	63.0	126.0	0.0	0.15769230769230771	0.16984126984126985	0.16666666666666663	0.24999999999999994	0.2595238095238095	0.2619047619047619	0.0038461538461538464	0.006349206349206349	0.007936507936507936	0.33076923076923076	0.3674603174603174	0.3571428571428571	0.21346153846153845	0.22380952380952382	0.21428571428571427	0.3576923076923077	0.38888888888888895	0.37301587301587313	0.2253968253968254	0.4007936507936508	0.21428571428571427	0.37301587301587313
deepseek-8b	hand-crafted	12.0	29.0	58.0	0.0	0.024999999999999998	0.06379310344827585	0.05172413793103449	0.5666666666666667	0.5913793103448275	0.5862068965517241	0.09583333333333331	0.11724137931034484	0.12068965517241378	0.6083333333333334	0.596551724137931	0.6034482758620691	0.0875	0.10689655172413795	0.10344827586206898	0.3875	0.44482758620689655	0.4310344827586207	0.13103448275862067	0.6172413793103447	0.12068965517241378	0.6034482758620691
