model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	algorithm-generated	errorprobe	DONE	126	126	0	0
qwen3.5-9b	algorithm-generated	errorprobe_bt	DONE	126	126	0	0
qwen3.5-9b	algorithm-generated	errorprobe_paper	DONE	126	126	0	5
qwen3.5-9b	hand-crafted	errorprobe	DONE	58	58	0	0
qwen3.5-9b	hand-crafted	errorprobe_bt	DONE	58	58	0	0
qwen3.5-9b	hand-crafted	errorprobe_paper	DONE	58	58	0	1
deepseek-8b	algorithm-generated	errorprobe	DONE	126	126	0	0
deepseek-8b	algorithm-generated	errorprobe_bt	DONE	126	126	0	0
deepseek-8b	algorithm-generated	errorprobe_paper	DONE	126	126	0	0
deepseek-8b	hand-crafted	errorprobe	DONE	58	58	0	0
deepseek-8b	hand-crafted	errorprobe_bt	DONE	58	58	0	0
deepseek-8b	hand-crafted	errorprobe_paper	DONE	58	58	0	1
gpt-4o	algorithm-generated	errorprobe	MISSING	0	126	0	0
gpt-4o	algorithm-generated	errorprobe_bt	MISSING	0	126	0	0
gpt-4o	algorithm-generated	errorprobe_paper	MISSING	0	126	0	0
gpt-4o	hand-crafted	errorprobe	MISSING	0	58	0	0
gpt-4o	hand-crafted	errorprobe_bt	MISSING	0	58	0	0
gpt-4o	hand-crafted	errorprobe_paper	MISSING	0	58	0	0
gpt-5	algorithm-generated	errorprobe	MISSING	0	126	0	0
gpt-5	algorithm-generated	errorprobe_bt	MISSING	0	126	0	0
gpt-5	algorithm-generated	errorprobe_paper	MISSING	0	126	0	0
gpt-5	hand-crafted	errorprobe	MISSING	0	58	0	0
gpt-5	hand-crafted	errorprobe_bt	MISSING	0	58	0	0
gpt-5	hand-crafted	errorprobe_paper	MISSING	0	58	0	0
