subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
code	deepseek-8b	oat.s42	0.0577	0.1654	0.0853	0.1654	0.0600	0.1575	0.0810	0.1575	0.0709	0.1339	0.1654	0.1129	0.2520	0.4567	0.5354	0.6378	0.6929	0.4169	0.0529	127
code	deepseek-8b	oat.s43	0.0604	0.1732	0.0892	0.1732	0.0587	0.1496	0.0788	0.1496	0.0630	0.1260	0.1732	0.1102	0.2283	0.4488	0.5276	0.6299	0.6693	0.4025	0.0479	127
code	deepseek-8b	oat.s44	0.0551	0.1575	0.0814	0.1575	0.0633	0.1417	0.0811	0.1417	0.0709	0.1260	0.1575	0.1089	0.2283	0.4409	0.5354	0.6063	0.6614	0.3991	0.0476	127
code	deepseek-8b	oat.s45	0.0577	0.1654	0.0853	0.1654	0.0692	0.1496	0.0887	0.1496	0.0709	0.1260	0.1654	0.1115	0.2362	0.4488	0.5354	0.6378	0.6850	0.4215	0.0532	127
code	deepseek-8b	oat.s46	0.0604	0.1732	0.0892	0.1732	0.0605	0.1732	0.0847	0.1732	0.0709	0.1339	0.1732	0.1155	0.2126	0.4409	0.5354	0.6299	0.6772	0.4166	0.0528	127
code	deepseek-8b	stepfinder-alg.s42	0.0367	0.1024	0.0538	0.1024					0.0315	0.0630	0.1024	0.0604	0.1024	0.2126	0.3386	0.4803	0.5984	0.5252	0.0556	127
code	deepseek-8b	stepfinder-alg.s43	0.0341	0.0945	0.0499	0.0945					0.0079	0.0630	0.0945	0.0459	0.0866	0.1496	0.2047	0.4173	0.5433	0.5436	0.0590	127
code	deepseek-8b	stepfinder-alg.s44	0.0315	0.0866	0.0459	0.0866					0.0315	0.0551	0.0866	0.0538	0.0709	0.1339	0.3307	0.4094	0.5118	0.4360	0.0442	127
code	deepseek-8b	stepfinder-alg.s45	0.0315	0.0866	0.0459	0.0866					0.0157	0.0709	0.0866	0.0486	0.0866	0.1496	0.2205	0.4409	0.5669	0.6141	0.0634	127
code	deepseek-8b	stepfinder-alg.s46	0.0866	0.2520	0.1286	0.2520					0.0472	0.1024	0.2520	0.1247	0.4016	0.4961	0.6142	0.6772	0.7323	0.6679	0.0770	127
code	deepseek-8b	stepfinder.s42	0.0656	0.1890	0.0971	0.1890					0.0472	0.1102	0.1890	0.1050	0.1969	0.3071	0.3937	0.5984	0.6614	0.7187	0.1005	127
code	deepseek-8b	stepfinder.s43	0.0656	0.1890	0.0971	0.1890					0.0236	0.0709	0.1890	0.0866	0.1969	0.3780	0.4803	0.5433	0.5906	0.6915	0.0920	127
code	deepseek-8b	stepfinder.s44	0.1575	0.4646	0.2349	0.4646					0.1417	0.3307	0.4646	0.2808	0.4094	0.5512	0.6693	0.7087	0.7559	0.7776	0.1669	127
code	deepseek-8b	stepfinder.s45	0.1286	0.3780	0.1916	0.3780					0.1102	0.2362	0.3780	0.2205	0.4016	0.6063	0.6850	0.7559	0.7953	0.7788	0.1494	127
code	deepseek-8b	stepfinder.s46	0.1234	0.3622	0.1837	0.3622					0.1339	0.2598	0.3622	0.2310	0.4094	0.4724	0.6457	0.7795	0.8189	0.7920	0.1412	127
code	qwen3-14b	oat.s42	0.0551	0.1575	0.0814	0.1575	0.0539	0.1575	0.0749	0.1575	0.0551	0.1339	0.1575	0.1024	0.2283	0.4646	0.5906	0.6772	0.7087	0.3714	0.0423	127
code	qwen3-14b	oat.s43	0.0551	0.1575	0.0814	0.1575	0.0517	0.1260	0.0678	0.1260	0.0551	0.1339	0.1575	0.1024	0.2047	0.4331	0.5512	0.6457	0.6929	0.3607	0.0483	127
code	qwen3-14b	oat.s44	0.0551	0.1575	0.0814	0.1575	0.0553	0.1496	0.0760	0.1496	0.0472	0.1181	0.1575	0.0958	0.2205	0.4488	0.5748	0.6614	0.6929	0.3665	0.0419	127
code	qwen3-14b	oat.s45	0.0499	0.1417	0.0735	0.1417	0.0486	0.1181	0.0630	0.1181	0.0551	0.1339	0.1417	0.0971	0.2520	0.4803	0.5748	0.6772	0.7008	0.3655	0.0424	127
code	qwen3-14b	oat.s46	0.0499	0.1417	0.0735	0.1417	0.0527	0.1417	0.0719	0.1417	0.0551	0.1181	0.1417	0.0945	0.2126	0.4567	0.5512	0.6378	0.6614	0.3512	0.0404	127
code	qwen3-14b	stepfinder-alg.s42	0.0394	0.1102	0.0577	0.1102					0.0394	0.0709	0.1102	0.0682	0.0787	0.2047	0.2913	0.3543	0.5118	0.5080	0.0490	127
code	qwen3-14b	stepfinder-alg.s43	0.0236	0.0630	0.0341	0.0630					0.0157	0.0472	0.0630	0.0367	0.0866	0.1811	0.2205	0.2677	0.4724	0.4974	0.0461	127
code	qwen3-14b	stepfinder-alg.s44	0.0446	0.1260	0.0656	0.1260					0.0472	0.0709	0.1260	0.0774	0.0945	0.2126	0.4882	0.5827	0.6614	0.5083	0.0550	127
code	qwen3-14b	stepfinder-alg.s45	0.0394	0.1102	0.0577	0.1102					0.0236	0.0551	0.1102	0.0577	0.1575	0.3386	0.4724	0.5354	0.6457	0.5867	0.0609	127
code	qwen3-14b	stepfinder-alg.s46	0.1155	0.3386	0.1719	0.3386					0.0079	0.1417	0.3386	0.1404	0.0787	0.1102	0.2047	0.4961	0.5827	0.6632	0.0792	127
code	qwen3-14b	stepfinder.s42	0.0945	0.2756	0.1404	0.2756					0.0472	0.2047	0.2756	0.1496	0.1102	0.2126	0.2835	0.3543	0.5276	0.6336	0.0947	127
code	qwen3-14b	stepfinder.s43	0.0367	0.1024	0.0538	0.1024					0.0236	0.0630	0.1024	0.0564	0.1496	0.1811	0.3622	0.4331	0.5827	0.5565	0.0670	127
code	qwen3-14b	stepfinder.s44	0.1050	0.3071	0.1562	0.3071					0.0787	0.1181	0.3071	0.1614	0.1181	0.2283	0.4173	0.6220	0.6850	0.6824	0.0984	127
code	qwen3-14b	stepfinder.s45	0.0709	0.2047	0.1050	0.2047					0.0709	0.1260	0.2047	0.1247	0.1417	0.2598	0.4646	0.5827	0.6457	0.6356	0.0805	127
code	qwen3-14b	stepfinder.s46	0.0551	0.1575	0.0814	0.1575					0.0866	0.1102	0.1575	0.1142	0.1496	0.2520	0.2677	0.3543	0.5748	0.6278	0.0693	127
code	qwen3-embedding-0.6b	stepfinder-alg.s42	0.0656	0.1890	0.0971	0.1890					0.0787	0.1496	0.1890	0.1273	0.1890	0.2126	0.3543	0.4646	0.5512	0.5878	0.0619	127
code	qwen3-embedding-0.6b	stepfinder-alg.s43	0.0735	0.2126	0.1089	0.2126					0.0866	0.1575	0.2126	0.1404	0.2992	0.3858	0.5276	0.5984	0.6614	0.6372	0.0735	127
code	qwen3-embedding-0.6b	stepfinder-alg.s44	0.0525	0.1496	0.0774	0.1496					0.0394	0.1102	0.1496	0.0879	0.1890	0.2598	0.4331	0.4961	0.5984	0.5846	0.0615	127
code	qwen3-embedding-0.6b	stepfinder-alg.s45	0.0814	0.2362	0.1207	0.2362					0.0945	0.1575	0.2362	0.1522	0.2756	0.3780	0.4961	0.5512	0.6457	0.6159	0.0704	127
code	qwen3-embedding-0.6b	stepfinder-alg.s46	0.0709	0.2047	0.1050	0.2047					0.1024	0.1496	0.2047	0.1444	0.3071	0.3780	0.5591	0.6220	0.6693	0.6391	0.0777	127
code	qwen3-embedding-0.6b	stepfinder.s42	0.0551	0.1575	0.0814	0.1575					0.0709	0.1260	0.1575	0.1089	0.3307	0.4016	0.5354	0.6063	0.7165	0.6887	0.0955	127
code	qwen3-embedding-0.6b	stepfinder.s43	0.1129	0.3307	0.1680	0.3307					0.1102	0.2598	0.3307	0.2087	0.4173	0.4724	0.5906	0.7008	0.7874	0.7296	0.1325	127
code	qwen3-embedding-0.6b	stepfinder.s44	0.0709	0.2047	0.1050	0.2047					0.0630	0.1339	0.2047	0.1220	0.2126	0.3386	0.5512	0.6063	0.7480	0.6611	0.0870	127
code	qwen3-embedding-0.6b	stepfinder.s45	0.0577	0.1654	0.0853	0.1654					0.0787	0.1260	0.1654	0.1155	0.1732	0.2126	0.4409	0.5197	0.6614	0.6525	0.0952	127
code	qwen3-embedding-0.6b	stepfinder.s46	0.0814	0.2362	0.1207	0.2362					0.0630	0.1496	0.2362	0.1352	0.2913	0.3858	0.5591	0.6614	0.7402	0.6902	0.1021	127
code	qwen3.5-27b	oat.s42	0.0630	0.1811	0.0932	0.1811	0.0725	0.2205	0.1002	0.2205	0.1102	0.1575	0.1811	0.1417	0.3465	0.4488	0.5906	0.6693	0.7165	0.3518	0.0409	127
code	qwen3.5-27b	oat.s43	0.0604	0.1732	0.0892	0.1732	0.0712	0.1811	0.0940	0.1811	0.1024	0.1417	0.1732	0.1325	0.3307	0.4331	0.5591	0.6378	0.6850	0.3623	0.0406	127
code	qwen3.5-27b	oat.s44	0.0630	0.1811	0.0932	0.1811	0.0742	0.1969	0.0972	0.1969	0.1024	0.1496	0.1811	0.1365	0.3071	0.3937	0.4882	0.5827	0.6220	0.3516	0.0408	127
code	qwen3.5-27b	oat.s45	0.0682	0.1969	0.1010	0.1969	0.0592	0.1969	0.0859	0.1969	0.1024	0.1260	0.1969	0.1378	0.3228	0.4331	0.5276	0.6142	0.6614	0.3444	0.0403	127
code	qwen3.5-27b	oat.s46	0.0604	0.1732	0.0892	0.1732	0.0693	0.1811	0.0915	0.1811	0.0945	0.1496	0.1732	0.1299	0.3228	0.4094	0.5354	0.6299	0.6693	0.3427	0.0395	127
code	qwen3.5-27b	stepfinder-alg.s42	0.1312	0.3858	0.1955	0.3858					0.0630	0.2677	0.3858	0.2047	0.1969	0.5197	0.6299	0.6772	0.7165	0.6294	0.1047	127
code	qwen3.5-27b	stepfinder-alg.s43	0.1181	0.3465	0.1759	0.3465					0.0551	0.2598	0.3465	0.1864	0.1496	0.4488	0.5906	0.6457	0.6693	0.5962	0.0951	127
code	qwen3.5-27b	stepfinder-alg.s44	0.0656	0.1890	0.0971	0.1890					0.0472	0.1260	0.1890	0.1076	0.1496	0.3780	0.4724	0.6063	0.6850	0.5209	0.0578	127
code	qwen3.5-27b	stepfinder-alg.s45	0.1339	0.3937	0.1995	0.3937					0.0709	0.3307	0.3937	0.2218	0.1654	0.4803	0.6220	0.7244	0.7402	0.6409	0.1161	127
