model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder.e1_step@1_val	stepfinder.e1_step@1_test	stepfinder.e1_step@1_full	stepfinder.e1_agent@1_val	stepfinder.e1_agent@1_test	stepfinder.e1_agent@1_full	stepfinder.e2_step@1_val	stepfinder.e2_step@1_test	stepfinder.e2_step@1_full	stepfinder.e2_agent@1_val	stepfinder.e2_agent@1_test	stepfinder.e2_agent@1_full	stepfinder.e3_step@1_val	stepfinder.e3_step@1_test	stepfinder.e3_step@1_full	stepfinder.e3_agent@1_val	stepfinder.e3_agent@1_test	stepfinder.e3_agent@1_full	stepfinder.e4_step@1_val	stepfinder.e4_step@1_test	stepfinder.e4_step@1_full	stepfinder.e4_agent@1_val	stepfinder.e4_agent@1_test	stepfinder.e4_agent@1_full	stepfinder.e5_step@1_val	stepfinder.e5_step@1_test	stepfinder.e5_step@1_full	stepfinder.e5_agent@1_val	stepfinder.e5_agent@1_test	stepfinder.e5_agent@1_full	stepfinder.e6_step@1_val	stepfinder.e6_step@1_test	stepfinder.e6_step@1_full	stepfinder.e6_agent@1_val	stepfinder.e6_agent@1_test	stepfinder.e6_agent@1_full	stepfinder.e7_step@1_val	stepfinder.e7_step@1_test	stepfinder.e7_step@1_full	stepfinder.e7_agent@1_val	stepfinder.e7_agent@1_test	stepfinder.e7_agent@1_full	stepfinder.e8_step@1_val	stepfinder.e8_step@1_test	stepfinder.e8_step@1_full	stepfinder.e8_agent@1_val	stepfinder.e8_agent@1_test	stepfinder.e8_agent@1_full	stepfinder.e9_step@1_val	stepfinder.e9_step@1_test	stepfinder.e9_step@1_full	stepfinder.e9_agent@1_val	stepfinder.e9_agent@1_test	stepfinder.e9_agent@1_full	stepfinder.e10_step@1_val	stepfinder.e10_step@1_test	stepfinder.e10_step@1_full	stepfinder.e10_agent@1_val	stepfinder.e10_agent@1_test	stepfinder.e10_agent@1_full	stepfinder.e11_step@1_val	stepfinder.e11_step@1_test	stepfinder.e11_step@1_full	stepfinder.e11_agent@1_val	stepfinder.e11_agent@1_test	stepfinder.e11_agent@1_full	stepfinder.e12_step@1_val	stepfinder.e12_step@1_test	stepfinder.e12_step@1_full	stepfinder.e12_agent@1_val	stepfinder.e12_agent@1_test	stepfinder.e12_agent@1_full	stepfinder.e13_step@1_val	stepfinder.e13_step@1_test	stepfinder.e13_step@1_full	stepfinder.e13_agent@1_val	stepfinder.e13_agent@1_test	stepfinder.e13_agent@1_full	stepfinder.e14_step@1_val	stepfinder.e14_step@1_test	stepfinder.e14_step@1_full	stepfinder.e14_agent@1_val	stepfinder.e14_agent@1_test	stepfinder.e14_agent@1_full	stepfinder.e15_step@1_val	stepfinder.e15_step@1_test	stepfinder.e15_step@1_full	stepfinder.e15_agent@1_val	stepfinder.e15_agent@1_test	stepfinder.e15_agent@1_full	stepfinder.e16_step@1_val	stepfinder.e16_step@1_test	stepfinder.e16_step@1_full	stepfinder.e16_agent@1_val	stepfinder.e16_agent@1_test	stepfinder.e16_agent@1_full	stepfinder.e17_step@1_val	stepfinder.e17_step@1_test	stepfinder.e17_step@1_full	stepfinder.e17_agent@1_val	stepfinder.e17_agent@1_test	stepfinder.e17_agent@1_full	stepfinder.e18_step@1_val	stepfinder.e18_step@1_test	stepfinder.e18_step@1_full	stepfinder.e18_agent@1_val	stepfinder.e18_agent@1_test	stepfinder.e18_agent@1_full	stepfinder.e19_step@1_val	stepfinder.e19_step@1_test	stepfinder.e19_step@1_full	stepfinder.e19_agent@1_val	stepfinder.e19_agent@1_test	stepfinder.e19_agent@1_full	stepfinder.e20_step@1_val	stepfinder.e20_step@1_test	stepfinder.e20_step@1_full	stepfinder.e20_agent@1_val	stepfinder.e20_agent@1_test	stepfinder.e20_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	magentic	18.0	46.0	91.0	0.0	0.09722222222222222	0.09130434782608696	0.0879120879120879	0.4	0.40652173913043477	0.39560439560439564	0.03333333333333334	0.04347826086956521	0.04395604395604395	0.36111111111111105	0.4054347826086956	0.3846153846153847	0.06944444444444445	0.07608695652173914	0.07692307692307691	0.4722222222222222	0.4347826086956522	0.4395604395604396	0.04722222222222222	0.04456521739130434	0.04395604395604395	0.513888888888889	0.4891304347826087	0.4725274725274725	0.0638888888888889	0.06413043478260869	0.06593406593406594	0.3944444444444444	0.42065217391304344	0.40659340659340665	0.06666666666666668	0.055434782608695665	0.05494505494505495	0.475	0.4641304347826087	0.46153846153846156	0.08333333333333334	0.08369565217391303	0.0879120879120879	0.5027777777777778	0.4554347826086957	0.46153846153846156	0.06944444444444445	0.07282608695652174	0.07692307692307691	0.4305555555555555	0.3923913043478261	0.39560439560439564	0.03333333333333334	0.06304347826086958	0.05494505494505495	0.36111111111111116	0.33478260869565224	0.3296703296703296	0.05277777777777778	0.06739130434782607	0.06593406593406594	0.3472222222222222	0.33043478260869563	0.3186813186813186	0.061111111111111116	0.07065217391304347	0.06593406593406594	0.34444444444444444	0.3489130434782609	0.3516483516483516	0.13333333333333328	0.12282608695652175	0.12087912087912087	0.4972222222222221	0.458695652173913	0.46153846153846156	0.061111111111111116	0.06630434782608696	0.06593406593406594	0.5	0.45434782608695656	0.45054945054945056	0.06666666666666667	0.09565217391304347	0.0879120879120879	0.39722222222222225	0.39565217391304347	0.39560439560439564	0.09722222222222222	0.06521739130434782	0.06593406593406594	0.48611111111111116	0.4521739130434783	0.4395604395604396	0.05555555555555556	0.075	0.06593406593406594	0.35833333333333334	0.37934782608695655	0.3516483516483516	0.05277777777777778	0.06304347826086956	0.05494505494505495	0.4444444444444445	0.46630434782608693	0.45054945054945056	0.030555555555555558	0.032608695652173905	0.03296703296703297	0.4999999999999999	0.4728260869565218	0.46153846153846156	0.061111111111111116	0.05652173913043479	0.05494505494505495	0.36111111111111105	0.3967391304347826	0.37362637362637374	0.05555555555555556	0.06630434782608698	0.06593406593406594	0.39166666666666666	0.38913043478260867	0.39560439560439564	0.13369565217391308	0.5847826086956522	0.12087912087912087	0.4725274725274725
qwen3-embedding-0.6b	captain	17.0	43.0	85.0	0.0	0.12352941176470585	0.11046511627906978	0.10588235294117647	0.5117647058823531	0.47790697674418603	0.47058823529411764	0.11764705882352941	0.12209302325581399	0.11764705882352941	0.3764705882352941	0.42093023255813955	0.3882352941176471	0.16764705882352937	0.1441860465116279	0.1411764705882353	0.47058823529411764	0.4244186046511628	0.411764705882353	0.07352941176470587	0.07209302325581395	0.07058823529411765	0.35882352941176465	0.3255813953488372	0.31764705882352934	0.17058823529411762	0.16279069767441862	0.16470588235294115	0.44411764705882345	0.44186046511627913	0.4235294117647059	0.06176470588235293	0.0755813953488372	0.07058823529411765	0.4117647058823529	0.3546511627906976	0.3647058823529411	0.09705882352941177	0.12790697674418605	0.11764705882352941	0.3323529411764706	0.3430232558139535	0.3294117647058823	0.1	0.14302325581395348	0.12941176470588237	0.43235294117647055	0.43488372093023264	0.411764705882353	0.1323529411764706	0.13953488372093023	0.12941176470588237	0.40294117647058825	0.39767441860465114	0.3882352941176471	0.15	0.15930232558139537	0.15294117647058822	0.4970588235294118	0.46976744186046526	0.4588235294117647	0.08235294117647059	0.11627906976744189	0.10588235294117647	0.34411764705882353	0.4174418604651162	0.3882352941176471	0.12058823529411763	0.1441860465116279	0.12941176470588237	0.42058823529411765	0.40813953488372096	0.3882352941176471	0.08529411764705883	0.08953488372093023	0.09411764705882356	0.34705882352941175	0.35116279069767437	0.3529411764705882	0.12941176470588234	0.13604651162790699	0.12941176470588237	0.3941176470588236	0.377906976744186	0.3647058823529411	0.12058823529411762	0.10465116279069768	0.10588235294117647	0.38529411764705884	0.37558139534883717	0.3647058823529411	0.17058823529411765	0.1953488372093023	0.1764705882352941	0.4676470588235294	0.46395348837209316	0.4470588235294118	0.12941176470588234	0.13139534883720932	0.12941176470588237	0.34705882352941175	0.33488372093023255	0.34117647058823525	0.07941176470588235	0.06744186046511627	0.07058823529411765	0.42058823529411765	0.39651162790697675	0.4000000000000001	0.1529411764705882	0.1372093023255814	0.1411764705882353	0.47058823529411764	0.46976744186046515	0.47058823529411764	0.1176470588235294	0.1069767441860465	0.10588235294117647	0.5058823529411764	0.48139534883720925	0.47058823529411764	0.21511627906976746	0.5837209302325579	0.1764705882352941	0.47058823529411764
qwen3-embedding-0.6b	swe	9.0	22.0	44.0	0.0	0.15555555555555556	0.1568181818181818	0.15909090909090912	0.5333333333333333	0.5568181818181819	0.5454545454545453	0.16111111111111112	0.2045454545454545	0.1818181818181818	0.5611111111111111	0.565909090909091	0.5454545454545453	0.12222222222222223	0.13636363636363633	0.13636363636363633	0.4444444444444445	0.45227272727272716	0.4545454545454546	0.08333333333333334	0.08181818181818182	0.0909090909090909	0.5055555555555555	0.5136363636363637	0.5	0.18333333333333332	0.23863636363636362	0.20454545454545453	0.5611111111111111	0.615909090909091	0.5681818181818182	0.09444444444444444	0.08863636363636362	0.0909090909090909	0.38888888888888884	0.4227272727272727	0.40909090909090906	0.16111111111111112	0.12045454545454544	0.13636363636363633	0.5777777777777777	0.5136363636363637	0.5227272727272728	0.22222222222222224	0.19318181818181818	0.20454545454545453	0.5777777777777777	0.5772727272727273	0.5681818181818182	0.19444444444444448	0.22272727272727275	0.20454545454545453	0.4888888888888888	0.5386363636363637	0.5	0.15555555555555556	0.15227272727272725	0.15909090909090912	0.5444444444444445	0.5477272727272726	0.5454545454545453	0.13333333333333336	0.13409090909090907	0.13636363636363633	0.4722222222222222	0.48636363636363644	0.4772727272727272	0.07222222222222223	0.11363636363636362	0.11363636363636365	0.5333333333333333	0.55	0.5454545454545453	0.08333333333333334	0.11590909090909089	0.11363636363636365	0.46111111111111114	0.4818181818181818	0.4772727272727272	0.11666666666666667	0.13636363636363633	0.13636363636363633	0.5388888888888888	0.5886363636363636	0.5681818181818182	0.2444444444444444	0.24318181818181822	0.2272727272727273	0.5277777777777778	0.5886363636363636	0.5454545454545453	0.1	0.07954545454545453	0.0909090909090909	0.4888888888888888	0.5204545454545454	0.5	0.09444444444444444	0.08863636363636364	0.11363636363636365	0.55	0.5	0.5227272727272728	0.15555555555555559	0.16818181818181815	0.15909090909090912	0.5277777777777779	0.525	0.5227272727272728	0.15000000000000002	0.1386363636363636	0.13636363636363633	0.4833333333333333	0.49772727272727274	0.4772727272727272	0.15555555555555556	0.1795454545454545	0.15909090909090912	0.6055555555555554	0.6	0.590909090909091	0.275	0.7499999999999999	0.2272727272727273	0.590909090909091
