seed	method	n_val	n_test	step@1_val	step@1_test	agent@1_val	agent@1_test
1	stepfinder.e1	26.0	63.0	0.3846153846153846	0.3333333333333333	0.6538461538461539	0.5238095238095238
2	stepfinder.e2	26.0	63.0	0.2307692307692307	0.3492063492063492	0.5769230769230769	0.5396825396825397
3	stepfinder.e3	26.0	63.0	0.3461538461538461	0.3333333333333333	0.5	0.492063492063492
4	stepfinder.e4	26.0	63.0	0.1538461538461538	0.238095238095238	0.3076923076923077	0.4603174603174603
5	stepfinder.e5	26.0	63.0	0.3076923076923077	0.3174603174603174	0.4615384615384615	0.5396825396825397
6	stepfinder.e6	26.0	63.0	0.2692307692307692	0.2539682539682539	0.4230769230769231	0.492063492063492
7	stepfinder.e7	26.0	63.0	0.1923076923076923	0.3492063492063492	0.4230769230769231	0.5555555555555556
8	stepfinder.e8	26.0	63.0	0.4615384615384615	0.3174603174603174	0.6538461538461539	0.4761904761904761
9	stepfinder.e9	26.0	63.0	0.3076923076923077	0.2063492063492063	0.4230769230769231	0.3968253968253968
10	stepfinder.e10	26.0	63.0	0.3461538461538461	0.2698412698412698	0.4615384615384615	0.4603174603174603
11	stepfinder.e11	26.0	63.0	0.1538461538461538	0.365079365079365	0.3846153846153846	0.5238095238095238
12	stepfinder.e12	26.0	63.0	0.4615384615384615	0.2698412698412698	0.5384615384615384	0.492063492063492
13	stepfinder.e13	26.0	63.0	0.3076923076923077	0.238095238095238	0.4615384615384615	0.4761904761904761
14	stepfinder.e14	26.0	63.0	0.0769230769230769	0.2539682539682539	0.3846153846153846	0.4444444444444444
15	stepfinder.e15	26.0	63.0	0.2307692307692307	0.2698412698412698	0.5769230769230769	0.4444444444444444
16	stepfinder.e16	26.0	63.0	0.3076923076923077	0.2539682539682539	0.5384615384615384	0.4285714285714285
17	stepfinder.e17	26.0	63.0	0.2307692307692307	0.3968253968253968	0.4230769230769231	0.5873015873015873
18	stepfinder.e18	26.0	63.0	0.2692307692307692	0.3809523809523809	0.5769230769230769	0.5396825396825397
19	stepfinder.e19	26.0	63.0	0.1923076923076923	0.2222222222222222	0.2692307692307692	0.5238095238095238
20	stepfinder.e20	26.0	63.0	0.5	0.238095238095238	0.6153846153846154	0.5396825396825397
mean	diagonal	26.0	63.0	0.2865384615384615	0.2928571428571428	0.48269230769230764	0.4968253968253967
