seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca.s42_step@1_val	stepfinder-pca.s42_step@1_test	stepfinder-pca.s42_step@1_full	stepfinder-pca.s42_agent@1_val	stepfinder-pca.s42_agent@1_test	stepfinder-pca.s42_agent@1_full	stepfinder-pca.s43_step@1_val	stepfinder-pca.s43_step@1_test	stepfinder-pca.s43_step@1_full	stepfinder-pca.s43_agent@1_val	stepfinder-pca.s43_agent@1_test	stepfinder-pca.s43_agent@1_full	stepfinder-pca.s44_step@1_val	stepfinder-pca.s44_step@1_test	stepfinder-pca.s44_step@1_full	stepfinder-pca.s44_agent@1_val	stepfinder-pca.s44_agent@1_test	stepfinder-pca.s44_agent@1_full	stepfinder-pca.s45_step@1_val	stepfinder-pca.s45_step@1_test	stepfinder-pca.s45_step@1_full	stepfinder-pca.s45_agent@1_val	stepfinder-pca.s45_agent@1_test	stepfinder-pca.s45_agent@1_full	stepfinder-pca.s46_step@1_val	stepfinder-pca.s46_step@1_test	stepfinder-pca.s46_step@1_full	stepfinder-pca.s46_agent@1_val	stepfinder-pca.s46_agent@1_test	stepfinder-pca.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	63	126	False	0.19230769230769232	0.25396825396825395	0.24603174603174602	0.34615384615384615	0.4444444444444444	0.4365079365079365	0.19230769230769232	0.19047619047619047	0.20634920634920634	0.38461538461538464	0.49206349206349204	0.4603174603174603	0.2692307692307692	0.30158730158730157	0.2857142857142857	0.46153846153846156	0.5555555555555556	0.5158730158730159	0.19230769230769232	0.1746031746031746	0.1984126984126984	0.34615384615384615	0.38095238095238093	0.42063492063492064	0.15384615384615385	0.2698412698412698	0.2619047619047619	0.4230769230769231	0.5079365079365079	0.5158730158730159	0.30158730158730157	0.5555555555555556	0.2857142857142857	0.5158730158730159
2	26	63	126	False	0.2692307692307692	0.2698412698412698	0.24603174603174602	0.4230769230769231	0.4444444444444444	0.4365079365079365	0.23076923076923078	0.23809523809523808	0.20634920634920634	0.4230769230769231	0.49206349206349204	0.4603174603174603	0.34615384615384615	0.2857142857142857	0.2857142857142857	0.5	0.5714285714285714	0.5158730158730159	0.15384615384615385	0.25396825396825395	0.1984126984126984	0.34615384615384615	0.49206349206349204	0.42063492063492064	0.38461538461538464	0.2857142857142857	0.2619047619047619	0.6153846153846154	0.5238095238095238	0.5158730158730159	0.2857142857142857	0.5714285714285714	0.2857142857142857	0.5158730158730159
3	26	63	126	False	0.3076923076923077	0.2698412698412698	0.24603174603174602	0.4230769230769231	0.49206349206349204	0.4365079365079365	0.34615384615384615	0.19047619047619047	0.20634920634920634	0.46153846153846156	0.42857142857142855	0.4603174603174603	0.38461538461538464	0.2698412698412698	0.2857142857142857	0.5	0.5238095238095238	0.5158730158730159	0.4230769230769231	0.15873015873015872	0.1984126984126984	0.5	0.3968253968253968	0.42063492063492064	0.34615384615384615	0.2857142857142857	0.2619047619047619	0.5384615384615384	0.5555555555555556	0.5158730158730159	0.2857142857142857	0.5555555555555556	0.2857142857142857	0.5158730158730159
4	26	63	126	False	0.2692307692307692	0.2857142857142857	0.24603174603174602	0.5384615384615384	0.47619047619047616	0.4365079365079365	0.23076923076923078	0.23809523809523808	0.20634920634920634	0.5769230769230769	0.4603174603174603	0.4603174603174603	0.2692307692307692	0.36507936507936506	0.2857142857142857	0.5769230769230769	0.5396825396825397	0.5158730158730159	0.11538461538461539	0.20634920634920634	0.1984126984126984	0.38461538461538464	0.4444444444444444	0.42063492063492064	0.3076923076923077	0.2857142857142857	0.2619047619047619	0.5384615384615384	0.5238095238095238	0.5158730158730159	0.36507936507936506	0.5396825396825397	0.2857142857142857	0.5158730158730159
5	26	63	126	False	0.15384615384615385	0.2857142857142857	0.24603174603174602	0.3076923076923077	0.5079365079365079	0.4365079365079365	0.23076923076923078	0.2222222222222222	0.20634920634920634	0.5	0.47619047619047616	0.4603174603174603	0.23076923076923078	0.30158730158730157	0.2857142857142857	0.46153846153846156	0.5396825396825397	0.5158730158730159	0.15384615384615385	0.1746031746031746	0.1984126984126984	0.3076923076923077	0.3968253968253968	0.42063492063492064	0.23076923076923078	0.23809523809523808	0.2619047619047619	0.4230769230769231	0.5555555555555556	0.5158730158730159	0.30158730158730157	0.5555555555555556	0.2857142857142857	0.5158730158730159
6	26	63	126	False	0.19230769230769232	0.23809523809523808	0.24603174603174602	0.34615384615384615	0.42857142857142855	0.4365079365079365	0.15384615384615385	0.1746031746031746	0.20634920634920634	0.34615384615384615	0.4126984126984127	0.4603174603174603	0.2692307692307692	0.2698412698412698	0.2857142857142857	0.34615384615384615	0.5238095238095238	0.5158730158730159	0.07692307692307693	0.19047619047619047	0.1984126984126984	0.19230769230769232	0.4603174603174603	0.42063492063492064	0.15384615384615385	0.30158730158730157	0.2619047619047619	0.3076923076923077	0.5714285714285714	0.5158730158730159	0.30158730158730157	0.5714285714285714	0.2857142857142857	0.5158730158730159
7	26	63	126	False	0.19230769230769232	0.23809523809523808	0.24603174603174602	0.4230769230769231	0.42857142857142855	0.4365079365079365	0.15384615384615385	0.2222222222222222	0.20634920634920634	0.38461538461538464	0.5079365079365079	0.4603174603174603	0.2692307692307692	0.2698412698412698	0.2857142857142857	0.46153846153846156	0.5079365079365079	0.5158730158730159	0.15384615384615385	0.2222222222222222	0.1984126984126984	0.34615384615384615	0.5079365079365079	0.42063492063492064	0.23076923076923078	0.25396825396825395	0.2619047619047619	0.4230769230769231	0.5555555555555556	0.5158730158730159	0.2698412698412698	0.5555555555555556	0.2857142857142857	0.5158730158730159
8	26	63	126	False	0.3076923076923077	0.23809523809523808	0.24603174603174602	0.4230769230769231	0.47619047619047616	0.4365079365079365	0.2692307692307692	0.1746031746031746	0.20634920634920634	0.5384615384615384	0.42857142857142855	0.4603174603174603	0.34615384615384615	0.2698412698412698	0.2857142857142857	0.5769230769230769	0.42857142857142855	0.5158730158730159	0.3076923076923077	0.1746031746031746	0.1984126984126984	0.5	0.4126984126984127	0.42063492063492064	0.34615384615384615	0.23809523809523808	0.2619047619047619	0.6538461538461539	0.5079365079365079	0.5158730158730159	0.2698412698412698	0.5079365079365079	0.2857142857142857	0.5158730158730159
9	26	63	126	False	0.4230769230769231	0.1746031746031746	0.24603174603174602	0.6153846153846154	0.42857142857142855	0.4365079365079365	0.2692307692307692	0.20634920634920634	0.20634920634920634	0.5384615384615384	0.47619047619047616	0.4603174603174603	0.34615384615384615	0.2857142857142857	0.2857142857142857	0.5769230769230769	0.5238095238095238	0.5158730158730159	0.2692307692307692	0.19047619047619047	0.1984126984126984	0.5	0.38095238095238093	0.42063492063492064	0.4230769230769231	0.19047619047619047	0.2619047619047619	0.6923076923076923	0.49206349206349204	0.5158730158730159	0.2857142857142857	0.5238095238095238	0.2857142857142857	0.5158730158730159
10	26	63	126	False	0.15384615384615385	0.3333333333333333	0.24603174603174602	0.23076923076923078	0.5238095238095238	0.4365079365079365	0.19230769230769232	0.25396825396825395	0.20634920634920634	0.38461538461538464	0.49206349206349204	0.4603174603174603	0.3076923076923077	0.3492063492063492	0.2857142857142857	0.4230769230769231	0.6349206349206349	0.5158730158730159	0.2692307692307692	0.19047619047619047	0.1984126984126984	0.46153846153846156	0.4603174603174603	0.42063492063492064	0.23076923076923078	0.3492063492063492	0.2619047619047619	0.34615384615384615	0.6507936507936508	0.5158730158730159	0.3492063492063492	0.6507936507936508	0.2857142857142857	0.5158730158730159
11	26	63	126	False	0.3076923076923077	0.23809523809523808	0.24603174603174602	0.5384615384615384	0.3968253968253968	0.4365079365079365	0.23076923076923078	0.20634920634920634	0.20634920634920634	0.5	0.4444444444444444	0.4603174603174603	0.3076923076923077	0.23809523809523808	0.2857142857142857	0.6153846153846154	0.42857142857142855	0.5158730158730159	0.23076923076923078	0.19047619047619047	0.1984126984126984	0.5384615384615384	0.4126984126984127	0.42063492063492064	0.23076923076923078	0.23809523809523808	0.2619047619047619	0.6538461538461539	0.4603174603174603	0.5158730158730159	0.23809523809523808	0.4603174603174603	0.2857142857142857	0.5158730158730159
12	26	63	126	False	0.3076923076923077	0.19047619047619047	0.24603174603174602	0.46153846153846156	0.4603174603174603	0.4365079365079365	0.23076923076923078	0.19047619047619047	0.20634920634920634	0.5384615384615384	0.47619047619047616	0.4603174603174603	0.34615384615384615	0.23809523809523808	0.2857142857142857	0.5769230769230769	0.5079365079365079	0.5158730158730159	0.19230769230769232	0.20634920634920634	0.1984126984126984	0.38461538461538464	0.4126984126984127	0.42063492063492064	0.2692307692307692	0.2222222222222222	0.2619047619047619	0.5	0.5555555555555556	0.5158730158730159	0.23809523809523808	0.5555555555555556	0.2857142857142857	0.5158730158730159
13	26	63	126	False	0.23076923076923078	0.2857142857142857	0.24603174603174602	0.4230769230769231	0.4444444444444444	0.4365079365079365	0.23076923076923078	0.23809523809523808	0.20634920634920634	0.46153846153846156	0.4603174603174603	0.4603174603174603	0.38461538461538464	0.30158730158730157	0.2857142857142857	0.5	0.5396825396825397	0.5158730158730159	0.19230769230769232	0.1746031746031746	0.1984126984126984	0.4230769230769231	0.36507936507936506	0.42063492063492064	0.3076923076923077	0.30158730158730157	0.2619047619047619	0.46153846153846156	0.5238095238095238	0.5158730158730159	0.30158730158730157	0.5396825396825397	0.2857142857142857	0.5158730158730159
14	26	63	126	False	0.23076923076923078	0.23809523809523808	0.24603174603174602	0.38461538461538464	0.4603174603174603	0.4365079365079365	0.15384615384615385	0.1746031746031746	0.20634920634920634	0.38461538461538464	0.47619047619047616	0.4603174603174603	0.11538461538461539	0.2857142857142857	0.2857142857142857	0.38461538461538464	0.5079365079365079	0.5158730158730159	0.19230769230769232	0.15873015873015872	0.1984126984126984	0.2692307692307692	0.4444444444444444	0.42063492063492064	0.2692307692307692	0.25396825396825395	0.2619047619047619	0.5384615384615384	0.5396825396825397	0.5158730158730159	0.2857142857142857	0.5396825396825397	0.2857142857142857	0.5158730158730159
15	26	63	126	False	0.2692307692307692	0.23809523809523808	0.24603174603174602	0.5	0.3968253968253968	0.4365079365079365	0.23076923076923078	0.2222222222222222	0.20634920634920634	0.5769230769230769	0.4126984126984127	0.4603174603174603	0.2692307692307692	0.30158730158730157	0.2857142857142857	0.5384615384615384	0.49206349206349204	0.5158730158730159	0.19230769230769232	0.1746031746031746	0.1984126984126984	0.38461538461538464	0.36507936507936506	0.42063492063492064	0.19230769230769232	0.2698412698412698	0.2619047619047619	0.5	0.5396825396825397	0.5158730158730159	0.30158730158730157	0.5396825396825397	0.2857142857142857	0.5158730158730159
16	26	63	126	False	0.23076923076923078	0.2222222222222222	0.24603174603174602	0.4230769230769231	0.38095238095238093	0.4365079365079365	0.23076923076923078	0.15873015873015872	0.20634920634920634	0.4230769230769231	0.3968253968253968	0.4603174603174603	0.19230769230769232	0.2698412698412698	0.2857142857142857	0.34615384615384615	0.5238095238095238	0.5158730158730159	0.19230769230769232	0.19047619047619047	0.1984126984126984	0.5	0.31746031746031744	0.42063492063492064	0.19230769230769232	0.2857142857142857	0.2619047619047619	0.5	0.4603174603174603	0.5158730158730159	0.2857142857142857	0.5238095238095238	0.2857142857142857	0.5158730158730159
17	26	63	126	False	0.07692307692307693	0.2698412698412698	0.24603174603174602	0.3076923076923077	0.4444444444444444	0.4365079365079365	0.15384615384615385	0.2222222222222222	0.20634920634920634	0.5	0.4444444444444444	0.4603174603174603	0.15384615384615385	0.30158730158730157	0.2857142857142857	0.4230769230769231	0.5079365079365079	0.5158730158730159	0.19230769230769232	0.14285714285714285	0.1984126984126984	0.38461538461538464	0.36507936507936506	0.42063492063492064	0.15384615384615385	0.2698412698412698	0.2619047619047619	0.4230769230769231	0.5079365079365079	0.5158730158730159	0.30158730158730157	0.5079365079365079	0.2857142857142857	0.5158730158730159
18	26	63	126	False	0.2692307692307692	0.25396825396825395	0.24603174603174602	0.38461538461538464	0.47619047619047616	0.4365079365079365	0.19230769230769232	0.25396825396825395	0.20634920634920634	0.3076923076923077	0.5873015873015873	0.4603174603174603	0.2692307692307692	0.3333333333333333	0.2857142857142857	0.46153846153846156	0.5873015873015873	0.5158730158730159	0.07692307692307693	0.2222222222222222	0.1984126984126984	0.3076923076923077	0.4603174603174603	0.42063492063492064	0.3076923076923077	0.30158730158730157	0.2619047619047619	0.5769230769230769	0.6031746031746031	0.5158730158730159	0.3333333333333333	0.6031746031746031	0.2857142857142857	0.5158730158730159
19	26	63	126	False	0.34615384615384615	0.19047619047619047	0.24603174603174602	0.38461538461538464	0.4603174603174603	0.4365079365079365	0.2692307692307692	0.15873015873015872	0.20634920634920634	0.38461538461538464	0.4603174603174603	0.4603174603174603	0.38461538461538464	0.25396825396825395	0.2857142857142857	0.6153846153846154	0.4444444444444444	0.5158730158730159	0.23076923076923078	0.1746031746031746	0.1984126984126984	0.3076923076923077	0.4444444444444444	0.42063492063492064	0.38461538461538464	0.23809523809523808	0.2619047619047619	0.5769230769230769	0.5238095238095238	0.5158730158730159	0.25396825396825395	0.5238095238095238	0.2857142857142857	0.5158730158730159
20	26	63	126	False	0.2692307692307692	0.23809523809523808	0.24603174603174602	0.46153846153846156	0.4444444444444444	0.4365079365079365	0.38461538461538464	0.15873015873015872	0.20634920634920634	0.5769230769230769	0.3968253968253968	0.4603174603174603	0.38461538461538464	0.2857142857142857	0.2857142857142857	0.5769230769230769	0.5238095238095238	0.5158730158730159	0.19230769230769232	0.2222222222222222	0.1984126984126984	0.5	0.42857142857142855	0.42063492063492064	0.3076923076923077	0.25396825396825395	0.2619047619047619	0.5384615384615384	0.5396825396825397	0.5158730158730159	0.2857142857142857	0.5396825396825397	0.2857142857142857	0.5158730158730159
