model	subset	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	arc	61.0	152.0	304.0	1.0	0.3989071038251366	0.5175438596491229	0.4868421052631579	0.9180327868852459	0.8859649122807017	0.8881578947368421	0.5175438596491229	0.8859649122807017	0.4868421052631579	0.8881578947368421
qwen3.5-9b	gaia	10.0	25.0	50.0	1.0	0.2333333333333333	0.2933333333333334	0.28	0.9	0.7066666666666667	0.7600000000000001	0.2933333333333334	0.7066666666666667	0.28	0.7600000000000001
qwen3.5-9b	hotpot	116.0	289.0	578.0	1.0	0.29310344827586204	0.2918108419838524	0.30103806228373703	0.7586206896551725	0.7462514417531718	0.7560553633217993	0.2918108419838524	0.7462514417531718	0.30103806228373703	0.7560553633217993
qwen3.5-9b	math500	32.0	79.0	157.0	1.0	0.19791666666666666	0.15611814345991562	0.17197452229299362	0.6770833333333334	0.679324894514768	0.6687898089171974	0.15611814345991562	0.679324894514768	0.17197452229299362	0.6687898089171974
qwen3.5-9b	mmlu_pro	19.0	46.0	92.0	1.0	0.3859649122807017	0.2971014492753623	0.31521739130434784	0.7719298245614036	0.8550724637681159	0.8260869565217391	0.2971014492753623	0.8550724637681159	0.31521739130434784	0.8260869565217391
qwen3.5-9b	musique	63.0	156.0	312.0	1.0	0.3439153439153439	0.27136752136752135	0.27884615384615385	0.82010582010582	0.782051282051282	0.7948717948717948	0.27136752136752135	0.782051282051282	0.27884615384615385	0.7948717948717948
qwen3.5-9b	wikimqa	147.0	367.0	733.0	1.0	0.3696145124716553	0.3169845594913715	0.3315143246930423	0.7687074829931971	0.7311534968210718	0.7462482946793997	0.3169845594913715	0.7311534968210718	0.3315143246930423	0.7462482946793997
deepseek-8b	arc	61.0	152.0	304.0	1.0	0.04371584699453552	0.03508771929824561	0.03289473684210526	0.7595628415300547	0.7785087719298245	0.7730263157894738	0.03508771929824561	0.7785087719298245	0.03289473684210526	0.7730263157894738
deepseek-8b	gaia	10.0	25.0	50.0	1.0	0.10000000000000002	0.12	0.14	0.8333333333333334	0.5733333333333334	0.68	0.12	0.5733333333333334	0.14	0.68
deepseek-8b	hotpot	116.0	289.0	578.0	1.0	0.08045977011494253	0.07151095732410612	0.07958477508650519	0.557471264367816	0.5605536332179931	0.5813148788927336	0.07151095732410612	0.5605536332179931	0.07958477508650519	0.5813148788927336
deepseek-8b	math500	32.0	79.0	157.0	1.0	0.0625	0.1350210970464135	0.10828025477707008	0.6145833333333334	0.5864978902953587	0.5605095541401274	0.1350210970464135	0.5864978902953587	0.10828025477707008	0.5605095541401274
deepseek-8b	mmlu_pro	19.0	46.0	92.0	1.0	0.17543859649122806	0.09420289855072463	0.11956521739130437	0.5789473684210527	0.6956521739130435	0.6739130434782609	0.09420289855072463	0.6956521739130435	0.11956521739130437	0.6739130434782609
deepseek-8b	musique	63.0	156.0	312.0	1.0	0.1111111111111111	0.053418803418803416	0.0673076923076923	0.5238095238095237	0.47863247863247865	0.48717948717948717	0.053418803418803416	0.47863247863247865	0.0673076923076923	0.48717948717948717
deepseek-8b	wikimqa	147.0	367.0	733.0	1.0	0.15646258503401358	0.15712988192552224	0.15416098226466576	0.5419501133786848	0.5158946412352406	0.5184174624829468	0.15712988192552224	0.5158946412352406	0.15416098226466576	0.5184174624829468
gpt-4o	arc	61.0	152.0	304.0	1.0	0.726775956284153	0.7653508771929824	0.7598684210526315	0.8688524590163934	0.8662280701754387	0.8651315789473685	0.7653508771929824	0.8662280701754387	0.7598684210526315	0.8651315789473685
gpt-4o	gaia	10.0	25.0	50.0	1.0	0.3666666666666667	0.28	0.3	0.4666666666666666	0.41333333333333333	0.42	0.28	0.41333333333333333	0.3	0.42
gpt-4o	hotpot	116.0	289.0	578.0	1.0	0.2672413793103448	0.29411764705882354	0.2837370242214533	0.7413793103448275	0.7104959630911187	0.7162629757785467	0.29411764705882354	0.7104959630911187	0.2837370242214533	0.7162629757785467
gpt-4o	math500	32.0	79.0	157.0	1.0	0.3854166666666667	0.5063291139240507	0.4522292993630573	0.59375	0.6371308016877637	0.6050955414012739	0.5063291139240507	0.6371308016877637	0.4522292993630573	0.6050955414012739
gpt-4o	mmlu_pro	19.0	46.0	92.0	1.0	0.5789473684210525	0.5652173913043478	0.5869565217391305	0.7368421052631579	0.8043478260869565	0.7717391304347826	0.5652173913043478	0.8043478260869565	0.5869565217391305	0.7717391304347826
gpt-4o	musique	63.0	156.0	312.0	1.0	0.21164021164021163	0.2094017094017094	0.20833333333333334	0.6560846560846562	0.6773504273504273	0.6666666666666666	0.2094017094017094	0.6773504273504273	0.20833333333333334	0.6666666666666666
gpt-4o	wikimqa	147.0	367.0	733.0	1.0	0.2108843537414966	0.19981834695731152	0.19781718963165076	0.6122448979591836	0.6348773841961853	0.6398362892223738	0.19981834695731152	0.6348773841961853	0.19781718963165076	0.6398362892223738
