model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	arc	chief	DONE	304	304	0	0
qwen3.5-9b	gaia	chief	DONE	50	50	0	0
qwen3.5-9b	hotpot	chief	DONE	578	578	0	0
qwen3.5-9b	math500	chief	DONE	157	157	0	0
qwen3.5-9b	mmlu_pro	chief	DONE	92	92	0	0
qwen3.5-9b	musique	chief	DONE	312	312	0	0
qwen3.5-9b	wikimqa	chief	DONE	733	733	0	0
deepseek-8b	arc	chief	DONE	304	304	0	19
deepseek-8b	gaia	chief	DONE	50	50	0	1
deepseek-8b	hotpot	chief	DONE	578	578	0	21
deepseek-8b	math500	chief	DONE	157	157	0	12
deepseek-8b	mmlu_pro	chief	DONE	92	92	0	10
deepseek-8b	musique	chief	DONE	312	312	0	13
deepseek-8b	wikimqa	chief	DONE	733	733	0	27
gpt-4o	arc	chief	DONE	304	304	0	0
gpt-4o	gaia	chief	DONE	50	50	0	0
gpt-4o	hotpot	chief	DONE	578	578	0	0
gpt-4o	math500	chief	DONE	157	157	0	0
gpt-4o	mmlu_pro	chief	DONE	92	92	0	0
gpt-4o	musique	chief	DONE	312	312	0	1
gpt-4o	wikimqa	chief	DONE	733	733	0	0
