seed	method	n_val	n_test	step@1_val	step@1_test	agent@1_val	agent@1_test
1	stepfinder.e1	17.0	43.0	0.4117647058823529	0.0465116279069767	0.7058823529411765	0.6511627906976745
2	stepfinder.e2	17.0	43.0	0.2941176470588235	0.1162790697674418	0.5882352941176471	0.5348837209302325
3	stepfinder.e3	17.0	43.0	0.2941176470588235	0.1627906976744186	0.5882352941176471	0.5813953488372093
4	stepfinder.e4	17.0	43.0	0.1176470588235294	0.0930232558139534	0.4705882352941176	0.4418604651162791
5	stepfinder.e5	17.0	43.0	0.2352941176470588	0.2325581395348837	0.5882352941176471	0.6046511627906976
6	stepfinder.e6	17.0	43.0	0.0588235294117647	0.1162790697674418	0.4117647058823529	0.5581395348837209
7	stepfinder.e7	17.0	43.0	0.1176470588235294	0.1860465116279069	0.5294117647058824	0.4418604651162791
8	stepfinder.e8	17.0	43.0	0.1176470588235294	0.2093023255813953	0.6470588235294118	0.5581395348837209
9	stepfinder.e9	17.0	43.0	0.2352941176470588	0.1627906976744186	0.6470588235294118	0.5116279069767442
10	stepfinder.e10	17.0	43.0	0.1764705882352941	0.2325581395348837	0.6470588235294118	0.6511627906976745
11	stepfinder.e11	17.0	43.0	0.1176470588235294	0.1627906976744186	0.4705882352941176	0.5813953488372093
12	stepfinder.e12	17.0	43.0	0.0588235294117647	0.2325581395348837	0.5882352941176471	0.5348837209302325
13	stepfinder.e13	17.0	43.0	0.0588235294117647	0.1627906976744186	0.2941176470588235	0.5813953488372093
14	stepfinder.e14	17.0	43.0	0.1764705882352941	0.1860465116279069	0.6470588235294118	0.4651162790697674
15	stepfinder.e15	17.0	43.0	0.0588235294117647	0.1860465116279069	0.5294117647058824	0.5116279069767442
16	stepfinder.e16	17.0	43.0	0.2941176470588235	0.2325581395348837	0.6470588235294118	0.627906976744186
17	stepfinder.e17	17.0	43.0	0.2352941176470588	0.1627906976744186	0.5294117647058824	0.4651162790697674
18	stepfinder.e18	17.0	43.0	0.0	0.1395348837209302	0.3529411764705882	0.6511627906976745
19	stepfinder.e19	17.0	43.0	0.2941176470588235	0.1627906976744186	0.8235294117647058	0.6046511627906976
20	stepfinder.e20	17.0	43.0	0.1176470588235294	0.1627906976744186	0.7058823529411765	0.6511627906976745
mean	diagonal	17.0	43.0	0.17352941176470588	0.16744186046511622	0.5705882352941176	0.5604651162790696
