model	subset	method	status	rows	expected	no_pred	fmt_fail
gpt-4o	algorithm-generated	chief	DONE	126	126	0	0
gpt-4o	hand-crafted	chief	DONE	58	58	0	0
gpt-5	algorithm-generated	chief	DONE	126	126	0	0
gpt-5	hand-crafted	chief	DONE	58	58	0	0
