model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	arc	errorprobe	DONE	304	304	0	0
qwen3.5-9b	arc	errorprobe_bt	MISSING	0	304	0	0
qwen3.5-9b	arc	errorprobe_paper	DONE	304	304	0	4
qwen3.5-9b	gaia	errorprobe	DONE	50	50	0	0
qwen3.5-9b	gaia	errorprobe_bt	MISSING	0	50	0	0
qwen3.5-9b	gaia	errorprobe_paper	DONE	50	50	0	4
qwen3.5-9b	hotpot	errorprobe	DONE	578	578	0	0
qwen3.5-9b	hotpot	errorprobe_bt	MISSING	0	578	0	0
qwen3.5-9b	hotpot	errorprobe_paper	DONE	578	578	0	12
qwen3.5-9b	math500	errorprobe	DONE	157	157	0	0
qwen3.5-9b	math500	errorprobe_bt	MISSING	0	157	0	0
qwen3.5-9b	math500	errorprobe_paper	DONE	157	157	0	40
qwen3.5-9b	mmlu_pro	errorprobe	DONE	92	92	0	0
qwen3.5-9b	mmlu_pro	errorprobe_bt	MISSING	0	92	0	0
qwen3.5-9b	mmlu_pro	errorprobe_paper	DONE	92	92	0	9
qwen3.5-9b	musique	errorprobe	DONE	312	312	0	0
qwen3.5-9b	musique	errorprobe_bt	MISSING	0	312	0	0
qwen3.5-9b	musique	errorprobe_paper	DONE	312	312	0	7
qwen3.5-9b	wikimqa	errorprobe	DONE	733	733	0	0
qwen3.5-9b	wikimqa	errorprobe_bt	MISSING	0	733	0	0
qwen3.5-9b	wikimqa	errorprobe_paper	DONE	733	733	0	13
deepseek-8b	arc	errorprobe	DONE	304	304	0	0
deepseek-8b	arc	errorprobe_bt	MISSING	0	304	0	0
deepseek-8b	arc	errorprobe_paper	DONE	304	304	0	3
deepseek-8b	gaia	errorprobe	DONE	50	50	0	0
deepseek-8b	gaia	errorprobe_bt	MISSING	0	50	0	0
deepseek-8b	gaia	errorprobe_paper	DONE	50	50	0	0
deepseek-8b	hotpot	errorprobe	DONE	578	578	0	0
deepseek-8b	hotpot	errorprobe_bt	MISSING	0	578	0	0
deepseek-8b	hotpot	errorprobe_paper	DONE	578	578	0	0
deepseek-8b	math500	errorprobe	DONE	157	157	0	0
deepseek-8b	math500	errorprobe_bt	MISSING	0	157	0	0
deepseek-8b	math500	errorprobe_paper	DONE	157	157	0	1
deepseek-8b	mmlu_pro	errorprobe	DONE	92	92	0	0
deepseek-8b	mmlu_pro	errorprobe_bt	MISSING	0	92	0	0
deepseek-8b	mmlu_pro	errorprobe_paper	DONE	92	92	0	0
deepseek-8b	musique	errorprobe	DONE	312	312	0	0
deepseek-8b	musique	errorprobe_bt	MISSING	0	312	0	0
deepseek-8b	musique	errorprobe_paper	DONE	312	312	0	1
deepseek-8b	wikimqa	errorprobe	DONE	733	733	0	0
deepseek-8b	wikimqa	errorprobe_bt	MISSING	0	733	0	0
deepseek-8b	wikimqa	errorprobe_paper	DONE	733	733	0	0
gpt-4o	arc	errorprobe	MISSING	0	304	0	0
gpt-4o	arc	errorprobe_bt	MISSING	0	304	0	0
gpt-4o	arc	errorprobe_paper	MISSING	0	304	0	0
gpt-4o	gaia	errorprobe	MISSING	0	50	0	0
gpt-4o	gaia	errorprobe_bt	MISSING	0	50	0	0
gpt-4o	gaia	errorprobe_paper	MISSING	0	50	0	0
gpt-4o	hotpot	errorprobe	MISSING	0	578	0	0
gpt-4o	hotpot	errorprobe_bt	MISSING	0	578	0	0
gpt-4o	hotpot	errorprobe_paper	MISSING	0	578	0	0
gpt-4o	math500	errorprobe	MISSING	0	157	0	0
gpt-4o	math500	errorprobe_bt	MISSING	0	157	0	0
gpt-4o	math500	errorprobe_paper	MISSING	0	157	0	0
gpt-4o	mmlu_pro	errorprobe	MISSING	0	92	0	0
gpt-4o	mmlu_pro	errorprobe_bt	MISSING	0	92	0	0
gpt-4o	mmlu_pro	errorprobe_paper	MISSING	0	92	0	0
gpt-4o	musique	errorprobe	MISSING	0	312	0	0
gpt-4o	musique	errorprobe_bt	MISSING	0	312	0	0
gpt-4o	musique	errorprobe_paper	MISSING	0	312	0	0
gpt-4o	wikimqa	errorprobe	MISSING	0	733	0	0
gpt-4o	wikimqa	errorprobe_bt	MISSING	0	733	0	0
gpt-4o	wikimqa	errorprobe_paper	MISSING	0	733	0	0
