model	subset	n_val	n_test	n_full	gt_in_prompt	errorprobe_step@1_val	errorprobe_step@1_test	errorprobe_step@1_full	errorprobe_agent@1_val	errorprobe_agent@1_test	errorprobe_agent@1_full	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
deepseek-8b	math500	32.0	79.0	157.0	0.0	0.3854166666666667	0.48101265822784817	0.4331210191082803	0.5	0.5569620253164557	0.5222929936305732	0.3854166666666667	0.3670886075949367	0.35668789808917195	0.5729166666666666	0.5864978902953587	0.5605095541401274	0.48101265822784817	0.5864978902953587	0.4331210191082803	0.5605095541401274
deepseek-8b	mmlu_pro	19.0	46.0	92.0	0.0	0.6140350877192983	0.5072463768115942	0.5434782608695652	0.6315789473684211	0.644927536231884	0.6413043478260869	0.3333333333333333	0.4710144927536232	0.44565217391304346	0.6491228070175438	0.8043478260869565	0.7608695652173912	0.5144927536231884	0.8043478260869565	0.5434782608695652	0.7608695652173912
deepseek-8b	musique	63.0	156.0	312.0	0.0	0.2328042328042328	0.20299145299145302	0.20512820512820515	0.48148148148148145	0.4914529914529915	0.4967948717948718	0.2857142857142857	0.2735042735042735	0.266025641025641	0.619047619047619	0.6196581196581197	0.6153846153846154	0.2735042735042735	0.6196581196581197	0.266025641025641	0.6153846153846154
deepseek-8b	wikimqa	147.0	367.0	733.0	0.0	0.17233560090702948	0.17257039055404177	0.16780354706684855	0.42857142857142855	0.4641235240690282	0.4597544338335607	0.2675736961451247	0.22343324250681199	0.23738062755798092	0.5963718820861678	0.5785649409627611	0.5770804911323328	0.22343324250681199	0.5785649409627611	0.23738062755798092	0.5770804911323328
gpt-4o	arc	61.0	152.0	304.0	0.0							0.8251366120218578	0.8026315789473685	0.8190789473684209	0.8961748633879781	0.8815789473684211	0.8815789473684209	0.8026315789473685	0.8815789473684211	0.8190789473684209	0.8815789473684209
gpt-4o	gaia	10.0	25.0	50.0	0.0							0.6	0.5066666666666667	0.5	0.6666666666666666	0.6266666666666667	0.64	0.5066666666666667	0.6266666666666667	0.5	0.64
gpt-4o	hotpot	116.0	289.0	578.0	0.0							0.47988505747126436	0.5063437139561707	0.49653979238754326	0.7413793103448275	0.7808535178777394	0.7664359861591695	0.5063437139561707	0.7808535178777394	0.49653979238754326	0.7664359861591695
gpt-4o	math500	32.0	79.0	157.0	0.0							0.5520833333333334	0.5907172995780591	0.5605095541401274	0.5833333333333334	0.6413502109704642	0.5923566878980892	0.5907172995780591	0.6413502109704642	0.5605095541401274	0.5923566878980892
gpt-4o	mmlu_pro	19.0	46.0	92.0	0.0							0.8245614035087719	0.8043478260869565	0.7934782608695651	0.7894736842105262	0.8405797101449274	0.8260869565217391	0.8043478260869565	0.8405797101449274	0.7934782608695651	0.8260869565217391
gpt-4o	musique	63.0	156.0	312.0	0.0							0.42328042328042326	0.48931623931623935	0.4519230769230769	0.7513227513227513	0.7649572649572649	0.7596153846153846	0.48931623931623935	0.7649572649572649	0.4519230769230769	0.7596153846153846
gpt-4o	wikimqa	147.0	367.0	733.0	0.0							0.5170068027210885	0.49046321525885556	0.5006821282401092	0.7301587301587302	0.6920980926430517	0.7121418826739427	0.49046321525885556	0.6920980926430517	0.5006821282401092	0.7121418826739427
