model	subset	n_val	n_test	n_full	gt_in_prompt	errorprobe_step@1_val	errorprobe_step@1_test	errorprobe_step@1_full	errorprobe_agent@1_val	errorprobe_agent@1_test	errorprobe_agent@1_full	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	arc	61.0	152.0	304.0	0.0	0.8087431693989071	0.7785087719298245	0.7960526315789473	0.8688524590163934	0.8399122807017544	0.8486842105263158	0.8469945355191256	0.8399122807017544	0.8421052631578947	0.9125683060109289	0.8815789473684211	0.8782894736842105	0.8399122807017544	0.8815789473684211	0.8421052631578947	0.8782894736842105
qwen3.5-9b	gaia	10.0	25.0	50.0	0.0	0.5	0.4533333333333333	0.48	0.7333333333333334	0.5466666666666667	0.64	0.6333333333333333	0.4533333333333333	0.5	0.7000000000000001	0.68	0.66	0.48	0.68	0.5	0.66
qwen3.5-9b	hotpot	116.0	289.0	578.0	0.0	0.31321839080459773	0.2952710495963091	0.29238754325259514	0.6637931034482758	0.6689734717416379	0.6626297577854672	0.49137931034482757	0.5040369088811996	0.49826989619377154	0.7385057471264368	0.7312572087658592	0.7214532871972318	0.5040369088811996	0.7312572087658592	0.49826989619377154	0.7214532871972318
qwen3.5-9b	math500	32.0	79.0	157.0	0.0	0.5729166666666666	0.5738396624472574	0.5286624203821656	0.5520833333333334	0.5949367088607594	0.5605095541401274	0.4895833333333333	0.5400843881856541	0.5286624203821656	0.4375	0.5316455696202532	0.4904458598726114	0.5738396624472574	0.5949367088607594	0.5286624203821656	0.5605095541401274
qwen3.5-9b	mmlu_pro	19.0	46.0	92.0	0.0	0.5964912280701754	0.5507246376811594	0.5869565217391305	0.7192982456140351	0.8043478260869565	0.7717391304347826	0.6491228070175439	0.6304347826086957	0.6413043478260869	0.7017543859649122	0.7391304347826088	0.7282608695652174	0.6304347826086957	0.8043478260869565	0.6413043478260869	0.7717391304347826
qwen3.5-9b	musique	63.0	156.0	312.0	0.0	0.31216931216931215	0.28632478632478636	0.27884615384615385	0.6455026455026455	0.673076923076923	0.6666666666666666	0.41798941798941797	0.4123931623931624	0.3974358974358974	0.7407407407407408	0.702991452991453	0.7051282051282052	0.4123931623931624	0.702991452991453	0.3974358974358974	0.7051282051282052
qwen3.5-9b	wikimqa	147.0	367.0	733.0	0.0	0.38321995464852604	0.35603996366939145	0.36834924965893584	0.6984126984126985	0.6512261580381472	0.6630286493860846	0.40816326530612246	0.37783832879200724	0.3874488403819918	0.7006802721088435	0.6639418710263397	0.6684856753069578	0.37783832879200724	0.6648501362397821	0.3874488403819918	0.6684856753069578
deepseek-8b	arc	61.0	152.0	304.0	0.0	0.639344262295082	0.6513157894736842	0.6578947368421053	0.7814207650273225	0.793859649122807	0.7927631578947368	0.4371584699453552	0.5328947368421053	0.5032894736842105	0.8306010928961749	0.8355263157894736	0.8322368421052632	0.6513157894736842	0.8355263157894736	0.6578947368421053	0.8322368421052632
deepseek-8b	gaia	10.0	25.0	50.0	0.0	0.13333333333333333	0.17333333333333334	0.18000000000000002	0.6333333333333333	0.49333333333333335	0.62	0.3333333333333333	0.36000000000000004	0.34	0.6333333333333333	0.6933333333333334	0.68	0.36000000000000004	0.6933333333333334	0.34	0.68
deepseek-8b	hotpot	116.0	289.0	578.0	0.0	0.2298850574712644	0.18569780853517878	0.18512110726643596	0.47126436781609193	0.4740484429065744	0.46366782006920415	0.27586206896551724	0.29411764705882354	0.28546712802768165	0.5919540229885057	0.580161476355248	0.5899653979238755	0.29411764705882354	0.580161476355248	0.28546712802768165	0.5899653979238755
