seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca-tsel.s42_step@1_val	stepfinder-pca-tsel.s42_step@1_test	stepfinder-pca-tsel.s42_step@1_full	stepfinder-pca-tsel.s42_agent@1_val	stepfinder-pca-tsel.s42_agent@1_test	stepfinder-pca-tsel.s42_agent@1_full	stepfinder-pca-tsel.s43_step@1_val	stepfinder-pca-tsel.s43_step@1_test	stepfinder-pca-tsel.s43_step@1_full	stepfinder-pca-tsel.s43_agent@1_val	stepfinder-pca-tsel.s43_agent@1_test	stepfinder-pca-tsel.s43_agent@1_full	stepfinder-pca-tsel.s44_step@1_val	stepfinder-pca-tsel.s44_step@1_test	stepfinder-pca-tsel.s44_step@1_full	stepfinder-pca-tsel.s44_agent@1_val	stepfinder-pca-tsel.s44_agent@1_test	stepfinder-pca-tsel.s44_agent@1_full	stepfinder-pca-tsel.s45_step@1_val	stepfinder-pca-tsel.s45_step@1_test	stepfinder-pca-tsel.s45_step@1_full	stepfinder-pca-tsel.s45_agent@1_val	stepfinder-pca-tsel.s45_agent@1_test	stepfinder-pca-tsel.s45_agent@1_full	stepfinder-pca-tsel.s46_step@1_val	stepfinder-pca-tsel.s46_step@1_test	stepfinder-pca-tsel.s46_step@1_full	stepfinder-pca-tsel.s46_agent@1_val	stepfinder-pca-tsel.s46_agent@1_test	stepfinder-pca-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	147	367	733	False	0.06802721088435375	0.05994550408719346	0.058663028649386086	0.7278911564625851	0.670299727520436	0.6807639836289222	0.16326530612244897	0.13896457765667575	0.13233287858117326	0.7346938775510204	0.6975476839237057	0.7053206002728513	0.07482993197278912	0.08719346049046321	0.07639836289222374	0.6802721088435374	0.7002724795640327	0.6780354706684857	0.1836734693877551	0.14986376021798364	0.14733969986357434	0.7074829931972789	0.6920980926430518	0.6998635743519782	0.034013605442176874	0.035422343324250684	0.0286493860845839	0.54421768707483	0.5912806539509536	0.5620736698499318	0.14986376021798364	0.7002724795640327	0.14733969986357434	0.7053206002728513
2	147	367	733	False	0.061224489795918366	0.05722070844686648	0.058663028649386086	0.6666666666666666	0.6811989100817438	0.6807639836289222	0.1292517006802721	0.12806539509536785	0.13233287858117326	0.7210884353741497	0.6893732970027248	0.7053206002728513	0.09523809523809523	0.07901907356948229	0.07639836289222374	0.6530612244897959	0.7029972752043597	0.6780354706684857	0.10884353741496598	0.1444141689373297	0.14733969986357434	0.6802721088435374	0.6975476839237057	0.6998635743519782	0.02040816326530612	0.04087193460490463	0.0286493860845839	0.5306122448979592	0.5858310626702997	0.5620736698499318	0.1444141689373297	0.7029972752043597	0.14733969986357434	0.7053206002728513
3	147	367	733	False	0.034013605442176874	0.0653950953678474	0.058663028649386086	0.7278911564625851	0.6757493188010899	0.6807639836289222	0.12244897959183673	0.1362397820163488	0.13233287858117326	0.6938775510204082	0.7138964577656676	0.7053206002728513	0.034013605442176874	0.07901907356948229	0.07639836289222374	0.6598639455782312	0.6811989100817438	0.6780354706684857	0.10204081632653061	0.16076294277929154	0.14733969986357434	0.7006802721088435	0.7084468664850136	0.6998635743519782	0.034013605442176874	0.02452316076294278	0.0286493860845839	0.6054421768707483	0.5367847411444142	0.5620736698499318	0.16076294277929154	0.7138964577656676	0.14733969986357434	0.7053206002728513
