seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca-tsel.s42_step@1_val	stepfinder-pca-tsel.s42_step@1_test	stepfinder-pca-tsel.s42_step@1_full	stepfinder-pca-tsel.s42_agent@1_val	stepfinder-pca-tsel.s42_agent@1_test	stepfinder-pca-tsel.s42_agent@1_full	stepfinder-pca-tsel.s43_step@1_val	stepfinder-pca-tsel.s43_step@1_test	stepfinder-pca-tsel.s43_step@1_full	stepfinder-pca-tsel.s43_agent@1_val	stepfinder-pca-tsel.s43_agent@1_test	stepfinder-pca-tsel.s43_agent@1_full	stepfinder-pca-tsel.s44_step@1_val	stepfinder-pca-tsel.s44_step@1_test	stepfinder-pca-tsel.s44_step@1_full	stepfinder-pca-tsel.s44_agent@1_val	stepfinder-pca-tsel.s44_agent@1_test	stepfinder-pca-tsel.s44_agent@1_full	stepfinder-pca-tsel.s45_step@1_val	stepfinder-pca-tsel.s45_step@1_test	stepfinder-pca-tsel.s45_step@1_full	stepfinder-pca-tsel.s45_agent@1_val	stepfinder-pca-tsel.s45_agent@1_test	stepfinder-pca-tsel.s45_agent@1_full	stepfinder-pca-tsel.s46_step@1_val	stepfinder-pca-tsel.s46_step@1_test	stepfinder-pca-tsel.s46_step@1_full	stepfinder-pca-tsel.s46_agent@1_val	stepfinder-pca-tsel.s46_agent@1_test	stepfinder-pca-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	17	43	85	False	0.17647058823529413	0.06976744186046512	0.12941176470588237	0.5294117647058824	0.5581395348837209	0.5411764705882353	0.4117647058823529	0.20930232558139536	0.27058823529411763	0.5882352941176471	0.6046511627906976	0.5882352941176471	0.23529411764705882	0.13953488372093023	0.18823529411764706	0.47058823529411764	0.3953488372093023	0.47058823529411764	0.23529411764705882	0.06976744186046512	0.16470588235294117	0.5294117647058824	0.5581395348837209	0.5411764705882353	0.29411764705882354	0.11627906976744186	0.18823529411764706	0.5882352941176471	0.5348837209302325	0.5764705882352941	0.20930232558139536	0.6046511627906976	0.27058823529411763	0.5882352941176471
2	17	43	85	False	0.058823529411764705	0.06976744186046512	0.12941176470588237	0.5294117647058824	0.4418604651162791	0.5411764705882353	0.23529411764705882	0.20930232558139536	0.27058823529411763	0.5882352941176471	0.4883720930232558	0.5882352941176471	0.17647058823529413	0.09302325581395349	0.18823529411764706	0.5882352941176471	0.37209302325581395	0.47058823529411764	0.058823529411764705	0.11627906976744186	0.16470588235294117	0.5882352941176471	0.4186046511627907	0.5411764705882353	0.23529411764705882	0.13953488372093023	0.18823529411764706	0.5294117647058824	0.5581395348837209	0.5764705882352941	0.20930232558139536	0.5581395348837209	0.27058823529411763	0.5882352941176471
3	17	43	85	False	0.058823529411764705	0.18604651162790697	0.12941176470588237	0.5882352941176471	0.5581395348837209	0.5411764705882353	0.47058823529411764	0.2558139534883721	0.27058823529411763	0.6470588235294118	0.6046511627906976	0.5882352941176471	0.17647058823529413	0.20930232558139536	0.18823529411764706	0.5294117647058824	0.4418604651162791	0.47058823529411764	0.23529411764705882	0.18604651162790697	0.16470588235294117	0.6470588235294118	0.5116279069767442	0.5411764705882353	0.17647058823529413	0.23255813953488372	0.18823529411764706	0.5294117647058824	0.627906976744186	0.5764705882352941	0.2558139534883721	0.627906976744186	0.27058823529411763	0.5882352941176471
4	17	43	85	False	0.058823529411764705	0.11627906976744186	0.12941176470588237	0.6470588235294118	0.4883720930232558	0.5411764705882353	0.058823529411764705	0.32558139534883723	0.27058823529411763	0.47058823529411764	0.6046511627906976	0.5882352941176471	0.23529411764705882	0.18604651162790697	0.18823529411764706	0.5882352941176471	0.4418604651162791	0.47058823529411764	0.058823529411764705	0.20930232558139536	0.16470588235294117	0.5882352941176471	0.5116279069767442	0.5411764705882353	0.17647058823529413	0.20930232558139536	0.18823529411764706	0.7058823529411765	0.5116279069767442	0.5764705882352941	0.32558139534883723	0.6046511627906976	0.27058823529411763	0.5882352941176471
5	17	43	85	False	0.29411764705882354	0.06976744186046512	0.12941176470588237	0.7058823529411765	0.4883720930232558	0.5411764705882353	0.35294117647058826	0.18604651162790697	0.27058823529411763	0.7058823529411765	0.5581395348837209	0.5882352941176471	0.35294117647058826	0.11627906976744186	0.18823529411764706	0.7058823529411765	0.4186046511627907	0.47058823529411764	0.23529411764705882	0.13953488372093023	0.16470588235294117	0.5882352941176471	0.5348837209302325	0.5411764705882353	0.4117647058823529	0.16279069767441862	0.18823529411764706	0.7058823529411765	0.6046511627906976	0.5764705882352941	0.18604651162790697	0.6046511627906976	0.27058823529411763	0.5882352941176471
6	17	43	85	False	0.11764705882352941	0.11627906976744186	0.12941176470588237	0.47058823529411764	0.5116279069767442	0.5411764705882353	0.17647058823529413	0.32558139534883723	0.27058823529411763	0.47058823529411764	0.6046511627906976	0.5882352941176471	0.11764705882352941	0.20930232558139536	0.18823529411764706	0.23529411764705882	0.46511627906976744	0.47058823529411764	0.058823529411764705	0.20930232558139536	0.16470588235294117	0.35294117647058826	0.5581395348837209	0.5411764705882353	0.17647058823529413	0.23255813953488372	0.18823529411764706	0.47058823529411764	0.5813953488372093	0.5764705882352941	0.32558139534883723	0.6046511627906976	0.27058823529411763	0.5882352941176471
7	17	43	85	False	0.11764705882352941	0.16279069767441862	0.12941176470588237	0.5882352941176471	0.5116279069767442	0.5411764705882353	0.17647058823529413	0.3488372093023256	0.27058823529411763	0.6470588235294118	0.6046511627906976	0.5882352941176471	0.11764705882352941	0.2558139534883721	0.18823529411764706	0.5882352941176471	0.4883720930232558	0.47058823529411764	0.058823529411764705	0.2558139534883721	0.16470588235294117	0.47058823529411764	0.5813953488372093	0.5411764705882353	0.29411764705882354	0.18604651162790697	0.18823529411764706	0.7647058823529411	0.5581395348837209	0.5764705882352941	0.3488372093023256	0.6046511627906976	0.27058823529411763	0.5882352941176471
8	17	43	85	False	0.29411764705882354	0.046511627906976744	0.12941176470588237	0.8235294117647058	0.4883720930232558	0.5411764705882353	0.5294117647058824	0.11627906976744186	0.27058823529411763	0.8823529411764706	0.4418604651162791	0.5882352941176471	0.35294117647058826	0.11627906976744186	0.18823529411764706	0.6470588235294118	0.37209302325581395	0.47058823529411764	0.29411764705882354	0.06976744186046512	0.16470588235294117	0.8235294117647058	0.4186046511627907	0.5411764705882353	0.17647058823529413	0.13953488372093023	0.18823529411764706	0.5882352941176471	0.5581395348837209	0.5764705882352941	0.13953488372093023	0.5581395348837209	0.27058823529411763	0.5882352941176471
9	17	43	85	False	0.17647058823529413	0.11627906976744186	0.12941176470588237	0.6470588235294118	0.627906976744186	0.5411764705882353	0.4117647058823529	0.2558139534883721	0.27058823529411763	0.5882352941176471	0.627906976744186	0.5882352941176471	0.11764705882352941	0.20930232558139536	0.18823529411764706	0.35294117647058826	0.5348837209302325	0.47058823529411764	0.23529411764705882	0.16279069767441862	0.16470588235294117	0.5882352941176471	0.6046511627906976	0.5411764705882353	0.23529411764705882	0.13953488372093023	0.18823529411764706	0.5294117647058824	0.6511627906976745	0.5764705882352941	0.2558139534883721	0.6511627906976745	0.27058823529411763	0.5882352941176471
10	17	43	85	False	0.058823529411764705	0.16279069767441862	0.12941176470588237	0.5882352941176471	0.5348837209302325	0.5411764705882353	0.11764705882352941	0.3488372093023256	0.27058823529411763	0.5882352941176471	0.627906976744186	0.5882352941176471	0.17647058823529413	0.18604651162790697	0.18823529411764706	0.5294117647058824	0.4883720930232558	0.47058823529411764	0.11764705882352941	0.20930232558139536	0.16470588235294117	0.5294117647058824	0.5813953488372093	0.5411764705882353	0.17647058823529413	0.18604651162790697	0.18823529411764706	0.7058823529411765	0.5348837209302325	0.5764705882352941	0.3488372093023256	0.627906976744186	0.27058823529411763	0.5882352941176471
