seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca-tsel.s42_step@1_val	stepfinder-pca-tsel.s42_step@1_test	stepfinder-pca-tsel.s42_step@1_full	stepfinder-pca-tsel.s42_agent@1_val	stepfinder-pca-tsel.s42_agent@1_test	stepfinder-pca-tsel.s42_agent@1_full	stepfinder-pca-tsel.s43_step@1_val	stepfinder-pca-tsel.s43_step@1_test	stepfinder-pca-tsel.s43_step@1_full	stepfinder-pca-tsel.s43_agent@1_val	stepfinder-pca-tsel.s43_agent@1_test	stepfinder-pca-tsel.s43_agent@1_full	stepfinder-pca-tsel.s44_step@1_val	stepfinder-pca-tsel.s44_step@1_test	stepfinder-pca-tsel.s44_step@1_full	stepfinder-pca-tsel.s44_agent@1_val	stepfinder-pca-tsel.s44_agent@1_test	stepfinder-pca-tsel.s44_agent@1_full	stepfinder-pca-tsel.s45_step@1_val	stepfinder-pca-tsel.s45_step@1_test	stepfinder-pca-tsel.s45_step@1_full	stepfinder-pca-tsel.s45_agent@1_val	stepfinder-pca-tsel.s45_agent@1_test	stepfinder-pca-tsel.s45_agent@1_full	stepfinder-pca-tsel.s46_step@1_val	stepfinder-pca-tsel.s46_step@1_test	stepfinder-pca-tsel.s46_step@1_full	stepfinder-pca-tsel.s46_agent@1_val	stepfinder-pca-tsel.s46_agent@1_test	stepfinder-pca-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	61	152	304	False	0.06557377049180328	0.07894736842105263	0.06578947368421052	0.11475409836065574	0.13157894736842105	0.13815789473684212	0.04918032786885246	0.02631578947368421	0.049342105263157895	0.03278688524590164	0.05263157894736842	0.049342105263157895	0.3442622950819672	0.28289473684210525	0.28289473684210525	0.3442622950819672	0.39473684210526316	0.3684210526315789	0.09836065573770492	0.10526315789473684	0.10197368421052631	0.11475409836065574	0.19078947368421054	0.16776315789473684	0.04918032786885246	0.02631578947368421	0.02631578947368421	0.14754098360655737	0.125	0.12171052631578948	0.28289473684210525	0.39473684210526316	0.28289473684210525	0.3684210526315789
2	61	152	304	False	0.08196721311475409	0.07894736842105263	0.06578947368421052	0.16393442622950818	0.15789473684210525	0.13815789473684212	0.03278688524590164	0.05921052631578947	0.049342105263157895	0.03278688524590164	0.05263157894736842	0.049342105263157895	0.36065573770491804	0.25	0.28289473684210525	0.4918032786885246	0.3157894736842105	0.3684210526315789	0.13114754098360656	0.09210526315789473	0.10197368421052631	0.22950819672131148	0.1513157894736842	0.16776315789473684	0.03278688524590164	0.03289473684210526	0.02631578947368421	0.19672131147540983	0.11842105263157894	0.12171052631578948	0.25	0.3157894736842105	0.28289473684210525	0.3684210526315789
3	61	152	304	False	0.08196721311475409	0.07236842105263158	0.06578947368421052	0.11475409836065574	0.16447368421052633	0.13815789473684212	0.03278688524590164	0.05263157894736842	0.049342105263157895	0.03278688524590164	0.046052631578947366	0.049342105263157895	0.26229508196721313	0.2565789473684211	0.28289473684210525	0.32786885245901637	0.34868421052631576	0.3684210526315789	0.16393442622950818	0.09210526315789473	0.10197368421052631	0.19672131147540983	0.17105263157894737	0.16776315789473684	0.04918032786885246	0.013157894736842105	0.02631578947368421	0.16393442622950818	0.13815789473684212	0.12171052631578948	0.2565789473684211	0.34868421052631576	0.28289473684210525	0.3684210526315789
