model	subset	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
gpt-4o	algorithm-generated	26.0	63.0	126.0	0.0	0.28076923076923077	0.2746031746031746	0.2698412698412698	0.3576923076923077	0.38492063492063483	0.37301587301587313	0.2746031746031746	0.38492063492063483	0.2698412698412698	0.37301587301587313
gpt-4o	hand-crafted	12.0	29.0	58.0	0.0	0.0875	0.15172413793103445	0.12068965517241378	0.5208333333333334	0.5051724137931035	0.5344827586206897	0.15172413793103445	0.5051724137931035	0.12068965517241378	0.5344827586206897
gpt-5	algorithm-generated	26.0	63.0	126.0	0.0	0.25576923076923075	0.26349206349206344	0.2619047619047619	0.5211538461538463	0.5126984126984127	0.5238095238095238	0.26349206349206344	0.5126984126984127	0.2619047619047619	0.5238095238095238
gpt-5	hand-crafted	12.0	29.0	58.0	0.0	0.2333333333333333	0.23620689655172417	0.24137931034482757	0.6291666666666667	0.613793103448276	0.6206896551724139	0.23620689655172417	0.613793103448276	0.24137931034482757	0.6206896551724139
