seed	method	n_val	n_test	step@1_val	step@1_test	agent@1_val	agent@1_test
1	stepfinder.e1	9.0	22.0	0.2222222222222222	0.2272727272727272	0.6666666666666666	0.8181818181818182
2	stepfinder.e2	9.0	22.0	0.2222222222222222	0.2727272727272727	0.8888888888888888	0.7272727272727273
3	stepfinder.e3	9.0	22.0	0.0	0.2727272727272727	0.5555555555555556	0.6818181818181818
4	stepfinder.e4	9.0	22.0	0.2222222222222222	0.0909090909090909	0.7777777777777778	0.6818181818181818
5	stepfinder.e5	9.0	22.0	0.0	0.4090909090909091	0.5555555555555556	0.9090909090909092
6	stepfinder.e6	9.0	22.0	0.0	0.1818181818181818	0.3333333333333333	0.6818181818181818
7	stepfinder.e7	9.0	22.0	0.0	0.2727272727272727	0.7777777777777778	0.7272727272727273
8	stepfinder.e8	9.0	22.0	0.2222222222222222	0.3181818181818182	0.8888888888888888	0.7727272727272727
9	stepfinder.e9	9.0	22.0	0.1111111111111111	0.3636363636363636	0.5555555555555556	0.7727272727272727
10	stepfinder.e10	9.0	22.0	0.2222222222222222	0.2272727272727272	0.7777777777777778	0.7727272727272727
11	stepfinder.e11	9.0	22.0	0.2222222222222222	0.1818181818181818	0.6666666666666666	0.6818181818181818
12	stepfinder.e12	9.0	22.0	0.0	0.2272727272727272	0.7777777777777778	0.7727272727272727
13	stepfinder.e13	9.0	22.0	0.1111111111111111	0.1818181818181818	0.6666666666666666	0.6818181818181818
14	stepfinder.e14	9.0	22.0	0.2222222222222222	0.1818181818181818	0.8888888888888888	0.7727272727272727
15	stepfinder.e15	9.0	22.0	0.3333333333333333	0.3181818181818182	0.7777777777777778	0.7727272727272727
16	stepfinder.e16	9.0	22.0	0.2222222222222222	0.0909090909090909	0.6666666666666666	0.7272727272727273
17	stepfinder.e17	9.0	22.0	0.0	0.2272727272727272	0.6666666666666666	0.7727272727272727
18	stepfinder.e18	9.0	22.0	0.3333333333333333	0.1818181818181818	0.7777777777777778	0.7272727272727273
19	stepfinder.e19	9.0	22.0	0.4444444444444444	0.0909090909090909	0.7777777777777778	0.6363636363636364
20	stepfinder.e20	9.0	22.0	0.2222222222222222	0.2272727272727272	0.7777777777777778	0.8636363636363636
mean	diagonal	9.0	22.0	0.16666666666666666	0.22727272727272724	0.7111111111111111	0.7477272727272727
