model	subset	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
gpt-4o	magentic	18.0	46.0	91.0	0.0	0.07222222222222223	0.11195652173913043	0.09890109890109891	0.6666666666666666	0.6956521739130435	0.6813186813186812	0.11195652173913043	0.6956521739130435	0.09890109890109891	0.6813186813186812
gpt-4o	captain	17.0	43.0	85.0	0.0	0.11470588235294117	0.10348837209302326	0.10588235294117647	0.7088235294117647	0.7104651162790696	0.7058823529411764	0.10348837209302326	0.7104651162790696	0.10588235294117647	0.7058823529411764
gpt-5	magentic	18.0	46.0	91.0	0.0	0.18888888888888886	0.20652173913043476	0.2087912087912088	0.6694444444444445	0.658695652173913	0.6593406593406592	0.20652173913043476	0.658695652173913	0.2087912087912088	0.6593406593406592
gpt-5	captain	17.0	43.0	85.0	0.0	0.2441176470588235	0.23604651162790696	0.23529411764705882	0.6411764705882352	0.6639534883720929	0.6470588235294117	0.23604651162790696	0.6639534883720929	0.23529411764705882	0.6470588235294117
