model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	code	all_at_once	DONE	127	127	0	8
qwen3.5-9b	code	step_by_step	DONE	127	127	110	0
qwen3.5-9b	code	binary_search	DONE	127	127	0	0
deepseek-8b	code	all_at_once	DONE	127	127	0	19
deepseek-8b	code	step_by_step	DONE	127	127	5	0
deepseek-8b	code	binary_search	DONE	127	127	0	0
gpt-4o	code	all_at_once	MISSING	0	127	0	0
gpt-4o	code	step_by_step	MISSING	0	127	0	0
gpt-4o	code	binary_search	MISSING	0	127	0	0
gpt-5	code	all_at_once	MISSING	0	127	0	0
gpt-5	code	step_by_step	MISSING	0	127	0	0
gpt-5	code	binary_search	MISSING	0	127	0	0
