subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
algorithm-generated	qwen3-embedding-0.6b	stepfinder.e4	0.1798	0.5393	0.2697	0.5393					0.2135	0.3820	0.5393	0.3502	0.4045	0.6180	0.6854	0.7865	0.8539	0.6567	0.1970	89
algorithm-generated	qwen3-embedding-0.6b	stepfinder.e5	0.1835	0.5506	0.2753	0.5506					0.3146	0.4270	0.5506	0.4120	0.4494	0.5955	0.7079	0.7528	0.7865	0.6607	0.2593	89
algorithm-generated	qwen3-embedding-0.6b	stepfinder.e6	0.2060	0.6180	0.3090	0.6180					0.2584	0.4831	0.6292	0.4195	0.4157	0.6404	0.7528	0.8652	0.9101	0.7165	0.2724	89
algorithm-generated	qwen3-embedding-0.6b	stepfinder.e7	0.2022	0.6067	0.3034	0.6067					0.3034	0.4944	0.6067	0.4363	0.4944	0.6404	0.7303	0.8652	0.9213	0.7237	0.2766	89
algorithm-generated	qwen3-embedding-0.6b	stepfinder.e8	0.2210	0.6629	0.3315	0.6629					0.3596	0.5281	0.6629	0.4888	0.4944	0.6404	0.7640	0.8427	0.8764	0.7630	0.4081	89
algorithm-generated	qwen3-embedding-0.6b	stepfinder.e9	0.1873	0.5618	0.2809	0.5618					0.2360	0.4607	0.5618	0.3820	0.4157	0.6067	0.7753	0.8764	0.9438	0.6591	0.2198	89
algorithm-generated	qwen3-embedding-0.6b	stepfinder.s42	0.1746	0.5238	0.2619	0.5238					0.2143	0.3889	0.5238	0.3466	0.3651	0.5635	0.6667	0.8175	0.8571	0.6632	0.1817	126
algorithm-generated	qwen3-embedding-0.6b	stepfinder.s43	0.2011	0.6032	0.3016	0.6032					0.2222	0.4921	0.6032	0.3942	0.4365	0.5952	0.7143	0.8095	0.8968	0.7071	0.2166	126
algorithm-generated	qwen3-embedding-0.6b	stepfinder.s44	0.2063	0.6190	0.3095	0.6190					0.2143	0.4524	0.6190	0.3889	0.3571	0.5397	0.6825	0.8016	0.8810	0.7009	0.2134	126
algorithm-generated	qwen3-embedding-0.6b	stepfinder.s45	0.1905	0.5714	0.2857	0.5714					0.1746	0.4206	0.5714	0.3479	0.3413	0.5794	0.6984	0.8413	0.8889	0.6829	0.2019	126
algorithm-generated	qwen3-embedding-0.6b	stepfinder.s46	0.1799	0.5397	0.2698	0.5397					0.2540	0.4127	0.5397	0.3757	0.3889	0.6111	0.7381	0.8810	0.9048	0.6754	0.2025	126
algorithm-generated	qwen3.5-9b	oat.s42	0.1931	0.5794	0.2897	0.5794	0.1852	0.2540	0.2077	0.2540	0.1984	0.3730	0.5794	0.3545	0.3413	0.5476	0.6032	0.7619	0.8333	0.5312	0.1741	126
algorithm-generated	qwen3.5-9b	oat.s43	0.1905	0.5714	0.2857	0.5714	0.1997	0.2698	0.2222	0.2698	0.2063	0.3651	0.5714	0.3545	0.3492	0.5714	0.6349	0.7619	0.8254	0.5328	0.1729	126
algorithm-generated	qwen3.5-9b	oat.s44	0.1931	0.5794	0.2897	0.5794	0.2063	0.2857	0.2315	0.2857	0.2063	0.3730	0.5794	0.3585	0.3492	0.5556	0.6190	0.7540	0.8095	0.5438	0.1760	126
algorithm-generated	qwen3.5-9b	oat.s45	0.1905	0.5714	0.2857	0.5714	0.2209	0.2937	0.2447	0.2937	0.2302	0.3651	0.5714	0.3664	0.3730	0.5794	0.6270	0.7381	0.8175	0.5320	0.1706	126
algorithm-generated	qwen3.5-9b	oat.s46	0.1984	0.5952	0.2976	0.5952	0.2302	0.2698	0.2434	0.2698	0.2460	0.3651	0.5952	0.3823	0.3730	0.5873	0.6429	0.7778	0.8254	0.5379	0.1764	126
algorithm-generated	qwen3.5-9b	stepfinder.s42	0.1852	0.5556	0.2778	0.5556					0.1984	0.3968	0.5556	0.3505	0.3651	0.5714	0.6349	0.8333	0.9286	0.6585	0.1709	126
algorithm-generated	qwen3.5-9b	stepfinder.s43	0.1693	0.5079	0.2540	0.5079					0.1587	0.3571	0.5079	0.3082	0.2778	0.5476	0.6429	0.8492	0.9127	0.6030	0.1449	126
algorithm-generated	qwen3.5-9b	stepfinder.s44	0.1984	0.5952	0.2976	0.5952					0.1746	0.4127	0.5952	0.3545	0.3254	0.5714	0.6429	0.7778	0.8730	0.6958	0.1972	126
algorithm-generated	qwen3.5-9b	stepfinder.s45	0.1667	0.5000	0.2500	0.5000					0.1508	0.3810	0.5000	0.3056	0.3413	0.5794	0.6508	0.8571	0.9286	0.6169	0.1521	126
algorithm-generated	qwen3.5-9b	stepfinder.s46	0.1825	0.5476	0.2738	0.5476					0.2143	0.4127	0.5476	0.3585	0.3651	0.5714	0.6587	0.8413	0.9286	0.6477	0.1767	126
hand-crafted	deepseek-8b	oat.s42	0.1149	0.3448	0.1724	0.3448	0.1093	0.4655	0.1529	0.4655	0.1724	0.2241	0.3448	0.2385	0.2069	0.2414	0.2931	0.3793	0.3793	0.7021	0.0590	58
hand-crafted	deepseek-8b	oat.s43	0.1034	0.3103	0.1552	0.3103	0.0815	0.4138	0.1202	0.4138	0.1379	0.1897	0.3103	0.2040	0.1897	0.2241	0.2759	0.3966	0.3966	0.6867	0.0588	58
hand-crafted	deepseek-8b	oat.s44	0.1034	0.3103	0.1552	0.3103	0.1014	0.3966	0.1409	0.3966	0.1207	0.2069	0.3103	0.1983	0.1379	0.1897	0.2586	0.3793	0.3793	0.6918	0.0571	58
hand-crafted	deepseek-8b	oat.s45	0.1092	0.3276	0.1638	0.3276	0.0974	0.3621	0.1323	0.3621	0.1034	0.1724	0.3276	0.1897	0.1379	0.1897	0.2414	0.3621	0.3621	0.6911	0.0548	58
