model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3-embedding-0.6b	arc	stepfinder-pca.s42	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder-pca.s43	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder-pca.s44	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder-pca.s45	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder-pca.s46	DONE	304	304	0	0
qwen3-embedding-0.6b	gaia	stepfinder-pca.s42	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder-pca.s43	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder-pca.s44	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder-pca.s45	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder-pca.s46	DONE	50	50	0	0
qwen3-embedding-0.6b	hotpot	stepfinder-pca.s42	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder-pca.s43	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder-pca.s44	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder-pca.s45	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder-pca.s46	DONE	578	578	0	0
qwen3-embedding-0.6b	math500	stepfinder-pca.s42	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder-pca.s43	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder-pca.s44	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder-pca.s45	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder-pca.s46	DONE	157	157	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder-pca.s42	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder-pca.s43	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder-pca.s44	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder-pca.s45	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder-pca.s46	DONE	92	92	0	0
qwen3-embedding-0.6b	musique	stepfinder-pca.s42	DONE	312	312	0	0
qwen3-embedding-0.6b	musique	stepfinder-pca.s43	DONE	312	312	0	0
qwen3-embedding-0.6b	musique	stepfinder-pca.s44	DONE	312	312	0	0
qwen3-embedding-0.6b	musique	stepfinder-pca.s45	DONE	312	312	0	0
qwen3-embedding-0.6b	musique	stepfinder-pca.s46	DONE	312	312	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder-pca.s42	DONE	733	733	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder-pca.s43	DONE	733	733	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder-pca.s44	DONE	733	733	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder-pca.s45	DONE	733	733	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder-pca.s46	DONE	733	733	0	0
qwen3.5-9b	arc	stepfinder-pca.s42	DONE	304	304	0	0
qwen3.5-9b	arc	stepfinder-pca.s43	DONE	304	304	0	0
qwen3.5-9b	arc	stepfinder-pca.s44	DONE	304	304	0	0
qwen3.5-9b	arc	stepfinder-pca.s45	DONE	304	304	0	0
qwen3.5-9b	arc	stepfinder-pca.s46	DONE	304	304	0	0
qwen3.5-9b	gaia	stepfinder-pca.s42	DONE	50	50	0	0
qwen3.5-9b	gaia	stepfinder-pca.s43	DONE	50	50	0	0
