model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca.s42_step@1_val	stepfinder-pca.s42_step@1_test	stepfinder-pca.s42_step@1_full	stepfinder-pca.s42_agent@1_val	stepfinder-pca.s42_agent@1_test	stepfinder-pca.s42_agent@1_full	stepfinder-pca.s43_step@1_val	stepfinder-pca.s43_step@1_test	stepfinder-pca.s43_step@1_full	stepfinder-pca.s43_agent@1_val	stepfinder-pca.s43_agent@1_test	stepfinder-pca.s43_agent@1_full	stepfinder-pca.s44_step@1_val	stepfinder-pca.s44_step@1_test	stepfinder-pca.s44_step@1_full	stepfinder-pca.s44_agent@1_val	stepfinder-pca.s44_agent@1_test	stepfinder-pca.s44_agent@1_full	stepfinder-pca.s45_step@1_val	stepfinder-pca.s45_step@1_test	stepfinder-pca.s45_step@1_full	stepfinder-pca.s45_agent@1_val	stepfinder-pca.s45_agent@1_test	stepfinder-pca.s45_agent@1_full	stepfinder-pca.s46_step@1_val	stepfinder-pca.s46_step@1_test	stepfinder-pca.s46_step@1_full	stepfinder-pca.s46_agent@1_val	stepfinder-pca.s46_agent@1_test	stepfinder-pca.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	arc	61.0	152.0	304.0	0.0	0.42622950819672134	0.41228070175438597	0.42105263157894735	0.5628415300546449	0.5307017543859649	0.5296052631578947	0.6174863387978141	0.6293859649122807	0.6282894736842105	0.7431693989071038	0.7149122807017543	0.7138157894736842	0.5901639344262296	0.48245614035087714	0.506578947368421	0.6885245901639344	0.5789473684210525	0.5822368421052632	0.633879781420765	0.5592105263157895	0.5921052631578947	0.7650273224043715	0.662280701754386	0.6842105263157895	0.5464480874316939	0.6074561403508771	0.5921052631578947	0.6666666666666666	0.6885964912280702	0.6710526315789473	0.6337719298245613	0.7149122807017543	0.6282894736842105	0.7138157894736842
qwen3-embedding-0.6b	gaia	10.0	25.0	50.0	0.0	0.43333333333333335	0.32	0.36000000000000004	0.7000000000000001	0.6133333333333334	0.64	0.3666666666666667	0.22666666666666666	0.28	0.5	0.5733333333333334	0.58	0.39999999999999997	0.36000000000000004	0.38000000000000006	0.6333333333333333	0.6000000000000001	0.62	0.3666666666666667	0.32	0.32	0.6	0.5866666666666668	0.6	0.3333333333333333	0.26666666666666666	0.3	0.6666666666666666	0.6133333333333334	0.64	0.36000000000000004	0.6133333333333334	0.38000000000000006	0.64
qwen3-embedding-0.6b	hotpot	116.0	289.0	578.0	0.0	0.29022988505747127	0.3044982698961938	0.314878892733564	0.7126436781609197	0.7151095732410612	0.7093425605536332	0.19827586206896552	0.2179930795847751	0.2179930795847751	0.6609195402298851	0.6470588235294118	0.6522491349480969	0.2959770114942529	0.3402537485582468	0.32698961937716264	0.6580459770114943	0.6862745098039215	0.6730103806228374	0.22701149425287356	0.28027681660899656	0.2750865051903114	0.6724137931034483	0.6908881199538639	0.6782006920415226	0.3132183908045977	0.3414071510957324	0.34429065743944637	0.7097701149425287	0.7035755478662052	0.7058823529411765	0.3414071510957324	0.7220299884659745	0.34429065743944637	0.7093425605536332
qwen3-embedding-0.6b	math500	32.0	79.0	157.0	0.0	0.2604166666666667	0.24050632911392408	0.22292993630573252	0.4375	0.43037974683544306	0.40127388535031844	0.5	0.47257383966244726	0.42675159235668786	0.5625	0.5949367088607596	0.5477707006369427	0.3854166666666667	0.350210970464135	0.33121019108280253	0.4479166666666667	0.43881856540084385	0.4203821656050956	0.4270833333333333	0.459915611814346	0.3949044585987262	0.6458333333333334	0.6371308016877637	0.5923566878980892	0.4375	0.46413502109704646	0.4331210191082803	0.4270833333333333	0.5527426160337553	0.48407643312101917	0.4767932489451477	0.6371308016877637	0.4331210191082803	0.5923566878980892
qwen3-embedding-0.6b	mmlu_pro	19.0	46.0	92.0	0.0	0.24561403508771928	0.2101449275362319	0.20652173913043478	0.40350877192982454	0.43478260869565216	0.40217391304347827	0.3157894736842105	0.32608695652173914	0.31521739130434784	0.42105263157894735	0.5289855072463768	0.4891304347826087	0.2631578947368421	0.2898550724637681	0.29347826086956524	0.4385964912280702	0.572463768115942	0.532608695652174	0.3859649122807018	0.4275362318840579	0.41304347826086957	0.49122807017543857	0.6376811594202899	0.5869565217391305	0.49122807017543857	0.5144927536231885	0.5108695652173914	0.5789473684210527	0.6956521739130436	0.6521739130434783	0.5144927536231885	0.6956521739130436	0.5108695652173914	0.6521739130434783
qwen3-embedding-0.6b	musique	63.0	156.0	312.0	0.0	0.26455026455026454	0.26068376068376065	0.2532051282051282	0.7142857142857143	0.6965811965811967	0.6955128205128206	0.2222222222222222	0.21153846153846154	0.20512820512820515	0.6402116402116403	0.655982905982906	0.6538461538461539	0.25925925925925924	0.23290598290598288	0.23717948717948714	0.7037037037037037	0.6260683760683761	0.6538461538461539	0.2222222222222222	0.23076923076923075	0.22435897435897437	0.6560846560846562	0.673076923076923	0.6634615384615384	0.22751322751322753	0.28205128205128205	0.2564102564102564	0.693121693121693	0.6816239316239315	0.6762820512820514	0.28205128205128205	0.6987179487179488	0.2564102564102564	0.6955128205128206
qwen3-embedding-0.6b	wikimqa	147.0	367.0	733.0	0.0	0.2380952380952381	0.22434150772025432	0.22919508867667124	0.691609977324263	0.6530426884650318	0.6712141882673942	0.16326530612244897	0.14168937329700274	0.14051841746248295	0.6598639455782314	0.6376021798365122	0.6384720327421555	0.30385487528344673	0.2851952770208901	0.2946793997271487	0.6802721088435374	0.6357856494096277	0.6493860845839018	0.18820861678004533	0.16712079927338783	0.17189631650750345	0.6870748299319728	0.673024523160763	0.679399727148704	0.2222222222222222	0.2016348773841962	0.20463847203274219	0.7233560090702947	0.6693914623069936	0.6903137789904502	0.2851952770208901	0.673024523160763	0.2946793997271487	0.6903137789904502
qwen3.5-9b	arc	61.0	152.0	304.0	0.0	0.4863387978142077	0.5	0.5	0.551912568306011	0.5767543859649122	0.5657894736842105	0.45901639344262296	0.4385964912280702	0.4375	0.5355191256830601	0.5285087719298246	0.5098684210526315	0.6120218579234973	0.5701754385964913	0.5822368421052632	0.6666666666666666	0.6447368421052632	0.6414473684210527	0.5081967213114754	0.4868421052631579	0.4901315789473684	0.5846994535519126	0.5592105263157895	0.5592105263157895	0.6229508196721311	0.5899122807017544	0.5986842105263158	0.6830601092896175	0.6578947368421053	0.6578947368421053	0.5921052631578948	0.6666666666666666	0.5986842105263158	0.6578947368421053
qwen3.5-9b	gaia	10.0	25.0	50.0	0.0	0.43333333333333335	0.3333333333333333	0.34	0.9	0.68	0.7399999999999999	0.4000000000000001	0.3066666666666667	0.3	0.8333333333333334	0.6133333333333334	0.68	0.5	0.41333333333333333	0.42	0.7999999999999999	0.6133333333333334	0.66	0.4666666666666666	0.36000000000000004	0.36000000000000004	0.7666666666666666	0.6533333333333333	0.68	0.5666666666666667	0.41333333333333333	0.44	0.7666666666666666	0.6000000000000001	0.66	0.4266666666666667	0.68	0.44	0.7399999999999999
qwen3.5-9b	hotpot	116.0	289.0	578.0	0.0	0.24425287356321843	0.2687427912341407	0.2577854671280277	0.6005747126436781	0.580161476355248	0.5865051903114187	0.16379310344827586	0.16262975778546715	0.16782006920415224	0.617816091954023	0.5813148788927336	0.5916955017301038	0.2873563218390805	0.29296424452133796	0.29238754325259514	0.6810344827586207	0.6482122260668973	0.6522491349480969	0.27011494252873564	0.2745098039215686	0.2698961937716263	0.6982758620689656	0.6678200692041522	0.671280276816609	0.3275862068965517	0.3437139561707036	0.3373702422145329	0.6436781609195402	0.6262975778546713	0.6314878892733564	0.3437139561707036	0.6701268742791234	0.3373702422145329	0.671280276816609
