model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	code	raffles	DONE	127	127	4	0
deepseek-8b	code	raffles	DONE	127	127	34	5
gpt-4o	code	raffles	MISSING	0	127	0	0
gpt-5	code	raffles	MISSING	0	127	0	0
