model	subset	n_val	n_test	n_full	gt_in_prompt	raffles_step@1_val	raffles_step@1_test	raffles_step@1_full	raffles_agent@1_val	raffles_agent@1_test	raffles_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	code	26.0	64.0	127.0	1.0	0.1461538461538462	0.12890625	0.13385826771653547	0.7730769230769231	0.74453125	0.7559055118110237	0.12890625	0.74453125	0.13385826771653547	0.7559055118110237
deepseek-8b	code	26.0	64.0	127.0	1.0	0.04615384615384615	0.0546875	0.055118110236220465	0.17500000000000002	0.19609375	0.18897637795275593	0.0546875	0.19609375	0.055118110236220465	0.18897637795275593
