model	subset	n_val	n_test	n_full	gt_in_prompt	raffles_step@1_val	raffles_step@1_test	raffles_step@1_full	raffles_agent@1_val	raffles_agent@1_test	raffles_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
gpt-4o	magentic	18.0	46.0	91.0	1.0	0.2416666666666666	0.24456521739130435	0.24175824175824173	0.6694444444444444	0.683695652173913	0.6703296703296702	0.24456521739130435	0.683695652173913	0.24175824175824173	0.6703296703296702
gpt-4o	captain	17.0	43.0	85.0	1.0	0.29117647058823526	0.27906976744186046	0.2941176470588235	0.661764705882353	0.6465116279069767	0.6470588235294117	0.27906976744186046	0.6465116279069767	0.2941176470588235	0.6470588235294117
gpt-5	magentic	18.0	46.0	91.0	1.0	0.28611111111111115	0.2706521739130435	0.2857142857142857	0.6305555555555555	0.6250000000000002	0.6263736263736263	0.2706521739130435	0.6250000000000002	0.2857142857142857	0.6263736263736263
gpt-5	captain	17.0	43.0	85.0	1.0	0.30588235294117644	0.2906976744186046	0.2941176470588235	0.6176470588235294	0.6534883720930231	0.6352941176470587	0.2906976744186046	0.6534883720930231	0.2941176470588235	0.6352941176470587
