dataset	subset	method	gt	encoder	n_test	step@1_test	agent@1_test
correct-error	math500	oat	with	qwen3.5-9b	79	53.59	54.94
correct-error	math500	oat	with	deepseek-8b	79	49.87	52.15
correct-error	mmlu_pro	stepfinder	without	qwen3.5-9b	46	36.81	57.39
correct-error	mmlu_pro	stepfinder	without	deepseek-8b	46	55.94	75.07
correct-error	mmlu_pro	stepfinder	with	qwen3.5-9b	46	31.74	48.84
correct-error	mmlu_pro	stepfinder	with	deepseek-8b	46	35.94	54.06
correct-error	mmlu_pro	oat	without	qwen3.5-9b	46	69.71	78.55
correct-error	mmlu_pro	oat	without	deepseek-8b	46	69.86	77.54
correct-error	mmlu_pro	oat	with	qwen3.5-9b	46	68.55	76.81
correct-error	mmlu_pro	oat	with	deepseek-8b	46	68.12	79.28
correct-error	musique	stepfinder	without	qwen3.5-9b	156	19.15	62.26
correct-error	musique	stepfinder	without	deepseek-8b	156	18.38	64.79
correct-error	musique	stepfinder	with	qwen3.5-9b	156	19.57	61.45
correct-error	musique	stepfinder	with	deepseek-8b	156	15.98	64.02
correct-error	musique	oat	without	qwen3.5-9b	156	44.02	71.28
correct-error	musique	oat	without	deepseek-8b	156	35.04	68.25
correct-error	musique	oat	with	qwen3.5-9b	156	42.74	71.45
correct-error	musique	oat	with	deepseek-8b	156	35.64	68.63
correct-error	wikimqa	stepfinder	without	qwen3.5-9b	367	16.40	68.99
correct-error	wikimqa	stepfinder	without	deepseek-8b	367	13.01	68.30
correct-error	wikimqa	stepfinder	with	qwen3.5-9b	367	17.87	68.54
correct-error	wikimqa	stepfinder	with	deepseek-8b	367	12.46	67.85
correct-error	wikimqa	oat	without	qwen3.5-9b	367	43.25	65.65
correct-error	wikimqa	oat	without	deepseek-8b	367	35.62	60.54
correct-error	wikimqa	oat	with	qwen3.5-9b	367	43.31	65.09
correct-error	wikimqa	oat	with	deepseek-8b	367	35.93	60.89
