model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder.s42_step@1_val	stepfinder.s42_step@1_test	stepfinder.s42_step@1_full	stepfinder.s42_agent@1_val	stepfinder.s42_agent@1_test	stepfinder.s42_agent@1_full	stepfinder.s43_step@1_val	stepfinder.s43_step@1_test	stepfinder.s43_step@1_full	stepfinder.s43_agent@1_val	stepfinder.s43_agent@1_test	stepfinder.s43_agent@1_full	stepfinder.s44_step@1_val	stepfinder.s44_step@1_test	stepfinder.s44_step@1_full	stepfinder.s44_agent@1_val	stepfinder.s44_agent@1_test	stepfinder.s44_agent@1_full	stepfinder.s45_step@1_val	stepfinder.s45_step@1_test	stepfinder.s45_step@1_full	stepfinder.s45_agent@1_val	stepfinder.s45_agent@1_test	stepfinder.s45_agent@1_full	stepfinder.s46_step@1_val	stepfinder.s46_step@1_test	stepfinder.s46_step@1_full	stepfinder.s46_agent@1_val	stepfinder.s46_agent@1_test	stepfinder.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	code	26.0	64.0	127.0	0.0	0.09230769230769231	0.0625	0.07086614173228348	0.7538461538461538	0.746875	0.7480314960629922	0.11153846153846156	0.1078125	0.11023622047244093	0.7596153846153846	0.78515625	0.7795275590551182	0.046153846153846156	0.05390625	0.055118110236220465	0.7288461538461537	0.74921875	0.7401574803149608	0.07884615384615384	0.07890625	0.07874015748031497	0.6865384615384614	0.7125	0.7007874015748032	0.05961538461538461	0.05078125	0.055118110236220465	0.75	0.77265625	0.7637795275590552	0.11328125	0.7984375	0.11023622047244093	0.7795275590551182
qwen3.5-9b	code	26.0	64.0	127.0	0.0	0.02692307692307692	0.03828125	0.03937007874015749	0.11923076923076925	0.11875	0.12598425196850388	0.028846153846153844	0.021875	0.02362204724409449	0.08846153846153848	0.10625	0.11023622047244093	0.02692307692307692	0.03828125	0.03937007874015749	0.10769230769230771	0.0984375	0.11023622047244093	0.023076923076923078	0.0328125	0.03149606299212597	0.2076923076923077	0.2140625	0.22834645669291334	0.051923076923076926	0.04375	0.04724409448818898	0.08076923076923077	0.0796875	0.08661417322834647	0.046875	0.2140625	0.04724409448818898	0.22834645669291334
deepseek-8b	code	26.0	64.0	127.0	0.0	0.03461538461538462	0.03828125	0.03937007874015749	0.5365384615384616	0.53515625	0.5433070866141734	0.02692307692307692	0.03203125	0.03149606299212597	0.1730769230769231	0.153125	0.16535433070866146	0.1673076923076923	0.1609375	0.16535433070866146	0.5019230769230769	0.50703125	0.5196850393700785	0.14230769230769233	0.1109375	0.11811023622047241	0.7442307692307693	0.746875	0.7322834645669293	0.13269230769230772	0.09921875	0.11023622047244093	0.7653846153846156	0.76328125	0.7559055118110237	0.16328125	0.7703125	0.16535433070866146	0.7559055118110237
qwen3.5-4b	code	26.0	64.0	127.0	0.0	0.04807692307692309	0.03828125	0.03937007874015749	0.12500000000000006	0.13671875	0.14173228346456695	0.053846153846153856	0.0453125	0.04724409448818898	0.14423076923076925	0.15078125	0.15748031496062995	0.036538461538461534	0.04375	0.04724409448818898	0.16923076923076927	0.17265625	0.18110236220472445	0.02692307692307692	0.03828125	0.03937007874015749	0.14807692307692308	0.15	0.15748031496062995	0.02692307692307692	0.03828125	0.03937007874015749	0.10769230769230771	0.103125	0.11023622047244093	0.0515625	0.1765625	0.04724409448818898	0.18110236220472445
qwen3-14b	code	26.0	64.0	127.0	0.0	0.07115384615384616	0.04921875	0.055118110236220465	0.26730769230769236	0.2515625	0.26771653543307095	0.009615384615384616	0.009375	0.007874015748031492	0.4	0.38515625	0.38582677165354334	0.17500000000000002	0.175	0.17322834645669294	0.4903846153846154	0.503125	0.5039370078740155	0.10769230769230768	0.0890625	0.09448818897637797	0.25576923076923086	0.2421875	0.25196850393700776	0.038461538461538464	0.03515625	0.03937007874015749	0.3211538461538461	0.321875	0.3228346456692914	0.175	0.503125	0.17322834645669294	0.5039370078740155
qwen3.5-27b	code	26.0	64.0	127.0	0.0	0.01730769230769231	0.01328125	0.015748031496062985	0.18846153846153849	0.18828125	0.19685039370078744	0.08461538461538462	0.07421875	0.08661417322834647	0.17692307692307693	0.18125	0.18897637795275593	0.028846153846153844	0.04140625	0.03937007874015749	0.12500000000000003	0.1359375	0.14173228346456695	0.07115384615384615	0.059375	0.06299212598425194	0.1634615384615385	0.178125	0.17322834645669294	0.05000000000000001	0.05625	0.055118110236220465	0.28846153846153844	0.24296875	0.25984251968503924	0.08046875	0.24765625	0.08661417322834647	0.25984251968503924
