model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	code	chief	DONE	127	127	0	0
deepseek-8b	code	chief	DONE	127	127	0	39
gpt-4o	code	chief	MISSING	0	127	0	0
gpt-5	code	chief	MISSING	0	127	0	0
