model	subset	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
gpt-4o	magentic	18.0	46.0	91.0	0.0	0.06666666666666668	0.08152173913043478	0.07692307692307691	0.6333333333333333	0.6510869565217392	0.6483516483516483	0.08152173913043478	0.6510869565217392	0.07692307692307691	0.6483516483516483
gpt-4o	captain	17.0	43.0	85.0	0.0	0.15	0.15348837209302324	0.15294117647058822	0.611764705882353	0.6151162790697674	0.6117647058823529	0.15348837209302324	0.6151162790697674	0.15294117647058822	0.6117647058823529
gpt-5	magentic	18.0	46.0	91.0	0.0	0.1722222222222222	0.13695652173913045	0.14285714285714285	0.6555555555555556	0.6358695652173914	0.6373626373626372	0.13695652173913045	0.6358695652173914	0.14285714285714285	0.6373626373626372
gpt-5	captain	17.0	43.0	85.0	0.0	0.2352941176470588	0.22558139534883725	0.2235294117647059	0.5205882352941176	0.5174418604651162	0.5058823529411764	0.22558139534883725	0.5174418604651162	0.2235294117647059	0.5058823529411764
