subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
hotpot	deepseek-8b	oat.s46	0.2364	0.6540	0.3408	0.6540	0.3753	0.5830	0.4163	0.5830	0.4187	0.5450	0.6540	0.5182	0.5744	0.6540	0.7388	0.8183	0.8495	0.7438	0.2237	578
hotpot	deepseek-8b	stepfinder.s42	0.1745	0.5069	0.2589	0.5069					0.1436	0.3356	0.5069	0.2967	0.4637	0.7249	0.7855	0.8720	0.9048	0.7620	0.2081	578
hotpot	deepseek-8b	stepfinder.s43	0.2044	0.5969	0.3039	0.5969					0.2076	0.4481	0.5969	0.3775	0.6125	0.8235	0.8651	0.9031	0.9256	0.8083	0.2643	578
hotpot	deepseek-8b	stepfinder.s44	0.1802	0.5242	0.2676	0.5242					0.2336	0.3824	0.5242	0.3552	0.4291	0.7751	0.8131	0.8841	0.9066	0.6967	0.2871	578
hotpot	deepseek-8b	stepfinder.s45	0.1721	0.5000	0.2555	0.5000					0.1920	0.3702	0.5000	0.3244	0.4412	0.7042	0.8287	0.8754	0.9048	0.6974	0.2165	578
hotpot	deepseek-8b	stepfinder.s46	0.1796	0.5225	0.2667	0.5225					0.1782	0.3979	0.5225	0.3296	0.4965	0.7232	0.8045	0.8754	0.9014	0.7152	0.2085	578
hotpot	qwen3-embedding-0.6b	stepfinder.e1	0.2420	0.7111	0.3605	0.7111					0.4938	0.6617	0.7111	0.5942	0.6840	0.7333	0.8025	0.8272	0.8543	0.8451	0.4727	405
hotpot	qwen3-embedding-0.6b	stepfinder.e2	0.2432	0.7136	0.3621	0.7136					0.5062	0.6593	0.7136	0.6008	0.6914	0.7309	0.8099	0.8272	0.8543	0.8542	0.4883	405
hotpot	qwen3-embedding-0.6b	stepfinder.e3	0.2350	0.6914	0.3502	0.6914					0.5086	0.6420	0.6914	0.5918	0.6938	0.7086	0.7605	0.7877	0.8370	0.8389	0.5041	405
hotpot	qwen3-embedding-0.6b	stepfinder.s42	0.1796	0.5225	0.2667	0.5225					0.2059	0.3806	0.5225	0.3405	0.3997	0.5934	0.7042	0.7751	0.8426	0.7276	0.2201	578
hotpot	qwen3-embedding-0.6b	stepfinder.s43	0.1750	0.5087	0.2598	0.5087					0.2128	0.3426	0.5087	0.3330	0.4308	0.6453	0.7872	0.8564	0.8962	0.7731	0.2230	578
hotpot	qwen3-embedding-0.6b	stepfinder.s44	0.1998	0.5830	0.2970	0.5830					0.3166	0.4810	0.5830	0.4328	0.5260	0.6401	0.7612	0.8114	0.8702	0.7670	0.3067	578
hotpot	qwen3-embedding-0.6b	stepfinder.s45	0.1848	0.5381	0.2745	0.5381					0.2907	0.4325	0.5381	0.3968	0.4585	0.6125	0.7197	0.7785	0.8460	0.7339	0.2567	578
hotpot	qwen3-embedding-0.6b	stepfinder.s46	0.1641	0.4758	0.2434	0.4758					0.2145	0.3495	0.4758	0.3241	0.4031	0.5934	0.6747	0.7457	0.8287	0.7173	0.2369	578
hotpot	qwen3.5-9b	oat.s42	0.2370	0.6557	0.3417	0.6557	0.4111	0.5692	0.4462	0.5692	0.4637	0.5640	0.6557	0.5444	0.6280	0.7128	0.7976	0.8426	0.8824	0.7089	0.2330	578
hotpot	qwen3.5-9b	oat.s43	0.2364	0.6540	0.3408	0.6540	0.4015	0.5692	0.4385	0.5692	0.4533	0.5657	0.6540	0.5389	0.6038	0.6869	0.7699	0.8131	0.8495	0.7055	0.2317	578
hotpot	qwen3.5-9b	oat.s44	0.2388	0.6609	0.3443	0.6609	0.4086	0.5882	0.4467	0.5882	0.4654	0.5588	0.6609	0.5461	0.6332	0.7249	0.8166	0.8633	0.8962	0.7155	0.2327	578
hotpot	qwen3.5-9b	oat.s45	0.2382	0.6592	0.3434	0.6592	0.4059	0.5796	0.4430	0.5796	0.4706	0.5640	0.6592	0.5490	0.6332	0.7180	0.8028	0.8460	0.8806	0.7143	0.2380	578
hotpot	qwen3.5-9b	oat.s46	0.2353	0.6505	0.3391	0.6505	0.4322	0.5190	0.4542	0.5190	0.4671	0.5727	0.6505	0.5458	0.6332	0.7128	0.8028	0.8478	0.8841	0.7167	0.2385	578
hotpot	qwen3.5-9b	stepfinder.s42	0.1756	0.5104	0.2607	0.5104					0.2578	0.4325	0.5104	0.3711	0.4083	0.5848	0.6453	0.6644	0.7215	0.6661	0.3130	578
hotpot	qwen3.5-9b	stepfinder.s43	0.1583	0.4585	0.2347	0.4585					0.1886	0.3547	0.4585	0.3062	0.3339	0.6038	0.6886	0.7578	0.8062	0.6382	0.2216	578
hotpot	qwen3.5-9b	stepfinder.s44	0.1727	0.5017	0.2563	0.5017					0.2907	0.4343	0.5017	0.3849	0.4239	0.5986	0.6384	0.6799	0.6972	0.6345	0.3100	578
hotpot	qwen3.5-9b	stepfinder.s45	0.1422	0.4100	0.2105	0.4100					0.1246	0.2509	0.4100	0.2408	0.3426	0.6246	0.7543	0.8218	0.8979	0.7086	0.2098	578
hotpot	qwen3.5-9b	stepfinder.s46	0.1716	0.4983	0.2546	0.4983					0.2491	0.4325	0.4983	0.3627	0.4100	0.6246	0.6972	0.7457	0.7785	0.6662	0.2814	578
math500	deepseek-8b	oat.s42	0.4809	0.7389	0.5456	0.7389	0.4701	0.5287	0.4819	0.5287	0.4713	0.6306	0.7389	0.5870	0.6688	0.8025	0.8854	0.9427	0.9554	0.5454	0.2003	157
math500	deepseek-8b	oat.s43	0.4830	0.7452	0.5488	0.7452	0.4693	0.5287	0.4823	0.5287	0.4650	0.6178	0.7452	0.5839	0.6624	0.8025	0.8726	0.9363	0.9490	0.5680	0.2088	157
math500	deepseek-8b	oat.s44	0.4915	0.7707	0.5616	0.7707	0.4716	0.5350	0.4857	0.5350	0.4713	0.6497	0.7707	0.6008	0.6688	0.7962	0.8662	0.9427	0.9554	0.5581	0.2033	157
math500	deepseek-8b	oat.s45	0.4873	0.7580	0.5552	0.7580	0.4587	0.5096	0.4700	0.5096	0.4650	0.6306	0.7580	0.5902	0.6242	0.7771	0.8662	0.9363	0.9554	0.5591	0.2042	157
math500	deepseek-8b	oat.s46	0.4830	0.7452	0.5488	0.7452	0.4529	0.5223	0.4676	0.5223	0.4522	0.6306	0.7452	0.5796	0.6433	0.7834	0.8662	0.9299	0.9490	0.5436	0.2002	157
math500	deepseek-8b	stepfinder.s42	0.3132	0.7643	0.4406	0.7643					0.4204	0.6115	0.7643	0.5669	0.6561	0.8662	0.9045	0.9363	0.9490	0.7865	0.5497	157
math500	deepseek-8b	stepfinder.s43	0.3110	0.7580	0.4374	0.7580					0.2739	0.6624	0.7580	0.5000	0.6879	0.8599	0.8981	0.9172	0.9363	0.7714	0.3712	157
math500	deepseek-8b	stepfinder.s44	0.3174	0.7771	0.4469	0.7771					0.5478	0.6943	0.7771	0.6486	0.6752	0.8662	0.8917	0.9045	0.9236	0.8277	0.6651	157
math500	deepseek-8b	stepfinder.s45	0.3132	0.7643	0.4406	0.7643					0.4777	0.6369	0.7643	0.5998	0.6433	0.8726	0.8981	0.9172	0.9427	0.7892	0.5762	157
math500	deepseek-8b	stepfinder.s46	0.3195	0.7834	0.4501	0.7834					0.5032	0.6943	0.7834	0.6285	0.6815	0.8662	0.8981	0.9172	0.9299	0.8135	0.6274	157
math500	qwen3-embedding-0.6b	stepfinder.e1	0.3198	0.7838	0.4505	0.7838					0.6486	0.7658	0.7838	0.7132	0.7838	0.8288	0.8829	0.8829	0.9189	0.8438	0.7096	111
math500	qwen3-embedding-0.6b	stepfinder.e2	0.3348	0.8108	0.4700	0.8108					0.6216	0.7838	0.8108	0.7117	0.7748	0.7838	0.8829	0.9009	0.9459	0.8422	0.6765	111
math500	qwen3-embedding-0.6b	stepfinder.e3	0.3273	0.7748	0.4565	0.7748					0.6306	0.7477	0.7748	0.6982	0.7748	0.7928	0.8739	0.8829	0.9009	0.8469	0.7212	111
math500	qwen3-embedding-0.6b	stepfinder.s42	0.2898	0.6943	0.4055	0.6943					0.3758	0.6115	0.6943	0.5212	0.6943	0.8217	0.8535	0.9363	0.9618	0.7615	0.3833	157
math500	qwen3-embedding-0.6b	stepfinder.s43	0.3025	0.7325	0.4246	0.7325					0.2038	0.6115	0.7325	0.4480	0.6242	0.7452	0.8599	0.9172	0.9618	0.7598	0.3248	157
math500	qwen3-embedding-0.6b	stepfinder.s44	0.3132	0.7643	0.4406	0.7643					0.5223	0.6752	0.7643	0.6285	0.7325	0.8217	0.8854	0.9299	0.9682	0.7971	0.5766	157
math500	qwen3-embedding-0.6b	stepfinder.s45	0.3004	0.7261	0.4214	0.7261					0.4395	0.6369	0.7261	0.5679	0.6943	0.8153	0.8790	0.9363	0.9682	0.7789	0.4803	157
math500	qwen3-embedding-0.6b	stepfinder.s46	0.3025	0.7325	0.4246	0.7325					0.5159	0.6497	0.7325	0.6104	0.6943	0.7771	0.8854	0.9236	0.9490	0.7934	0.5633	157
math500	qwen3.5-9b	oat.s42	0.4766	0.7261	0.5393	0.7261	0.4837	0.5350	0.4948	0.5350	0.4904	0.6497	0.7261	0.5955	0.6624	0.8025	0.8854	0.9299	0.9682	0.5175	0.1873	157
math500	qwen3.5-9b	oat.s43	0.4830	0.7452	0.5488	0.7452	0.4885	0.5350	0.4988	0.5350	0.4841	0.6624	0.7452	0.6008	0.6815	0.8280	0.9045	0.9363	0.9745	0.5515	0.2003	157
