seed	method	n_val	n_test	step@1_val	step@1_test	agent@1_val	agent@1_test
1	stepfinder.e1	147.0	367.0	0.3401360544217687	0.2561307901907357	0.5918367346938775	0.5286103542234333
2	stepfinder.e2	147.0	367.0	0.3197278911564626	0.3814713896457766	0.6054421768707483	0.6103542234332425
3	stepfinder.e3	147.0	367.0	0.0884353741496598	0.0953678474114441	0.4625850340136054	0.4550408719346049
mean	diagonal	147.0	367.0	0.2494331065759637	0.2443233424159855	0.5532879818594104	0.5313351498637603
