subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
swe	qwen3-embedding-0.6b	stepfinder.s45	0.0909	0.2727	0.1364	0.2727					0.0909	0.1818	0.2727	0.1667	0.2273	0.3864	0.5682	0.6591	0.7045	0.7632	0.1014	44
swe	qwen3-embedding-0.6b	stepfinder.s46	0.0833	0.2500	0.1250	0.2500					0.1136	0.1818	0.2500	0.1705	0.2273	0.2955	0.5227	0.5909	0.6364	0.7335	0.1233	44
swe	qwen3.5-9b	oat.s42	0.1439	0.4318	0.2159	0.4318	0.1030	0.7045	0.1765	0.7045	0.1591	0.2045	0.4318	0.2576	0.2955	0.5227	0.5227	0.6136	0.6364	0.7967	0.1048	44
swe	qwen3.5-9b	oat.s43	0.1212	0.3636	0.1818	0.3636	0.0968	0.6591	0.1651	0.6591	0.1364	0.2045	0.3636	0.2235	0.2273	0.4318	0.4545	0.5682	0.5909	0.7769	0.0945	44
swe	qwen3.5-9b	oat.s44	0.1212	0.3636	0.1818	0.3636	0.1017	0.7045	0.1728	0.7045	0.1364	0.2045	0.3636	0.2235	0.2727	0.5000	0.5000	0.5909	0.6136	0.7883	0.0983	44
swe	qwen3.5-9b	oat.s45	0.1136	0.3409	0.1705	0.3409	0.1099	0.7045	0.1856	0.7045	0.1591	0.2273	0.3409	0.2311	0.2955	0.5227	0.5227	0.5909	0.6136	0.7843	0.1000	44
swe	qwen3.5-9b	oat.s46	0.1212	0.3636	0.1818	0.3636	0.1086	0.5909	0.1781	0.5909	0.1364	0.2045	0.3636	0.2235	0.2727	0.4773	0.4773	0.5682	0.5909	0.7916	0.1008	44
swe	qwen3.5-9b	stepfinder.s42	0.0530	0.1591	0.0795	0.1591					0.1136	0.1136	0.1591	0.1288	0.1364	0.2955	0.4318	0.4773	0.5455	0.6901	0.0669	44
swe	qwen3.5-9b	stepfinder.s43	0.0303	0.0909	0.0455	0.0909					0.0227	0.0909	0.0909	0.0568	0.0455	0.1136	0.1364	0.2045	0.2500	0.6369	0.0417	44
swe	qwen3.5-9b	stepfinder.s44	0.0455	0.1364	0.0682	0.1364					0.0455	0.0909	0.1364	0.0833	0.1136	0.2500	0.3182	0.4091	0.4545	0.7127	0.0640	44
swe	qwen3.5-9b	stepfinder.s45	0.0303	0.0909	0.0455	0.0909					0.0682	0.0682	0.0909	0.0758	0.0682	0.2273	0.2727	0.3636	0.5000	0.6801	0.0592	44
swe	qwen3.5-9b	stepfinder.s46	0.0985	0.2955	0.1477	0.2955					0.0909	0.2273	0.2955	0.1818	0.0909	0.2045	0.2273	0.2727	0.3182	0.7341	0.0825	44
