subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
arc	deepseek-8b	oat.s42	0.7917	0.8651	0.8103	0.8651	0.8050	0.8553	0.8141	0.8553	0.8158	0.8388	0.8651	0.8361	0.8553	0.8816	0.8947	0.9211	0.9243	0.7826	0.4270	304
arc	deepseek-8b	oat.s43	0.7928	0.8684	0.8120	0.8684	0.8073	0.8553	0.8165	0.8553	0.8191	0.8421	0.8684	0.8394	0.8553	0.8783	0.8914	0.9178	0.9243	0.8126	0.4648	304
arc	deepseek-8b	oat.s44	0.7906	0.8618	0.8087	0.8618	0.8095	0.8487	0.8171	0.8487	0.8158	0.8355	0.8618	0.8344	0.8586	0.8816	0.8947	0.9178	0.9211	0.7682	0.4126	304
arc	deepseek-8b	oat.s45	0.7917	0.8651	0.8103	0.8651	0.8142	0.8520	0.8220	0.8520	0.8257	0.8421	0.8651	0.8416	0.8618	0.8849	0.8980	0.9211	0.9309	0.8057	0.4559	304
arc	deepseek-8b	oat.s46	0.7917	0.8651	0.8103	0.8651	0.8065	0.8520	0.8145	0.8520	0.8158	0.8421	0.8651	0.8366	0.8520	0.8783	0.8914	0.9178	0.9243	0.7819	0.4218	304
arc	deepseek-8b	stepfinder.s42	0.4062	0.8421	0.5466	0.8421					0.4375	0.8092	0.8421	0.6343	0.8651	0.9145	0.9375	0.9408	0.9539	0.8388	0.5178	304
arc	deepseek-8b	stepfinder.s43	0.4161	0.8717	0.5614	0.8717					0.1711	0.8322	0.8717	0.5148	0.8651	0.8947	0.9211	0.9309	0.9539	0.7834	0.3343	304
arc	deepseek-8b	stepfinder.s44	0.3997	0.8224	0.5367	0.8224					0.3816	0.8059	0.8224	0.5992	0.7993	0.9079	0.9112	0.9539	0.9638	0.7915	0.4749	304
arc	deepseek-8b	stepfinder.s45	0.3975	0.8158	0.5334	0.8158					0.4342	0.8059	0.8158	0.6234	0.8158	0.8783	0.9276	0.9408	0.9671	0.8143	0.5301	304
arc	deepseek-8b	stepfinder.s46	0.3997	0.8224	0.5367	0.8224					0.4934	0.7993	0.8224	0.6541	0.8388	0.8816	0.9145	0.9342	0.9507	0.8299	0.6081	304
arc	qwen3-embedding-0.6b	stepfinder.s42	0.3997	0.8224	0.5367	0.8224					0.4013	0.8125	0.8224	0.6102	0.8388	0.8586	0.8849	0.9013	0.9375	0.8168	0.4901	304
arc	qwen3-embedding-0.6b	stepfinder.s43	0.4084	0.8487	0.5499	0.8487					0.3487	0.8289	0.8487	0.5954	0.8355	0.8520	0.9112	0.9309	0.9671	0.8094	0.3962	304
arc	qwen3-embedding-0.6b	stepfinder.s44	0.4095	0.8520	0.5515	0.8520					0.5526	0.8421	0.8520	0.7007	0.8487	0.8651	0.9243	0.9375	0.9605	0.8523	0.6325	304
arc	qwen3-embedding-0.6b	stepfinder.s45	0.4084	0.8487	0.5499	0.8487					0.4079	0.8257	0.8487	0.6245	0.8289	0.8618	0.9013	0.9112	0.9572	0.8138	0.4314	304
arc	qwen3-embedding-0.6b	stepfinder.s46	0.4052	0.8388	0.5450	0.8388					0.4967	0.8026	0.8388	0.6617	0.8289	0.8553	0.8882	0.9046	0.9408	0.8258	0.5539	304
arc	qwen3.5-9b	oat.s42	0.7840	0.8421	0.7988	0.8421	0.8137	0.8421	0.8194	0.8421	0.8224	0.8421	0.8421	0.8322	0.8553	0.8783	0.8980	0.9112	0.9211	0.6450	0.3110	304
arc	qwen3.5-9b	oat.s43	0.7851	0.8454	0.8004	0.8454	0.8126	0.8388	0.8178	0.8388	0.8224	0.8388	0.8454	0.8328	0.8454	0.8684	0.8849	0.8980	0.9145	0.6540	0.3169	304
arc	qwen3.5-9b	oat.s44	0.7884	0.8553	0.8054	0.8553	0.8155	0.8586	0.8242	0.8586	0.8257	0.8454	0.8553	0.8388	0.8553	0.8783	0.8947	0.9079	0.9178	0.6667	0.3336	304
arc	qwen3.5-9b	oat.s45	0.7873	0.8520	0.8037	0.8520	0.8120	0.8520	0.8200	0.8520	0.8257	0.8454	0.8520	0.8377	0.8520	0.8783	0.8947	0.9112	0.9211	0.6539	0.3165	304
arc	qwen3.5-9b	oat.s46	0.7873	0.8520	0.8037	0.8520	0.8174	0.8355	0.8214	0.8355	0.8257	0.8421	0.8520	0.8372	0.8487	0.8783	0.8947	0.9079	0.9211	0.7058	0.3630	304
arc	qwen3.5-9b	stepfinder.s42	0.3997	0.8224	0.5367	0.8224					0.3487	0.8125	0.8224	0.5839	0.8125	0.8322	0.8553	0.8684	0.8914	0.7734	0.3977	304
arc	qwen3.5-9b	stepfinder.s43	0.3975	0.8158	0.5334	0.8158					0.2895	0.8026	0.8158	0.5504	0.8158	0.8586	0.8750	0.8914	0.9112	0.7650	0.3749	304
arc	qwen3.5-9b	stepfinder.s44	0.4008	0.8257	0.5384	0.8257					0.3520	0.8191	0.8257	0.5877	0.8059	0.8618	0.8684	0.8816	0.8882	0.7727	0.3916	304
arc	qwen3.5-9b	stepfinder.s45	0.4073	0.8454	0.5482	0.8454					0.3388	0.8158	0.8454	0.5872	0.8125	0.8586	0.8882	0.9145	0.9507	0.7869	0.3752	304
arc	qwen3.5-9b	stepfinder.s46	0.4030	0.8322	0.5417	0.8322					0.3158	0.8191	0.8322	0.5718	0.8224	0.8388	0.8618	0.8849	0.8947	0.7706	0.3786	304
gaia	deepseek-8b	oat.s42	0.3867	0.6800	0.4600	0.6800	0.3375	0.5800	0.3894	0.5800	0.4400	0.5200	0.6800	0.5333	0.5400	0.6400	0.7000	0.7800	0.8200	0.7632	0.2257	50
gaia	deepseek-8b	oat.s43	0.4200	0.7800	0.5100	0.7800	0.3597	0.6000	0.4114	0.6000	0.4400	0.6200	0.7800	0.5833	0.5400	0.6400	0.7000	0.7800	0.8200	0.7833	0.2503	50
