model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-alg.s42_step@1_val	stepfinder-alg.s42_step@1_test	stepfinder-alg.s42_step@1_full	stepfinder-alg.s42_agent@1_val	stepfinder-alg.s42_agent@1_test	stepfinder-alg.s42_agent@1_full	stepfinder-alg.s43_step@1_val	stepfinder-alg.s43_step@1_test	stepfinder-alg.s43_step@1_full	stepfinder-alg.s43_agent@1_val	stepfinder-alg.s43_agent@1_test	stepfinder-alg.s43_agent@1_full	stepfinder-alg.s44_step@1_val	stepfinder-alg.s44_step@1_test	stepfinder-alg.s44_step@1_full	stepfinder-alg.s44_agent@1_val	stepfinder-alg.s44_agent@1_test	stepfinder-alg.s44_agent@1_full	stepfinder-alg.s45_step@1_val	stepfinder-alg.s45_step@1_test	stepfinder-alg.s45_step@1_full	stepfinder-alg.s45_agent@1_val	stepfinder-alg.s45_agent@1_test	stepfinder-alg.s45_agent@1_full	stepfinder-alg.s46_step@1_val	stepfinder-alg.s46_step@1_test	stepfinder-alg.s46_step@1_full	stepfinder-alg.s46_agent@1_val	stepfinder-alg.s46_agent@1_test	stepfinder-alg.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	code	26.0	64.0	127.0	0.0	0.1	0.07421875	0.07874015748031497	0.5173076923076924	0.54140625	0.5275590551181104	0.09807692307692309	0.0890625	0.08661417322834647	0.6192307692307691	0.63828125	0.6377952755905513	0.04038461538461539	0.0421875	0.03937007874015749	0.6288461538461537	0.634375	0.6299212598425198	0.09423076923076924	0.10078125	0.09448818897637797	0.6807692307692308	0.6953125	0.6929133858267718	0.12692307692307694	0.10546875	0.10236220472440945	0.7269230769230768	0.72890625	0.7244094488188978	0.1140625	0.7390625	0.10236220472440945	0.7244094488188978
qwen3.5-9b	code	26.0	64.0	127.0	0.0	0.16730769230769232	0.18359375	0.18110236220472445	0.6884615384615385	0.7125	0.7007874015748032	0.03461538461538462	0.03046875	0.03149606299212597	0.37884615384615383	0.3703125	0.3622047244094489	0.03846153846153847	0.0328125	0.03149606299212597	0.16346153846153846	0.18203125	0.17322834645669294	0.04038461538461539	0.04140625	0.03937007874015749	0.1730769230769231	0.19375	0.18897637795275593	0.030769230769230764	0.046875	0.04724409448818898	0.11153846153846154	0.13203125	0.13385826771653547	0.18359375	0.7125	0.18110236220472445	0.7007874015748032
deepseek-8b	code	26.0	64.0	127.0	0.0	0.028846153846153848	0.03359375	0.03149606299212597	0.573076923076923	0.56484375	0.5748031496062993	0.009615384615384616	0.009375	0.007874015748031492	0.6173076923076922	0.62421875	0.6220472440944883	0.04038461538461539	0.03203125	0.03149606299212597	0.44230769230769235	0.43203125	0.43307086614173224	0.01730769230769231	0.01640625	0.015748031496062985	0.6961538461538461	0.684375	0.6850393700787403	0.032692307692307694	0.05625	0.04724409448818898	0.3173076923076923	0.375	0.3700787401574804	0.05703125	0.684375	0.04724409448818898	0.6850393700787403
qwen3.5-4b	code	26.0	64.0	127.0	0.0	0.02692307692307692	0.03828125	0.03937007874015749	0.12307692307692308	0.10703125	0.11811023622047241	0.021153846153846155	0.04296875	0.03937007874015749	0.2865384615384615	0.28515625	0.29921259842519693	0.01730769230769231	0.034375	0.03149606299212597	0.2923076923076923	0.315625	0.3149606299212599	0.030769230769230764	0.046875	0.04724409448818898	0.16923076923076924	0.18203125	0.18110236220472445	0.01730769230769231	0.034375	0.03149606299212597	0.3846153846153847	0.4390625	0.43307086614173224	0.046875	0.4390625	0.04724409448818898	0.43307086614173224
qwen3-14b	code	26.0	64.0	127.0	0.0	0.04038461538461538	0.0359375	0.03937007874015749	0.2846153846153846	0.30546875	0.29921259842519693	0.01730769230769231	0.0109375	0.015748031496062985	0.24230769230769234	0.23515625	0.23622047244094482	0.044230769230769226	0.05	0.04724409448818898	0.323076923076923	0.35390625	0.3464566929133859	0.021153846153846155	0.02265625	0.02362204724409449	0.451923076923077	0.42890625	0.43307086614173224	0.009615384615384616	0.00546875	0.007874015748031492	0.1769230769230769	0.2	0.18897637795275593	0.053125	0.42890625	0.04724409448818898	0.43307086614173224
qwen3.5-27b	code	26.0	64.0	127.0	0.0	0.04230769230769231	0.0640625	0.06299212598425194	0.7557692307692307	0.77109375	0.7559055118110237	0.04230769230769231	0.053125	0.055118110236220465	0.7288461538461538	0.7296875	0.7165354330708662	0.03653846153846154	0.04765625	0.04724409448818898	0.6749999999999999	0.68671875	0.6850393700787403	0.053846153846153856	0.071875	0.07086614173228348	0.8326923076923076	0.828125	0.8267716535433071	0.03269230769230769	0.0453125	0.04724409448818898	0.7269230769230769	0.75859375	0.7480314960629922	0.08046875	0.828125	0.07086614173228348	0.8267716535433071
