label	id	seconds	n_calls
errorprobe_paper	4	11.7768	5
errorprobe_paper	5	6.3175	5
errorprobe_paper	6	5.1691	3
errorprobe_paper	12	6.5086	5
errorprobe_paper	22	6.6084	5
errorprobe_paper	24	4.3861	3
errorprobe_paper	25	6.4552	5
errorprobe_paper	26	6.6716	5
errorprobe_paper	29	10.7330	6
errorprobe_paper	32	6.2191	3
errorprobe_paper	33	5.2043	3
errorprobe_paper	34	4.5923	3
errorprobe_paper	43	6.2197	3
errorprobe_paper	45	6.3780	5
errorprobe_paper	48	4.9736	3
errorprobe_paper	54	6.4778	5
errorprobe_paper	57	6.2599	3
