label	id	seconds	n_calls
correct	4	1.7474	1
correct	5	1.2928	1
correct	6	0.8237	1
correct	12	1.2007	1
correct	22	1.9027	1
correct	24	0.9532	1
correct	25	1.5887	1
correct	26	1.1972	1
correct	29	1.2079	1
correct	32	1.3016	1
correct	33	1.1916	1
correct	34	1.1957	1
correct	43	1.7380	1
correct	45	1.5571	1
correct	48	1.0793	1
correct	54	6.0035	1
correct	57	1.6526	1
