label	id	seconds	n_calls
all_at_once	1	6.6145	1
all_at_once	2	0.7769	1
all_at_once	3	0.6304	1
all_at_once	4	0.9025	1
all_at_once	5	5.9046	1
all_at_once	6	0.8996	1
all_at_once	7	0.9942	1
all_at_once	8	1.1344	1
all_at_once	9	2.1742	1
all_at_once	10	0.9108	1
all_at_once	11	1.5337	1
all_at_once	12	1.1883	1
all_at_once	13	5.9819	1
all_at_once	14	1.5218	1
all_at_once	15	1.4113	1
all_at_once	16	0.9713	1
all_at_once	17	0.9826	1
all_at_once	18	0.8406	1
all_at_once	19	0.6668	1
all_at_once	21	0.8395	1
all_at_once	22	0.7550	1
all_at_once	23	0.9026	1
all_at_once	24	0.8252	1
all_at_once	25	1.5145	1
all_at_once	26	1.6372	1
all_at_once	27	5.9337	1
all_at_once	29	0.9136	1
all_at_once	30	0.4915	1
all_at_once	31	5.9302	1
all_at_once	32	1.9919	1
all_at_once	33	0.9862	1
all_at_once	34	1.2871	1
all_at_once	36	1.1000	1
all_at_once	37	5.8958	1
all_at_once	38	1.1058	1
all_at_once	39	1.2841	1
all_at_once	40	2.4340	1
all_at_once	41	5.8863	1
all_at_once	42	0.5935	1
all_at_once	43	0.7383	1
