label	id	seconds	n_calls
binary_search	1	0.8447	1
binary_search	2	0.1239	1
binary_search	3	0.2301	1
binary_search	4	0.1807	1
binary_search	5	0.1957	1
binary_search	6	0.2569	1
binary_search	7	0.1973	1
binary_search	8	0.2496	1
binary_search	9	0.1323	1
binary_search	10	0.1865	1
binary_search	11	0.2170	1
binary_search	12	0.1099	1
binary_search	13	0.2627	1
binary_search	14	0.3283	1
binary_search	15	0.2307	1
binary_search	16	0.1971	1
binary_search	17	0.1979	1
binary_search	18	0.2398	1
binary_search	19	0.1902	1
binary_search	21	0.1293	1
binary_search	22	0.1274	1
binary_search	23	0.2015	1
binary_search	24	0.2574	1
binary_search	25	0.3714	1
binary_search	26	0.2289	1
binary_search	27	0.2719	1
binary_search	29	0.2961	1
binary_search	30	0.1270	1
binary_search	31	0.2128	1
binary_search	32	0.2516	1
binary_search	33	0.2239	1
binary_search	34	0.1863	1
binary_search	36	0.1770	1
binary_search	37	0.1185	1
binary_search	38	0.1583	1
binary_search	39	0.2000	1
binary_search	40	0.2057	1
binary_search	41	0.1846	1
binary_search	42	0.1861	1
binary_search	43	0.1727	1
