label	id	seconds	n_calls
step_by_step_batch	1	6.1136	6
step_by_step_batch	2	0.9827	7
step_by_step_batch	3	1.2344	8
step_by_step_batch	4	0.8991	8
step_by_step_batch	5	2.2411	9
step_by_step_batch	6	1.9041	8
step_by_step_batch	7	1.9386	10
step_by_step_batch	8	1.9382	10
step_by_step_batch	9	6.3674	5
step_by_step_batch	10	1.2007	10
step_by_step_batch	11	2.2356	10
step_by_step_batch	12	0.7833	5
step_by_step_batch	13	1.5884	10
step_by_step_batch	14	1.8265	10
step_by_step_batch	15	3.6787	10
step_by_step_batch	16	1.3892	10
step_by_step_batch	17	2.6145	10
step_by_step_batch	18	1.4243	10
step_by_step_batch	19	1.7260	10
step_by_step_batch	21	1.0351	6
step_by_step_batch	22	1.1808	6
step_by_step_batch	23	1.5944	10
step_by_step_batch	24	0.9414	10
step_by_step_batch	25	2.0673	10
step_by_step_batch	26	1.5731	9
step_by_step_batch	27	1.8824	10
step_by_step_batch	29	2.4369	10
step_by_step_batch	30	0.8208	7
step_by_step_batch	31	2.4030	10
step_by_step_batch	32	1.2530	10
step_by_step_batch	33	1.4280	10
step_by_step_batch	34	1.2135	8
step_by_step_batch	36	5.2822	9
step_by_step_batch	37	6.2119	6
step_by_step_batch	38	0.7829	6
step_by_step_batch	39	1.6366	10
step_by_step_batch	40	1.4803	9
step_by_step_batch	41	0.9776	6
step_by_step_batch	42	0.7246	6
step_by_step_batch	43	1.1075	9
