label	id	seconds	n_calls
chief	1	22.0511	6
chief	2	23.0704	6
chief	3	23.2203	6
chief	4	21.6068	6
chief	5	25.8795	6
chief	6	23.6748	6
chief	7	23.2960	6
chief	8	25.3864	6
chief	9	19.8161	6
chief	10	18.7069	6
chief	11	26.9326	6
chief	12	19.9646	6
chief	13	25.4098	6
chief	14	29.5135	6
chief	15	23.1904	6
chief	16	24.5272	6
chief	17	34.6890	6
chief	18	20.6938	6
chief	19	22.1231	6
chief	21	23.3107	6
chief	22	20.3295	6
chief	23	23.8878	6
chief	24	18.4901	6
chief	25	30.3944	6
chief	26	29.5035	6
chief	27	30.3539	6
chief	29	25.2438	6
chief	30	18.8903	6
chief	31	25.6888	6
chief	32	23.6450	6
chief	33	24.0647	6
chief	34	21.7494	6
chief	36	23.0031	6
chief	37	21.4822	6
chief	38	23.3417	6
chief	39	31.3144	6
chief	40	24.4525	6
chief	41	19.1883	6
chief	42	21.5559	6
chief	43	21.5953	6
