label	id	seconds	n_calls
step_by_step_batch	4	8.2513	17
step_by_step_batch	5	6.3845	20
step_by_step_batch	6	1.0824	8
step_by_step_batch	12	3.0862	20
step_by_step_batch	22	3.6379	24
step_by_step_batch	24	6.1383	5
step_by_step_batch	25	3.4827	20
step_by_step_batch	26	5.3900	33
step_by_step_batch	29	1.8792	13
step_by_step_batch	32	2.1698	12
step_by_step_batch	33	1.4615	9
step_by_step_batch	34	1.0952	5
step_by_step_batch	43	2.7066	16
step_by_step_batch	45	3.2159	21
step_by_step_batch	48	1.1602	5
step_by_step_batch	54	7.7470	19
step_by_step_batch	57	2.6963	17
