label	id	seconds	n_calls
errorprobe_paper	1	5.5161	3
errorprobe_paper	2	4.5797	3
errorprobe_paper	3	5.6197	3
errorprobe_paper	4	5.7686	3
errorprobe_paper	5	5.2064	3
errorprobe_paper	6	6.0795	3
errorprobe_paper	7	5.9978	3
errorprobe_paper	8	5.2283	3
errorprobe_paper	9	3.7410	3
errorprobe_paper	10	5.7031	3
errorprobe_paper	11	5.6351	3
errorprobe_paper	12	9.0818	7
errorprobe_paper	13	6.2085	3
errorprobe_paper	14	6.1768	3
errorprobe_paper	15	5.7617	3
errorprobe_paper	16	10.0060	7
errorprobe_paper	17	6.2531	3
errorprobe_paper	18	5.6708	3
errorprobe_paper	19	3.5051	3
errorprobe_paper	21	7.1942	5
errorprobe_paper	22	3.5422	3
errorprobe_paper	23	5.5966	3
errorprobe_paper	24	9.8075	7
errorprobe_paper	25	6.3832	3
errorprobe_paper	26	5.7686	3
errorprobe_paper	27	5.9061	3
errorprobe_paper	29	6.3198	3
errorprobe_paper	30	5.5116	3
errorprobe_paper	31	5.4074	3
errorprobe_paper	32	5.9887	3
errorprobe_paper	33	5.6575	3
errorprobe_paper	34	5.0821	3
errorprobe_paper	36	4.9276	3
errorprobe_paper	37	5.4497	3
errorprobe_paper	38	4.7302	3
errorprobe_paper	39	5.2747	3
errorprobe_paper	40	5.4159	3
errorprobe_paper	41	9.6221	7
errorprobe_paper	42	4.5118	3
errorprobe_paper	43	4.8598	3
