model	subset	n_val	n_test	n_full	gt_in_prompt	all_at_once_step@1_val	all_at_once_step@1_test	all_at_once_step@1_full	all_at_once_agent@1_val	all_at_once_agent@1_test	all_at_once_agent@1_full	step_by_step_step@1_val	step_by_step_step@1_test	step_by_step_step@1_full	step_by_step_agent@1_val	step_by_step_agent@1_test	step_by_step_agent@1_full	binary_search_step@1_val	binary_search_step@1_test	binary_search_step@1_full	binary_search_agent@1_val	binary_search_agent@1_test	binary_search_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
gpt-4o	arc	61.0	152.0	304.0	0.0	0.4918032786885245	0.5021929824561403	0.5032894736842105	0.8852459016393442	0.8903508771929826	0.8848684210526315	0.7103825136612022	0.6929824561403509	0.7105263157894738	0.7213114754098361	0.7149122807017544	0.7269736842105262	0.28961748633879786	0.23464912280701755	0.2532894736842105	0.2677595628415301	0.21710526315789472	0.22697368421052633	0.6929824561403509	0.8903508771929826	0.7105263157894738	0.8848684210526315
gpt-4o	gaia	10.0	25.0	50.0	0.0	0.26666666666666666	0.25333333333333335	0.26	0.7333333333333333	0.7200000000000001	0.7399999999999999	0.23333333333333336	0.16	0.18000000000000002	0.39999999999999997	0.32	0.32	0.0	0.0	0.0	0.03333333333333333	0.02666666666666667	0.04	0.25333333333333335	0.7200000000000001	0.26	0.7399999999999999
gpt-4o	hotpot	116.0	289.0	578.0	0.0	0.14080459770114942	0.12572087658592848	0.1384083044982699	0.7729885057471265	0.748558246828143	0.7508650519031143	0.44540229885057464	0.42675893886966554	0.43944636678200694	0.5402298850574713	0.5098039215686274	0.5259515570934256	0.10919540229885057	0.10149942329873125	0.1107266435986159	0.16666666666666666	0.16724336793540948	0.16955017301038064	0.42675893886966554	0.748558246828143	0.43944636678200694	0.7508650519031143
gpt-4o	math500	32.0	79.0	157.0	0.0	0.3333333333333333	0.4008438818565401	0.34394904458598724	0.65625	0.6708860759493671	0.6305732484076433	0.3541666666666667	0.3628691983122363	0.34394904458598724	0.3125	0.34177215189873417	0.31210191082802546	0.041666666666666664	0.10548523206751054	0.08917197452229299	0.0625	0.08860759493670885	0.08280254777070063	0.40928270042194087	0.6708860759493671	0.34394904458598724	0.6305732484076433
gpt-4o	mmlu_pro	19.0	46.0	92.0	0.0	0.5263157894736842	0.4057971014492754	0.43478260869565216	0.8245614035087719	0.8840579710144927	0.8586956521739131	0.5789473684210525	0.6376811594202899	0.6086956521739131	0.5964912280701754	0.6739130434782609	0.6521739130434783	0.12280701754385964	0.06521739130434782	0.09782608695652174	0.05263157894736842	0.021739130434782608	0.03260869565217391	0.6376811594202899	0.8840579710144927	0.6086956521739131	0.8586956521739131
gpt-4o	musique	63.0	156.0	312.0	0.0	0.1111111111111111	0.12393162393162394	0.11217948717948718	0.746031746031746	0.7542735042735043	0.7628205128205128	0.3544973544973544	0.40811965811965806	0.4006410256410257	0.4973544973544974	0.5042735042735043	0.5160256410256411	0.05291005291005291	0.06623931623931624	0.0673076923076923	0.09523809523809523	0.09401709401709402	0.09615384615384616	0.40811965811965806	0.7542735042735043	0.4006410256410257	0.7628205128205128
gpt-4o	wikimqa	147.0	367.0	733.0	0.0	0.1360544217687075	0.11080835603996368	0.11869031377899046	0.7755102040816326	0.7792915531335151	0.7789904502046384	0.37414965986394555	0.37420526793823794	0.3710777626193724	0.5215419501133787	0.5358764759309719	0.5238744884038199	0.06575963718820861	0.06811989100817438	0.07094133697135062	0.12018140589569161	0.1444141689373297	0.14188267394270124	0.37420526793823794	0.7792915531335151	0.3710777626193724	0.7789904502046384
gpt-5	arc	61.0	152.0	304.0	0.0	0.7158469945355191	0.7324561403508772	0.7335526315789473	0.9180327868852459	0.9013157894736842	0.8980263157894738	0.8743169398907104	0.8618421052631579	0.8717105263157895	0.8961748633879781	0.8815789473684211	0.8848684210526315	0.9180327868852459	0.8903508771929824	0.8980263157894738	0.9289617486338798	0.899122807017544	0.8980263157894738	0.8903508771929824	0.9035087719298245	0.8980263157894738	0.8980263157894738
gpt-5	gaia	10.0	25.0	50.0	0.0	0.4666666666666666	0.5333333333333333	0.48	0.7000000000000001	0.6000000000000001	0.66	0.5333333333333333	0.4266666666666667	0.48	0.7000000000000001	0.5333333333333333	0.58	0.7333333333333334	0.6933333333333334	0.7200000000000001	0.7333333333333334	0.6266666666666666	0.68	0.6933333333333334	0.6266666666666666	0.7200000000000001	0.68
gpt-5	hotpot	116.0	289.0	578.0	0.0	0.6063218390804598	0.649365628604383	0.6280276816608996	0.8275862068965517	0.7889273356401384	0.7854671280276818	0.5948275862068965	0.6262975778546713	0.615916955017301	0.7327586206896552	0.7254901960784315	0.726643598615917	0.6522988505747126	0.6113033448673587	0.6262975778546713	0.7729885057471265	0.7301038062283737	0.7370242214532872	0.649365628604383	0.7889273356401384	0.6280276816608996	0.7854671280276818
gpt-5	math500	32.0	79.0	157.0	0.0	0.7604166666666666	0.7299578059071731	0.7133757961783439	0.6979166666666666	0.6624472573839663	0.6624203821656051	0.4791666666666667	0.5232067510548523	0.4904458598726114	0.4270833333333333	0.4261603375527427	0.41401273885350315	0.8333333333333334	0.7848101265822786	0.7961783439490446	0.6666666666666666	0.6540084388185654	0.6369426751592356	0.7848101265822786	0.6624472573839663	0.7961783439490446	0.6624203821656051
gpt-5	mmlu_pro	19.0	46.0	92.0	0.0	0.7192982456140351	0.6956521739130435	0.6847826086956522	0.8245614035087719	0.8840579710144927	0.8586956521739131	0.8245614035087719	0.7898550724637682	0.782608695652174	0.7192982456140351	0.7898550724637682	0.7608695652173912	0.8245614035087719	0.8695652173913043	0.8369565217391305	0.7894736842105262	0.8985507246376812	0.8586956521739131	0.8695652173913043	0.8985507246376812	0.8369565217391305	0.8586956521739131
gpt-5	musique	63.0	156.0	312.0	0.0	0.5396825396825397	0.5705128205128206	0.5608974358974359	0.8042328042328042	0.8012820512820514	0.8076923076923078	0.5767195767195766	0.5747863247863249	0.5801282051282052	0.7619047619047619	0.7948717948717948	0.7788461538461539	0.6666666666666666	0.6388888888888888	0.6346153846153846	0.8042328042328042	0.7927350427350427	0.7916666666666666	0.6388888888888888	0.8141025641025642	0.6346153846153846	0.8076923076923078
gpt-5	wikimqa	147.0	367.0	733.0	0.0	0.6122448979591837	0.6112624886466849	0.6057298772169167	0.854875283446712	0.8247048138056313	0.8294679399727148	0.6190476190476191	0.5658492279745686	0.572987721691678	0.7505668934240362	0.7157129881925522	0.7175989085948157	0.6666666666666666	0.617620345140781	0.6302864938608458	0.7732426303854876	0.7429609445958221	0.7503410641200544	0.6212534059945504	0.8247048138056313	0.6302864938608458	0.8294679399727148
