model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca.s42_step@1_val	stepfinder-pca.s42_step@1_test	stepfinder-pca.s42_step@1_full	stepfinder-pca.s42_agent@1_val	stepfinder-pca.s42_agent@1_test	stepfinder-pca.s42_agent@1_full	stepfinder-pca.s43_step@1_val	stepfinder-pca.s43_step@1_test	stepfinder-pca.s43_step@1_full	stepfinder-pca.s43_agent@1_val	stepfinder-pca.s43_agent@1_test	stepfinder-pca.s43_agent@1_full	stepfinder-pca.s44_step@1_val	stepfinder-pca.s44_step@1_test	stepfinder-pca.s44_step@1_full	stepfinder-pca.s44_agent@1_val	stepfinder-pca.s44_agent@1_test	stepfinder-pca.s44_agent@1_full	stepfinder-pca.s45_step@1_val	stepfinder-pca.s45_step@1_test	stepfinder-pca.s45_step@1_full	stepfinder-pca.s45_agent@1_val	stepfinder-pca.s45_agent@1_test	stepfinder-pca.s45_agent@1_full	stepfinder-pca.s46_step@1_val	stepfinder-pca.s46_step@1_test	stepfinder-pca.s46_step@1_full	stepfinder-pca.s46_agent@1_val	stepfinder-pca.s46_agent@1_test	stepfinder-pca.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	hand-crafted	12.0	29.0	58.0	0.0	0.07083333333333333	0.06724137931034482	0.0689655172413793	0.3875	0.3637931034482759	0.3620689655172413	0.07083333333333332	0.07758620689655173	0.0689655172413793	0.37499999999999994	0.42068965517241386	0.4137931034482759	0.12083333333333332	0.10689655172413795	0.12068965517241378	0.3416666666666667	0.30344827586206896	0.3275862068965517	0.05833333333333333	0.07931034482758621	0.0689655172413793	0.4	0.3706896551724138	0.3793103448275862	0.09583333333333331	0.06034482758620689	0.0689655172413793	0.425	0.3965517241379311	0.39655172413793094	0.12413793103448274	0.4379310344827587	0.12068965517241378	0.4137931034482759
qwen3-embedding-0.6b	algorithm-generated	26.0	63.0	126.0	0.0	0.3019230769230769	0.3039682539682539	0.3015873015873015	0.5403846153846154	0.5571428571428572	0.5555555555555556	0.225	0.23888888888888893	0.23015873015873015	0.4576923076923077	0.47777777777777775	0.46825396825396826	0.23076923076923078	0.2444444444444444	0.23809523809523808	0.4519230769230769	0.4714285714285714	0.46825396825396826	0.25000000000000006	0.2626984126984127	0.25396825396825395	0.5038461538461538	0.526984126984127	0.5158730158730159	0.23076923076923075	0.25396825396825395	0.246031746031746	0.44038461538461543	0.4595238095238095	0.4523809523809524	0.3079365079365079	0.569047619047619	0.3015873015873015	0.5555555555555556
qwen3.5-9b	hand-crafted	12.0	29.0	58.0	0.0	0.05833333333333333	0.06896551724137931	0.0689655172413793	0.3541666666666667	0.31724137931034485	0.31034482758620696	0.0875	0.10172413793103448	0.10344827586206898	0.35833333333333334	0.3275862068965517	0.3275862068965517	0.04583333333333333	0.05344827586206896	0.05172413793103449	0.36666666666666664	0.33448275862068966	0.3275862068965517	0.05416666666666666	0.06896551724137931	0.0689655172413793	0.33749999999999997	0.3137931034482759	0.31034482758620696	0.04583333333333333	0.05344827586206896	0.05172413793103449	0.3458333333333333	0.3137931034482758	0.31034482758620696	0.10344827586206898	0.3448275862068965	0.10344827586206898	0.3275862068965517
qwen3.5-9b	algorithm-generated	26.0	63.0	126.0	0.0	0.24999999999999994	0.24761904761904763	0.246031746031746	0.4173076923076923	0.4507936507936508	0.43650793650793657	0.22884615384615387	0.20476190476190476	0.20634920634920637	0.45961538461538465	0.46111111111111114	0.4603174603174603	0.2923076923076923	0.28888888888888886	0.2857142857142857	0.49615384615384617	0.5206349206349206	0.5158730158730159	0.20000000000000004	0.18968253968253967	0.19841269841269843	0.3942307692307693	0.4174603174603174	0.42063492063492064	0.2711538461538462	0.2666666666666666	0.2619047619047619	0.5115384615384616	0.534920634920635	0.5158730158730159	0.292063492063492	0.5460317460317461	0.2857142857142857	0.5158730158730159
deepseek-8b	hand-crafted	12.0	29.0	58.0	0.0	0.029166666666666667	0.06034482758620689	0.05172413793103449	0.35416666666666663	0.33965517241379306	0.3275862068965517	0.07499999999999998	0.09482758620689655	0.08620689655172416	0.36666666666666664	0.33448275862068966	0.3275862068965517	0.05833333333333333	0.07241379310344827	0.0689655172413793	0.36666666666666664	0.33448275862068966	0.3275862068965517	0.05833333333333333	0.09827586206896552	0.08620689655172416	0.3375	0.32241379310344825	0.31034482758620696	0.029166666666666667	0.06034482758620689	0.05172413793103449	0.3375	0.32241379310344825	0.31034482758620696	0.10344827586206898	0.34827586206896555	0.08620689655172416	0.3275862068965517
deepseek-8b	algorithm-generated	26.0	63.0	126.0	0.0	0.2076923076923077	0.2007936507936508	0.19841269841269843	0.425	0.4634920634920635	0.4523809523809524	0.20384615384615384	0.1817460317460317	0.1825396825396825	0.43846153846153857	0.47063492063492063	0.4603174603174603	0.19423076923076926	0.1952380952380952	0.19047619047619052	0.44423076923076926	0.4920634920634921	0.4841269841269841	0.19615384615384615	0.16904761904761906	0.17460317460317457	0.4384615384615385	0.45555555555555555	0.4523809523809524	0.16923076923076924	0.17857142857142855	0.17460317460317457	0.4461538461538462	0.4833333333333333	0.47619047619047616	0.21507936507936506	0.5023809523809524	0.19841269841269843	0.4841269841269841
qwen3.5-4b	hand-crafted	12.0	29.0	58.0	0.0	0.04166666666666667	0.07586206896551724	0.0689655172413793	0.2875	0.2879310344827586	0.2758620689655172	0.08333333333333333	0.10689655172413792	0.10344827586206898	0.3375	0.3206896551724137	0.31034482758620696	0.0875	0.10689655172413792	0.10344827586206898	0.35	0.33793103448275863	0.3275862068965517	0.04166666666666667	0.07586206896551724	0.0689655172413793	0.30833333333333335	0.30862068965517236	0.29310344827586204	0.05416666666666666	0.09482758620689655	0.08620689655172416	0.35000000000000003	0.3396551724137931	0.3275862068965517	0.12241379310344827	0.3448275862068965	0.10344827586206898	0.3275862068965517
qwen3.5-4b	algorithm-generated	26.0	63.0	126.0	0.0	0.23269230769230775	0.20873015873015874	0.22222222222222224	0.5211538461538462	0.5206349206349206	0.5317460317460317	0.21346153846153845	0.18015873015873013	0.19047619047619052	0.4903846153846154	0.4587301587301587	0.46825396825396826	0.24999999999999994	0.2579365079365079	0.25396825396825395	0.5173076923076922	0.5214285714285715	0.5238095238095238	0.20384615384615387	0.18650793650793648	0.19047619047619052	0.4653846153846154	0.47777777777777775	0.47619047619047616	0.21923076923076926	0.2174603174603175	0.21428571428571427	0.49423076923076925	0.5031746031746032	0.5	0.26666666666666666	0.546031746031746	0.25396825396825395	0.5317460317460317
qwen3-14b	hand-crafted	12.0	29.0	58.0	0.0	0.0375	0.05689655172413792	0.05172413793103449	0.3375	0.32241379310344825	0.31034482758620696	0.029166666666666667	0.05689655172413792	0.05172413793103449	0.3375	0.32241379310344825	0.31034482758620696	0.06666666666666665	0.08448275862068966	0.08620689655172416	0.32916666666666666	0.296551724137931	0.29310344827586204	0.016666666666666666	0.041379310344827586	0.03448275862068965	0.3375	0.32241379310344825	0.31034482758620696	0.029166666666666667	0.05689655172413792	0.05172413793103449	0.32500000000000007	0.2948275862068965	0.29310344827586204	0.0879310344827586	0.32241379310344825	0.08620689655172416	0.31034482758620696
qwen3-14b	algorithm-generated	26.0	63.0	126.0	0.0	0.19807692307692307	0.1865079365079365	0.19047619047619052	0.40961538461538466	0.4261904761904762	0.42857142857142855	0.25769230769230766	0.2515873015873016	0.246031746031746	0.4788461538461538	0.47619047619047616	0.47619047619047616	0.22307692307692312	0.2	0.20634920634920637	0.44230769230769235	0.4349206349206349	0.4444444444444445	0.23653846153846153	0.2253968253968254	0.22222222222222224	0.45384615384615384	0.4492063492063492	0.4523809523809524	0.19615384615384618	0.19761904761904764	0.19047619047619052	0.40192307692307694	0.4158730158730159	0.41269841269841273	0.2587301587301587	0.48730158730158724	0.246031746031746	0.47619047619047616
