model	subset	n_val	n_test	n_full	gt_in_prompt	oat.s42_step@1_val	oat.s42_step@1_test	oat.s42_step@1_full	oat.s42_agent@1_val	oat.s42_agent@1_test	oat.s42_agent@1_full	oat.s43_step@1_val	oat.s43_step@1_test	oat.s43_step@1_full	oat.s43_agent@1_val	oat.s43_agent@1_test	oat.s43_agent@1_full	oat.s44_step@1_val	oat.s44_step@1_test	oat.s44_step@1_full	oat.s44_agent@1_val	oat.s44_agent@1_test	oat.s44_agent@1_full	oat.s45_step@1_val	oat.s45_step@1_test	oat.s45_step@1_full	oat.s45_agent@1_val	oat.s45_agent@1_test	oat.s45_agent@1_full	oat.s46_step@1_val	oat.s46_step@1_test	oat.s46_step@1_full	oat.s46_agent@1_val	oat.s46_agent@1_test	oat.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	hand-crafted	12.0	29.0	58.0	0.0	0.0875	0.08448275862068966	0.08620689655172416	0.5291666666666666	0.5844827586206897	0.5517241379310344	0.0875	0.08448275862068966	0.08620689655172416	0.4583333333333333	0.47586206896551725	0.4655172413793102	0.0875	0.08448275862068966	0.08620689655172416	0.4541666666666667	0.5344827586206897	0.5	0.0875	0.08448275862068966	0.08620689655172416	0.5	0.5706896551724138	0.5344827586206897	0.0875	0.08448275862068966	0.08620689655172416	0.5125	0.5310344827586209	0.517241379310345	0.08448275862068966	0.5844827586206897	0.08620689655172416	0.5517241379310344
qwen3.5-9b	algorithm-generated	26.0	63.0	126.0	0.0	0.19999999999999998	0.19603174603174603	0.19841269841269843	0.48269230769230764	0.4626984126984127	0.46825396825396826	0.19615384615384618	0.1841269841269841	0.1825396825396825	0.43269230769230776	0.4198412698412698	0.42063492063492064	0.19615384615384618	0.19126984126984128	0.19047619047619052	0.46153846153846156	0.44523809523809516	0.4444444444444445	0.2057692307692308	0.19365079365079366	0.19841269841269843	0.45384615384615384	0.4333333333333333	0.43650793650793657	0.24807692307692314	0.22380952380952376	0.23015873015873015	0.49615384615384617	0.4746031746031746	0.47619047619047616	0.2253968253968254	0.47857142857142854	0.23015873015873015	0.47619047619047616
deepseek-8b	hand-crafted	12.0	29.0	58.0	0.0	0.14583333333333331	0.16551724137931034	0.15517241379310348	0.5166666666666666	0.5741379310344829	0.5517241379310344	0.12916666666666665	0.14827586206896554	0.1379310344827586	0.525	0.5758620689655173	0.5517241379310344	0.14583333333333331	0.16551724137931034	0.15517241379310348	0.5041666666666667	0.5603448275862069	0.5344827586206897	0.13333333333333333	0.15517241379310348	0.1379310344827586	0.5458333333333334	0.6137931034482759	0.5862068965517241	0.1625	0.16551724137931037	0.15517241379310348	0.5041666666666667	0.5551724137931033	0.5344827586206897	0.17758620689655175	0.6206896551724138	0.15517241379310348	0.5862068965517241
deepseek-8b	algorithm-generated	26.0	63.0	126.0	0.0	0.1557692307692308	0.15	0.15079365079365076	0.4173076923076923	0.44603174603174606	0.4444444444444445	0.13846153846153847	0.15396825396825395	0.15079365079365076	0.37307692307692314	0.4198412698412698	0.41269841269841273	0.15576923076923077	0.1571428571428571	0.1587301587301587	0.40961538461538466	0.44841269841269843	0.4444444444444445	0.14615384615384616	0.14841269841269839	0.15079365079365076	0.3961538461538462	0.43968253968253973	0.43650793650793657	0.16153846153846155	0.16031746031746033	0.1587301587301587	0.40384615384615385	0.43015873015873013	0.42857142857142855	0.16666666666666666	0.45555555555555555	0.1587301587301587	0.4444444444444445
qwen3.5-4b	hand-crafted	12.0	29.0	58.0	0.0	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.6041666666666667	0.6241379310344828	0.6034482758620691	0.0875	0.08448275862068966	0.08620689655172416	0.6125	0.6224137931034484	0.6034482758620691	0.09583333333333335	0.10689655172413795	0.10344827586206898	0.5708333333333333	0.5931034482758621	0.5689655172413792	0.08333333333333333	0.08793103448275862	0.08620689655172416	0.5208333333333333	0.5534482758620689	0.5344827586206897	0.07083333333333332	0.07068965517241378	0.0689655172413793	0.5541666666666667	0.5844827586206897	0.5689655172413792	0.11896551724137931	0.6327586206896552	0.12068965517241378	0.6034482758620691
qwen3.5-4b	algorithm-generated	26.0	63.0	126.0	0.0	0.22307692307692312	0.21111111111111108	0.20634920634920637	0.5057692307692307	0.5142857142857142	0.5079365079365079	0.23653846153846153	0.21507936507936506	0.21428571428571427	0.4788461538461538	0.4642857142857143	0.46825396825396826	0.26538461538461544	0.2507936507936508	0.246031746031746	0.5057692307692307	0.5126984126984127	0.5079365079365079	0.21153846153846154	0.2119047619047619	0.20634920634920637	0.4615384615384615	0.4714285714285714	0.46825396825396826	0.22884615384615387	0.2047619047619047	0.20634920634920637	0.4980769230769231	0.4793650793650793	0.4841269841269841	0.2507936507936508	0.5261904761904761	0.246031746031746	0.5079365079365079
qwen3-14b	hand-crafted	12.0	29.0	58.0	0.0	0.1125	0.16034482758620688	0.1379310344827586	0.5125	0.6137931034482758	0.5689655172413792	0.09999999999999999	0.13275862068965516	0.12068965517241378	0.525	0.6310344827586206	0.5862068965517241	0.10416666666666667	0.14482758620689656	0.12068965517241378	0.4833333333333333	0.6137931034482758	0.5689655172413792	0.14583333333333331	0.19137931034482758	0.17241379310344832	0.5291666666666667	0.6275862068965518	0.5862068965517241	0.1125	0.16034482758620688	0.1379310344827586	0.475	0.5982758620689654	0.5517241379310344	0.19137931034482758	0.6465517241379309	0.17241379310344832	0.5862068965517241
qwen3-14b	algorithm-generated	26.0	63.0	126.0	0.0	0.13461538461538464	0.14761904761904762	0.14285714285714285	0.37884615384615383	0.4246031746031746	0.41269841269841273	0.10769230769230771	0.11587301587301588	0.11111111111111112	0.3846153846153846	0.42698412698412697	0.42063492063492064	0.13846153846153847	0.14841269841269839	0.14285714285714285	0.3942307692307693	0.4222222222222222	0.41269841269841273	0.1346153846153846	0.15079365079365076	0.14285714285714285	0.37115384615384617	0.43730158730158725	0.42063492063492064	0.1326923076923077	0.14126984126984127	0.1349206349206349	0.38846153846153847	0.43809523809523804	0.42063492063492064	0.15634920634920632	0.4531746031746032	0.14285714285714285	0.42063492063492064
qwen3.5-27b	hand-crafted	12.0	29.0	58.0	0.0	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.4	0.47586206896551725	0.4482758620689656	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.4541666666666666	0.5086206896551724	0.48275862068965514	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.5166666666666667	0.5103448275862069	0.5	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.4916666666666666	0.517241379310345	0.5	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.4166666666666668	0.486206896551724	0.4655172413793102	0.11896551724137931	0.5310344827586208	0.12068965517241378	0.5
qwen3.5-27b	algorithm-generated	26.0	63.0	126.0	0.0	0.25384615384615383	0.23412698412698413	0.23015873015873015	0.4865384615384615	0.4738095238095238	0.47619047619047616	0.25192307692307697	0.22777777777777777	0.22222222222222224	0.4884615384615384	0.47698412698412695	0.47619047619047616	0.21346153846153845	0.1984126984126984	0.19047619047619052	0.4884615384615385	0.46984126984126984	0.47619047619047616	0.20576923076923076	0.20634920634920634	0.19841269841269843	0.45384615384615384	0.4531746031746032	0.4523809523809524	0.26346153846153847	0.24365079365079362	0.23809523809523808	0.5269230769230769	0.5095238095238095	0.5158730158730159	0.2444444444444444	0.5095238095238095	0.23809523809523808	0.5158730158730159
