seed	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	17	43	85	False	0.23529411764705882	0.09302325581395349	0.10588235294117647	0.8235294117647058	0.6511627906976745	0.7058823529411765	0.09302325581395349	0.6511627906976745	0.10588235294117647	0.7058823529411765
2	17	43	85	False	0.0	0.13953488372093023	0.10588235294117647	0.7058823529411765	0.627906976744186	0.7058823529411765	0.13953488372093023	0.627906976744186	0.10588235294117647	0.7058823529411765
3	17	43	85	False	0.11764705882352941	0.09302325581395349	0.10588235294117647	0.6470588235294118	0.7906976744186046	0.7058823529411765	0.09302325581395349	0.7906976744186046	0.10588235294117647	0.7058823529411765
4	17	43	85	False	0.11764705882352941	0.06976744186046512	0.10588235294117647	0.7058823529411765	0.7209302325581395	0.7058823529411765	0.06976744186046512	0.7209302325581395	0.10588235294117647	0.7058823529411765
5	17	43	85	False	0.0	0.16279069767441862	0.10588235294117647	0.6470588235294118	0.6744186046511628	0.7058823529411765	0.16279069767441862	0.6744186046511628	0.10588235294117647	0.7058823529411765
6	17	43	85	False	0.058823529411764705	0.13953488372093023	0.10588235294117647	0.6470588235294118	0.6511627906976745	0.7058823529411765	0.13953488372093023	0.6511627906976745	0.10588235294117647	0.7058823529411765
7	17	43	85	False	0.11764705882352941	0.09302325581395349	0.10588235294117647	0.7647058823529411	0.7906976744186046	0.7058823529411765	0.09302325581395349	0.7906976744186046	0.10588235294117647	0.7058823529411765
8	17	43	85	False	0.17647058823529413	0.06976744186046512	0.10588235294117647	0.8823529411764706	0.627906976744186	0.7058823529411765	0.06976744186046512	0.627906976744186	0.10588235294117647	0.7058823529411765
9	17	43	85	False	0.11764705882352941	0.11627906976744186	0.10588235294117647	0.6470588235294118	0.7906976744186046	0.7058823529411765	0.11627906976744186	0.7906976744186046	0.10588235294117647	0.7058823529411765
10	17	43	85	False	0.11764705882352941	0.11627906976744186	0.10588235294117647	0.7647058823529411	0.7209302325581395	0.7058823529411765	0.11627906976744186	0.7209302325581395	0.10588235294117647	0.7058823529411765
11	17	43	85	False	0.23529411764705882	0.11627906976744186	0.10588235294117647	0.7058823529411765	0.7209302325581395	0.7058823529411765	0.11627906976744186	0.7209302325581395	0.10588235294117647	0.7058823529411765
12	17	43	85	False	0.17647058823529413	0.13953488372093023	0.10588235294117647	0.7647058823529411	0.7209302325581395	0.7058823529411765	0.13953488372093023	0.7209302325581395	0.10588235294117647	0.7058823529411765
13	17	43	85	False	0.11764705882352941	0.046511627906976744	0.10588235294117647	0.7647058823529411	0.7906976744186046	0.7058823529411765	0.046511627906976744	0.7906976744186046	0.10588235294117647	0.7058823529411765
14	17	43	85	False	0.058823529411764705	0.09302325581395349	0.10588235294117647	0.6470588235294118	0.7906976744186046	0.7058823529411765	0.09302325581395349	0.7906976744186046	0.10588235294117647	0.7058823529411765
15	17	43	85	False	0.058823529411764705	0.11627906976744186	0.10588235294117647	0.7647058823529411	0.7209302325581395	0.7058823529411765	0.11627906976744186	0.7209302325581395	0.10588235294117647	0.7058823529411765
16	17	43	85	False	0.058823529411764705	0.06976744186046512	0.10588235294117647	0.7647058823529411	0.6511627906976745	0.7058823529411765	0.06976744186046512	0.6511627906976745	0.10588235294117647	0.7058823529411765
17	17	43	85	False	0.11764705882352941	0.11627906976744186	0.10588235294117647	0.7058823529411765	0.7674418604651163	0.7058823529411765	0.11627906976744186	0.7674418604651163	0.10588235294117647	0.7058823529411765
18	17	43	85	False	0.23529411764705882	0.046511627906976744	0.10588235294117647	0.4117647058823529	0.7674418604651163	0.7058823529411765	0.046511627906976744	0.7674418604651163	0.10588235294117647	0.7058823529411765
19	17	43	85	False	0.058823529411764705	0.13953488372093023	0.10588235294117647	0.7647058823529411	0.6046511627906976	0.7058823529411765	0.13953488372093023	0.6046511627906976	0.10588235294117647	0.7058823529411765
20	17	43	85	False	0.11764705882352941	0.09302325581395349	0.10588235294117647	0.6470588235294118	0.627906976744186	0.7058823529411765	0.09302325581395349	0.627906976744186	0.10588235294117647	0.7058823529411765
