model	subset	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	code	26.0	64.0	127.0	1.0	0.06346153846153849	0.053125	0.055118110236220465	0.7365384615384615	0.7296875	0.7322834645669293	0.053125	0.7296875	0.055118110236220465	0.7322834645669293
deepseek-8b	code	26.0	64.0	127.0	1.0	0.01730769230769231	0.01953125	0.015748031496062985	0.23653846153846153	0.2375	0.23622047244094482	0.01953125	0.2375	0.015748031496062985	0.23622047244094482
