model	subset	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	code	26.0	64.0	127.0	0.0	0.16538461538461535	0.1546875	0.16535433070866146	0.826923076923077	0.81796875	0.8188976377952756	0.1546875	0.81796875	0.16535433070866146	0.8188976377952756
deepseek-8b	code	26.0	64.0	127.0	0.0	0.0653846153846154	0.04609375	0.055118110236220465	0.25000000000000006	0.25	0.2440944881889763	0.04609375	0.25	0.055118110236220465	0.2440944881889763
