model	subset	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
gpt-4o	arc	61.0	152.0	304.0	0.0	0.6557377049180327	0.6666666666666666	0.6809210526315791	0.8743169398907104	0.875	0.8717105263157895	0.6666666666666666	0.875	0.6809210526315791	0.8717105263157895
gpt-4o	gaia	10.0	25.0	50.0	0.0	0.39999999999999997	0.26666666666666666	0.28	0.6	0.6933333333333334	0.64	0.26666666666666666	0.6933333333333334	0.28	0.64
gpt-4o	hotpot	116.0	289.0	578.0	0.0	0.14655172413793105	0.1914648212226067	0.18512110726643596	0.75	0.7277970011534025	0.7352941176470589	0.1914648212226067	0.7277970011534025	0.18512110726643596	0.7352941176470589
gpt-4o	math500	32.0	79.0	157.0	0.0	0.3958333333333333	0.48523206751054854	0.4331210191082803	0.5833333333333334	0.649789029535865	0.6050955414012739	0.48523206751054854	0.649789029535865	0.4331210191082803	0.6050955414012739
gpt-4o	mmlu_pro	19.0	46.0	92.0	0.0	0.5789473684210527	0.6086956521739131	0.5978260869565217	0.8070175438596491	0.8985507246376812	0.8586956521739131	0.6086956521739131	0.8985507246376812	0.5978260869565217	0.8586956521739131
gpt-4o	musique	63.0	156.0	312.0	0.0	0.15343915343915343	0.12606837606837606	0.1346153846153846	0.7671957671957671	0.7606837606837606	0.7692307692307693	0.12606837606837606	0.7606837606837606	0.1346153846153846	0.7692307692307693
gpt-4o	wikimqa	147.0	367.0	733.0	0.0	0.14739229024943312	0.13079019073569484	0.14188267394270124	0.7664399092970521	0.7402361489554949	0.7489768076398363	0.13079019073569484	0.7402361489554949	0.14188267394270124	0.7489768076398363
gpt-5	arc	61.0	152.0	304.0	0.0	0.43715846994535523	0.4780701754385965	0.4901315789473684	0.8961748633879781	0.8881578947368421	0.8881578947368421	0.4780701754385965	0.8881578947368421	0.4901315789473684	0.8881578947368421
gpt-5	gaia	10.0	25.0	50.0	0.0	0.3333333333333333	0.3066666666666667	0.32	0.7000000000000001	0.64	0.68	0.3066666666666667	0.64	0.32	0.68
gpt-5	hotpot	116.0	289.0	578.0	0.0	0.30459770114942525	0.328719723183391	0.31141868512110726	0.8304597701149424	0.795847750865052	0.7993079584775087	0.328719723183391	0.795847750865052	0.31141868512110726	0.7993079584775087
gpt-5	math500	32.0	79.0	157.0	0.0	0.2916666666666667	0.26160337552742613	0.2611464968152866	0.6979166666666666	0.6624472573839663	0.6624203821656051	0.26160337552742613	0.6624472573839663	0.2611464968152866	0.6624203821656051
gpt-5	mmlu_pro	19.0	46.0	92.0	0.0	0.2807017543859649	0.36231884057971014	0.33695652173913043	0.8245614035087719	0.9202898550724639	0.8695652173913043	0.36231884057971014	0.9202898550724639	0.33695652173913043	0.8695652173913043
gpt-5	musique	63.0	156.0	312.0	0.0	0.2804232804232804	0.27991452991452986	0.2948717948717949	0.8465608465608465	0.8034188034188036	0.8141025641025642	0.27991452991452986	0.8034188034188036	0.2948717948717949	0.8141025641025642
gpt-5	wikimqa	147.0	367.0	733.0	0.0	0.34240362811791386	0.3333333333333333	0.3328785811732606	0.8412698412698413	0.8292461398728429	0.8294679399727148	0.3333333333333333	0.8292461398728429	0.3328785811732606	0.8294679399727148
