model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder.s42_step@1_val	stepfinder.s42_step@1_test	stepfinder.s42_step@1_full	stepfinder.s42_agent@1_val	stepfinder.s42_agent@1_test	stepfinder.s42_agent@1_full	stepfinder.s43_step@1_val	stepfinder.s43_step@1_test	stepfinder.s43_step@1_full	stepfinder.s43_agent@1_val	stepfinder.s43_agent@1_test	stepfinder.s43_agent@1_full	stepfinder.s44_step@1_val	stepfinder.s44_step@1_test	stepfinder.s44_step@1_full	stepfinder.s44_agent@1_val	stepfinder.s44_agent@1_test	stepfinder.s44_agent@1_full	stepfinder.s45_step@1_val	stepfinder.s45_step@1_test	stepfinder.s45_step@1_full	stepfinder.s45_agent@1_val	stepfinder.s45_agent@1_test	stepfinder.s45_agent@1_full	stepfinder.s46_step@1_val	stepfinder.s46_step@1_test	stepfinder.s46_step@1_full	stepfinder.s46_agent@1_val	stepfinder.s46_agent@1_test	stepfinder.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	code	26.0	64.0	127.0	0.0	0.09230769230769231	0.0625	0.07086614173228348	0.7538461538461538	0.746875	0.7480314960629922	0.11153846153846156	0.1078125	0.11023622047244093	0.7557692307692307	0.775	0.7716535433070867	0.05576923076923077	0.06328125	0.06299212598425194	0.7288461538461537	0.74921875	0.7401574803149608	0.07884615384615384	0.07890625	0.07874015748031497	0.6865384615384614	0.7125	0.7007874015748032	0.06923076923076923	0.059375	0.06299212598425194	0.75	0.77265625	0.7637795275590552	0.11328125	0.790625	0.11023622047244093	0.7716535433070867
qwen3.5-9b	code	26.0	64.0	127.0	0.0	0.040384615384615394	0.0453125	0.04724409448818898	0.1288461538461539	0.1171875	0.12598425196850388	0.028846153846153844	0.021875	0.02362204724409449	0.08846153846153848	0.10625	0.11023622047244093	0.02692307692307692	0.03828125	0.03937007874015749	0.10384615384615384	0.08984375	0.10236220472440945	0.023076923076923078	0.0328125	0.03149606299212597	0.2076923076923077	0.2140625	0.22834645669291334	0.04807692307692308	0.03671875	0.03937007874015749	0.08461538461538462	0.0875	0.09448818897637797	0.0484375	0.2140625	0.04724409448818898	0.22834645669291334
deepseek-8b	code	26.0	64.0	127.0	0.0	0.04807692307692309	0.0421875	0.04724409448818898	0.5326923076923077	0.52421875	0.5354330708661419	0.025	0.02734375	0.02362204724409449	0.10000000000000002	0.11328125	0.11811023622047241	0.1461538461538462	0.1359375	0.14173228346456695	0.46153846153846156	0.47109375	0.48031496062992113	0.13269230769230772	0.103125	0.11023622047244093	0.7807692307692309	0.79765625	0.7795275590551182	0.14615384615384613	0.1296875	0.13385826771653547	0.7596153846153847	0.75859375	0.7559055118110237	0.14765625	0.80078125	0.14173228346456695	0.7795275590551182
qwen3.5-4b	code	26.0	64.0	127.0	0.0	0.038461538461538464	0.028125	0.03149606299212597	0.19038461538461537	0.21015625	0.21259842519685038	0.03461538461538462	0.0328125	0.03149606299212597	0.15000000000000005	0.15859375	0.16535433070866146	0.02692307692307692	0.03828125	0.03937007874015749	0.17692307692307693	0.1796875	0.18897637795275593	0.02692307692307692	0.03828125	0.03937007874015749	0.14807692307692308	0.15	0.15748031496062995	0.02692307692307692	0.03828125	0.03937007874015749	0.11153846153846154	0.1109375	0.11811023622047241	0.04296875	0.2140625	0.03937007874015749	0.21259842519685038
qwen3-14b	code	26.0	64.0	127.0	0.0	0.06346153846153849	0.03515625	0.04724409448818898	0.25	0.2421875	0.25984251968503924	0.030769230769230764	0.02265625	0.02362204724409449	0.35384615384615387	0.36015625	0.35433070866141736	0.08653846153846155	0.06875	0.07874015748031497	0.22115384615384612	0.23203125	0.2440944881889763	0.07884615384615384	0.0625	0.07086614173228348	0.1634615384615385	0.1765625	0.18110236220472445	0.08846153846153847	0.0796875	0.08661417322834647	0.3192307692307692	0.31015625	0.3149606299212599	0.0859375	0.36328125	0.08661417322834647	0.35433070866141736
qwen3.5-27b	code	26.0	64.0	127.0	0.0	0.025	0.021875	0.02362204724409449	0.18846153846153849	0.18828125	0.19685039370078744	0.059615384615384626	0.046875	0.055118110236220465	0.14230769230769233	0.15078125	0.15748031496062995	0.019230769230769235	0.02734375	0.03149606299212597	0.1384615384615385	0.14140625	0.14960629921259846	0.061538461538461556	0.0484375	0.055118110236220465	0.12884615384615386	0.13828125	0.14173228346456695	0.028846153846153844	0.0390625	0.03937007874015749	0.25961538461538464	0.22734375	0.2440944881889763	0.05703125	0.2296875	0.055118110236220465	0.2440944881889763
