model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3-embedding-0.6b	magentic	stepfinder-pca.s42	DONE	91	91	0	0
qwen3-embedding-0.6b	magentic	stepfinder-pca.s43	DONE	91	91	0	0
qwen3-embedding-0.6b	magentic	stepfinder-pca.s44	DONE	91	91	0	0
qwen3-embedding-0.6b	magentic	stepfinder-pca.s45	DONE	91	91	0	0
qwen3-embedding-0.6b	magentic	stepfinder-pca.s46	DONE	91	91	0	0
qwen3-embedding-0.6b	captain	stepfinder-pca.s42	DONE	85	85	0	0
qwen3-embedding-0.6b	captain	stepfinder-pca.s43	DONE	85	85	0	0
qwen3-embedding-0.6b	captain	stepfinder-pca.s44	DONE	85	85	0	0
qwen3-embedding-0.6b	captain	stepfinder-pca.s45	DONE	85	85	0	0
qwen3-embedding-0.6b	captain	stepfinder-pca.s46	DONE	85	85	0	0
qwen3-embedding-0.6b	swe	stepfinder-pca.s42	DONE	44	44	0	0
qwen3-embedding-0.6b	swe	stepfinder-pca.s43	DONE	44	44	0	0
qwen3-embedding-0.6b	swe	stepfinder-pca.s44	DONE	44	44	0	0
qwen3-embedding-0.6b	swe	stepfinder-pca.s45	DONE	44	44	0	0
qwen3-embedding-0.6b	swe	stepfinder-pca.s46	DONE	44	44	0	0
qwen3.5-9b	magentic	stepfinder-pca.s42	DONE	91	91	0	0
qwen3.5-9b	magentic	stepfinder-pca.s43	DONE	91	91	0	0
qwen3.5-9b	magentic	stepfinder-pca.s44	DONE	91	91	0	0
qwen3.5-9b	magentic	stepfinder-pca.s45	DONE	91	91	0	0
qwen3.5-9b	magentic	stepfinder-pca.s46	DONE	91	91	0	0
qwen3.5-9b	captain	stepfinder-pca.s42	DONE	85	85	0	0
qwen3.5-9b	captain	stepfinder-pca.s43	DONE	85	85	0	0
qwen3.5-9b	captain	stepfinder-pca.s44	DONE	85	85	0	0
qwen3.5-9b	captain	stepfinder-pca.s45	DONE	85	85	0	0
qwen3.5-9b	captain	stepfinder-pca.s46	DONE	85	85	0	0
qwen3.5-9b	swe	stepfinder-pca.s42	DONE	44	44	0	0
qwen3.5-9b	swe	stepfinder-pca.s43	DONE	44	44	0	0
qwen3.5-9b	swe	stepfinder-pca.s44	DONE	44	44	0	0
qwen3.5-9b	swe	stepfinder-pca.s45	DONE	44	44	0	0
qwen3.5-9b	swe	stepfinder-pca.s46	DONE	44	44	0	0
deepseek-8b	magentic	stepfinder-pca.s42	DONE	91	91	0	0
