model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder.s42_step@1_val	stepfinder.s42_step@1_test	stepfinder.s42_step@1_full	stepfinder.s42_agent@1_val	stepfinder.s42_agent@1_test	stepfinder.s42_agent@1_full	stepfinder.s43_step@1_val	stepfinder.s43_step@1_test	stepfinder.s43_step@1_full	stepfinder.s43_agent@1_val	stepfinder.s43_agent@1_test	stepfinder.s43_agent@1_full	stepfinder.s44_step@1_val	stepfinder.s44_step@1_test	stepfinder.s44_step@1_full	stepfinder.s44_agent@1_val	stepfinder.s44_agent@1_test	stepfinder.s44_agent@1_full	stepfinder.s45_step@1_val	stepfinder.s45_step@1_test	stepfinder.s45_step@1_full	stepfinder.s45_agent@1_val	stepfinder.s45_agent@1_test	stepfinder.s45_agent@1_full	stepfinder.s46_step@1_val	stepfinder.s46_step@1_test	stepfinder.s46_step@1_full	stepfinder.s46_agent@1_val	stepfinder.s46_agent@1_test	stepfinder.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	hand-crafted	12.0	29.0	58.0	0.0	0.17083333333333334	0.10344827586206898	0.12068965517241378	0.4291666666666666	0.42586206896551715	0.4310344827586207	0.06666666666666667	0.07586206896551724	0.0689655172413793	0.4625	0.48103448275862065	0.48275862068965514	0.13333333333333333	0.11724137931034484	0.12068965517241378	0.4166666666666667	0.43103448275862066	0.4137931034482759	0.11249999999999998	0.08793103448275863	0.10344827586206898	0.3916666666666667	0.3689655172413793	0.3793103448275862	0.14166666666666666	0.11379310344827587	0.12068965517241378	0.35	0.3706896551724138	0.3620689655172413	0.14655172413793102	0.496551724137931	0.12068965517241378	0.48275862068965514
qwen3-embedding-0.6b	algorithm-generated	26.0	63.0	126.0	0.0	0.20000000000000004	0.2214285714285714	0.21428571428571427	0.4807692307692307	0.5055555555555555	0.5	0.25	0.24206349206349204	0.246031746031746	0.475	0.4746031746031746	0.47619047619047616	0.22884615384615384	0.23095238095238094	0.22222222222222224	0.4288461538461538	0.4317460317460317	0.42063492063492064	0.17500000000000002	0.17857142857142855	0.17460317460317457	0.4384615384615385	0.43650793650793657	0.43650793650793657	0.24038461538461542	0.2452380952380952	0.23809523809523808	0.4115384615384616	0.4261904761904762	0.42063492063492064	0.2642857142857143	0.515079365079365	0.246031746031746	0.5
qwen3.5-9b	hand-crafted	12.0	29.0	58.0	0.0	0.0875	0.12758620689655173	0.12068965517241378	0.32500000000000007	0.3137931034482758	0.31034482758620696	0.05	0.07586206896551724	0.0689655172413793	0.35416666666666663	0.33965517241379306	0.3275862068965517	0.11666666666666667	0.1568965517241379	0.15517241379310348	0.4208333333333334	0.45862068965517244	0.4310344827586207	0.029166666666666664	0.04655172413793103	0.05172413793103449	0.33333333333333337	0.30862068965517236	0.31034482758620696	0.09999999999999999	0.12068965517241381	0.12068965517241378	0.3708333333333334	0.37931034482758624	0.3620689655172413	0.16379310344827586	0.45862068965517244	0.15517241379310348	0.4310344827586207
qwen3.5-9b	algorithm-generated	26.0	63.0	126.0	0.0	0.18653846153846154	0.18015873015873018	0.19047619047619052	0.3769230769230769	0.3880952380952381	0.39682539682539686	0.13846153846153847	0.1301587301587301	0.1349206349206349	0.4134615384615385	0.4087301587301588	0.41269841269841273	0.19423076923076926	0.18253968253968253	0.19047619047619052	0.40576923076923077	0.3944444444444444	0.41269841269841273	0.125	0.11904761904761904	0.12698412698412698	0.4115384615384615	0.4134920634920635	0.42063492063492064	0.225	0.23412698412698413	0.23015873015873015	0.4673076923076923	0.503968253968254	0.5	0.2357142857142857	0.5055555555555555	0.23015873015873015	0.5
deepseek-8b	hand-crafted	12.0	29.0	58.0	0.0	0.07499999999999998	0.08793103448275862	0.08620689655172416	0.3916666666666667	0.3551724137931035	0.34482758620689663	0.08333333333333334	0.05517241379310345	0.0689655172413793	0.28750000000000003	0.2724137931034483	0.2758620689655172	0.04166666666666667	0.07758620689655173	0.0689655172413793	0.38750000000000007	0.3517241379310345	0.34482758620689663	0.06666666666666667	0.10862068965517242	0.10344827586206898	0.4041666666666667	0.45172413793103444	0.4310344827586207	0.0875	0.12068965517241378	0.12068965517241378	0.4333333333333333	0.48275862068965514	0.4655172413793102	0.12931034482758622	0.48965517241379314	0.12068965517241378	0.4655172413793102
deepseek-8b	algorithm-generated	26.0	63.0	126.0	0.0	0.21153846153846154	0.21904761904761902	0.20634920634920637	0.4269230769230769	0.4753968253968254	0.4523809523809524	0.2230769230769231	0.2333333333333333	0.22222222222222224	0.4653846153846154	0.5134920634920634	0.5	0.21153846153846154	0.20476190476190476	0.19841269841269843	0.42115384615384616	0.45476190476190476	0.43650793650793657	0.15576923076923083	0.13095238095238093	0.1349206349206349	0.35961538461538456	0.40158730158730166	0.38888888888888895	0.18653846153846157	0.17142857142857143	0.17460317460317457	0.40192307692307694	0.41269841269841273	0.4047619047619048	0.246031746031746	0.5158730158730158	0.22222222222222224	0.5
qwen3.5-4b	hand-crafted	12.0	29.0	58.0	0.0	0.06666666666666665	0.08448275862068964	0.08620689655172416	0.35416666666666663	0.32931034482758625	0.3275862068965517	0.09583333333333331	0.12586206896551722	0.12068965517241378	0.32499999999999996	0.3155172413793103	0.31034482758620696	0.05416666666666666	0.09310344827586206	0.08620689655172416	0.3333333333333333	0.3189655172413793	0.31034482758620696	0.04166666666666667	0.07586206896551724	0.0689655172413793	0.3375	0.32241379310344825	0.31034482758620696	0.06666666666666665	0.11724137931034481	0.10344827586206898	0.3458333333333333	0.3379310344827586	0.3275862068965517	0.13448275862068965	0.34655172413793106	0.12068965517241378	0.3275862068965517
qwen3.5-4b	algorithm-generated	26.0	63.0	126.0	0.0	0.11730769230769234	0.11904761904761903	0.11904761904761904	0.43269230769230776	0.4507936507936508	0.4444444444444445	0.14615384615384613	0.15476190476190474	0.1587301587301587	0.4153846153846154	0.4142857142857143	0.41269841269841273	0.15769230769230771	0.15476190476190474	0.1587301587301587	0.45	0.47619047619047616	0.47619047619047616	0.14423076923076925	0.14126984126984127	0.14285714285714285	0.44807692307692315	0.4523809523809524	0.4523809523809524	0.14038461538461539	0.14285714285714285	0.14285714285714285	0.37500000000000006	0.4023809523809524	0.39682539682539686	0.17380952380952377	0.48571428571428565	0.1587301587301587	0.47619047619047616
qwen3-14b	hand-crafted	12.0	29.0	58.0	0.0	0.11666666666666667	0.15344827586206897	0.15517241379310348	0.5458333333333334	0.5551724137931034	0.5517241379310344	0.06666666666666667	0.0689655172413793	0.0689655172413793	0.3166666666666666	0.2827586206896552	0.2758620689655172	0.0625	0.09310344827586207	0.08620689655172416	0.3	0.28620689655172415	0.2758620689655172	0.10416666666666666	0.1413793103448276	0.1379310344827586	0.375	0.37241379310344824	0.3620689655172413	0.08333333333333333	0.10517241379310345	0.10344827586206898	0.38750000000000007	0.37758620689655176	0.3620689655172413	0.16206896551724143	0.5551724137931034	0.15517241379310348	0.5517241379310344
qwen3-14b	algorithm-generated	26.0	63.0	126.0	0.0	0.22692307692307692	0.19206349206349205	0.19841269841269843	0.5153846153846153	0.4976190476190476	0.5079365079365079	0.2115384615384616	0.19523809523809527	0.19841269841269843	0.44423076923076926	0.4579365079365079	0.4603174603174603	0.2846153846153846	0.24206349206349204	0.25396825396825395	0.5269230769230769	0.5119047619047619	0.5238095238095238	0.23076923076923078	0.20476190476190476	0.21428571428571427	0.4346153846153847	0.45396825396825397	0.4523809523809524	0.25384615384615394	0.24285714285714283	0.246031746031746	0.45961538461538465	0.4825396825396825	0.4841269841269841	0.26428571428571423	0.5333333333333333	0.25396825396825395	0.5238095238095238
