with_gt	judge	subset	method	n_traj	n_costed	n_mismatch	calls_per_traj	prompt_tok_per_traj	out_tok_per_traj	prompt_tok_per_call	truncate_prompt_tokens	step_mode
False	qwen3.5-9b	algorithm-generated	all_at_once	126	126	0	1.0	3672.2	259.2	3672.2		
False	qwen3.5-9b	algorithm-generated	step_by_step	126	126	0	8.722	20298.5	974.3	2327.2		batch
False	qwen3.5-9b	algorithm-generated	binary_search	126	126	0	2.849	5886.4	5.7	2066.0		
False	qwen3.5-9b	algorithm-generated	correct	126	126	0	1.0	4497.8	223.3	4497.8		
False	qwen3.5-9b	algorithm-generated	chief	126	126	0	6.0	32410.0	4256.6	5401.7		
False	qwen3.5-9b	algorithm-generated	errorprobe_paper	126	126	0	4.952	12180.8	1468.9	2459.6	15872	
False	qwen3.5-9b	hand-crafted	all_at_once	58	58	0	1.0	19076.7	250.1	19076.7		
False	qwen3.5-9b	hand-crafted	step_by_step	58	58	0	51.603	817330.9	5475.8	15838.7		batch
False	qwen3.5-9b	hand-crafted	binary_search	58	58	0	4.81	36881.9	9.6	7667.2		
False	qwen3.5-9b	hand-crafted	correct	58	58	0	1.0	26731.3	196.1	26731.3		
False	qwen3.5-9b	hand-crafted	chief	58	58	0	6.0	131889.5	5116.0	21981.6		
False	qwen3.5-9b	hand-crafted	errorprobe_paper	58	58	0	10.241	47849.2	3415.5	4672.1	15872	
False	gpt-4o	algorithm-generated	all_at_once	126	126	0	1.0	3333.8	120.4	3333.8		
False	gpt-4o	algorithm-generated	step_by_step	126	126	0	3.095	3604.7	287.8	1164.6		early_stop
False	gpt-4o	algorithm-generated	binary_search	126	126	0	3.571	7176.4	7.4	2009.4		
False	gpt-4o	algorithm-generated	correct	126	126	1	1.0	4124.5	135.1	4124.5		
False	gpt-4o	algorithm-generated	chief	126	126	0	6.0	32377.9	4431.8	5396.3		
False	gpt-4o	algorithm-generated	errorprobe_paper	126	126	0	5.032	11507.1	1399.2	2286.9		
False	gpt-4o	hand-crafted	all_at_once	58	58	0	1.0	17024.6	111.8	17024.6		
False	gpt-4o	hand-crafted	step_by_step	58	58	0	12.414	47195.8	1155.4	3801.9		early_stop
False	gpt-4o	hand-crafted	binary_search	58	58	0	5.672	36729.2	12.0	6475.1		
False	gpt-4o	hand-crafted	correct	58	58	0	1.0	24408.8	163.0	24408.8		
False	gpt-4o	hand-crafted	chief	58	58	0	6.0	126554.3	5536.3	21092.4		
False	gpt-4o	hand-crafted	errorprobe_paper	58	58	0	10.276	44412.0	3613.8	4322.0		
True	qwen3.5-9b	algorithm-generated	all_at_once	126	126	0	1.0	3687.3		3687.3		
True	qwen3.5-9b	algorithm-generated	step_by_step	126	0	0						
True	qwen3.5-9b	algorithm-generated	binary_search	126	0	0						
True	qwen3.5-9b	algorithm-generated	correct	126	126	0	1.0	4512.9	216.4	4512.9		
True	qwen3.5-9b	algorithm-generated	chief	126	126	0	6.0	32376.4	4169.0	5396.1		
True	qwen3.5-9b	algorithm-generated	errorprobe_paper	126	126	0	4.984	12370.1	1539.9	2481.9	15872	
True	qwen3.5-9b	hand-crafted	all_at_once	58	58	0	1.0	19093.2		19093.2		
True	qwen3.5-9b	hand-crafted	step_by_step	58	0	0						
True	qwen3.5-9b	hand-crafted	binary_search	58	0	0						
True	qwen3.5-9b	hand-crafted	correct	58	58	0	1.0	26747.8	204.4	26747.8		
True	qwen3.5-9b	hand-crafted	chief	58	58	0	6.0	132705.4	5354.0	22117.6		
True	qwen3.5-9b	hand-crafted	errorprobe_paper	58	58	0	10.172	47991.9	3421.7	4717.8	15872	
True	gpt-4o	algorithm-generated	all_at_once	126	126	1	1.0	3347.7	122.8	3347.7		
True	gpt-4o	algorithm-generated	step_by_step	126	126	0	2.619	2914.7	242.7	1112.9		early_stop
True	gpt-4o	algorithm-generated	binary_search	126	126	0	3.54	6949.8	7.4	1963.4		
True	gpt-4o	algorithm-generated	correct	126	126	0	1.0	4138.3	140.3	4138.3		
True	gpt-4o	algorithm-generated	chief	126	126	0	6.0	32593.5	4478.0	5432.2		
True	gpt-4o	algorithm-generated	errorprobe_paper	126	126	0	5.032	11573.0	1413.0	2300.0		
True	gpt-4o	hand-crafted	all_at_once	58	58	0	1.0	17039.8	115.8	17039.8		
True	gpt-4o	hand-crafted	step_by_step	58	58	0	12.431	47072.6	1145.7	3786.7		early_stop
True	gpt-4o	hand-crafted	binary_search	58	58	0	5.638	36915.1	12.1	6547.6		
True	gpt-4o	hand-crafted	correct	58	58	0	1.0	24424.0	157.7	24424.0		
True	gpt-4o	hand-crafted	chief	58	58	0	6.0	126476.4	5471.4	21079.4		
True	gpt-4o	hand-crafted	errorprobe_paper	58	58	0	10.276	44665.5	3647.4	4346.6		
