model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3-embedding-0.6b	arc	stepfinder.s42	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder.s43	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder.s44	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder.s45	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder.s46	DONE	304	304	0	0
qwen3-embedding-0.6b	gaia	stepfinder.s42	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder.s43	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder.s44	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder.s45	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder.s46	DONE	50	50	0	0
qwen3-embedding-0.6b	hotpot	stepfinder.s42	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder.s43	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder.s44	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder.s45	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder.s46	DONE	578	578	0	0
qwen3-embedding-0.6b	math500	stepfinder.s42	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder.s43	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder.s44	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder.s45	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder.s46	DONE	157	157	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder.s42	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder.s43	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder.s44	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder.s45	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder.s46	DONE	92	92	0	0
