model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3-embedding-0.6b	hand-crafted	stepfinder.e1	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e2	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e3	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e4	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e5	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e6	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e7	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e8	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e9	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e10	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e11	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e12	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e13	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e14	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e15	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e16	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e17	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e18	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e19	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder.e20	PARTIAL(41/58)	41	58	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder.e1	PARTIAL(89/126)	89	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder.e2	PARTIAL(89/126)	89	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder.e3	PARTIAL(89/126)	89	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder.e4	PARTIAL(89/126)	89	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder.e5	PARTIAL(89/126)	89	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder.e6	PARTIAL(89/126)	89	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder.e7	PARTIAL(89/126)	89	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder.e8	PARTIAL(89/126)	89	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder.e9	PARTIAL(89/126)	89	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder.e10	PARTIAL(89/126)	89	126	0	0
