seed	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	17	43	85	True	0.11764705882352941	0.046511627906976744	0.07058823529411765	0.7647058823529411	0.6511627906976745	0.6941176470588235	0.046511627906976744	0.6511627906976745	0.07058823529411765	0.6941176470588235
2	17	43	85	True	0.0	0.09302325581395349	0.07058823529411765	0.7058823529411765	0.5813953488372093	0.6941176470588235	0.09302325581395349	0.5813953488372093	0.07058823529411765	0.6941176470588235
3	17	43	85	True	0.058823529411764705	0.09302325581395349	0.07058823529411765	0.6470588235294118	0.813953488372093	0.6941176470588235	0.09302325581395349	0.813953488372093	0.07058823529411765	0.6941176470588235
4	17	43	85	True	0.0	0.11627906976744186	0.07058823529411765	0.7058823529411765	0.6976744186046512	0.6941176470588235	0.11627906976744186	0.6976744186046512	0.07058823529411765	0.6941176470588235
5	17	43	85	True	0.058823529411764705	0.06976744186046512	0.07058823529411765	0.6470588235294118	0.6744186046511628	0.6941176470588235	0.06976744186046512	0.6744186046511628	0.07058823529411765	0.6941176470588235
6	17	43	85	True	0.11764705882352941	0.046511627906976744	0.07058823529411765	0.5882352941176471	0.6511627906976745	0.6941176470588235	0.046511627906976744	0.6511627906976745	0.07058823529411765	0.6941176470588235
7	17	43	85	True	0.058823529411764705	0.06976744186046512	0.07058823529411765	0.7647058823529411	0.7441860465116279	0.6941176470588235	0.06976744186046512	0.7441860465116279	0.07058823529411765	0.6941176470588235
8	17	43	85	True	0.058823529411764705	0.046511627906976744	0.07058823529411765	0.8823529411764706	0.6046511627906976	0.6941176470588235	0.046511627906976744	0.6046511627906976	0.07058823529411765	0.6941176470588235
9	17	43	85	True	0.0	0.11627906976744186	0.07058823529411765	0.6470588235294118	0.7906976744186046	0.6941176470588235	0.11627906976744186	0.7906976744186046	0.07058823529411765	0.6941176470588235
10	17	43	85	True	0.17647058823529413	0.046511627906976744	0.07058823529411765	0.7647058823529411	0.7209302325581395	0.6941176470588235	0.046511627906976744	0.7209302325581395	0.07058823529411765	0.6941176470588235
11	17	43	85	True	0.058823529411764705	0.06976744186046512	0.07058823529411765	0.7058823529411765	0.7209302325581395	0.6941176470588235	0.06976744186046512	0.7209302325581395	0.07058823529411765	0.6941176470588235
12	17	43	85	True	0.17647058823529413	0.023255813953488372	0.07058823529411765	0.8235294117647058	0.6744186046511628	0.6941176470588235	0.023255813953488372	0.6744186046511628	0.07058823529411765	0.6941176470588235
13	17	43	85	True	0.17647058823529413	0.046511627906976744	0.07058823529411765	0.8235294117647058	0.7441860465116279	0.6941176470588235	0.046511627906976744	0.7441860465116279	0.07058823529411765	0.6941176470588235
14	17	43	85	True	0.11764705882352941	0.09302325581395349	0.07058823529411765	0.6470588235294118	0.7674418604651163	0.6941176470588235	0.09302325581395349	0.7674418604651163	0.07058823529411765	0.6941176470588235
15	17	43	85	True	0.11764705882352941	0.06976744186046512	0.07058823529411765	0.7647058823529411	0.6976744186046512	0.6941176470588235	0.06976744186046512	0.6976744186046512	0.07058823529411765	0.6941176470588235
16	17	43	85	True	0.11764705882352941	0.046511627906976744	0.07058823529411765	0.6470588235294118	0.6511627906976745	0.6941176470588235	0.046511627906976744	0.6511627906976745	0.07058823529411765	0.6941176470588235
17	17	43	85	True	0.17647058823529413	0.06976744186046512	0.07058823529411765	0.7058823529411765	0.7441860465116279	0.6941176470588235	0.06976744186046512	0.7441860465116279	0.07058823529411765	0.6941176470588235
18	17	43	85	True	0.058823529411764705	0.09302325581395349	0.07058823529411765	0.4117647058823529	0.7674418604651163	0.6941176470588235	0.09302325581395349	0.7674418604651163	0.07058823529411765	0.6941176470588235
19	17	43	85	True	0.058823529411764705	0.06976744186046512	0.07058823529411765	0.8235294117647058	0.5813953488372093	0.6941176470588235	0.06976744186046512	0.5813953488372093	0.07058823529411765	0.6941176470588235
20	17	43	85	True	0.058823529411764705	0.06976744186046512	0.07058823529411765	0.6470588235294118	0.627906976744186	0.6941176470588235	0.06976744186046512	0.627906976744186	0.07058823529411765	0.6941176470588235
