model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca-tsel.s42_step@1_val	stepfinder-pca-tsel.s42_step@1_test	stepfinder-pca-tsel.s42_step@1_full	stepfinder-pca-tsel.s42_agent@1_val	stepfinder-pca-tsel.s42_agent@1_test	stepfinder-pca-tsel.s42_agent@1_full	stepfinder-pca-tsel.s43_step@1_val	stepfinder-pca-tsel.s43_step@1_test	stepfinder-pca-tsel.s43_step@1_full	stepfinder-pca-tsel.s43_agent@1_val	stepfinder-pca-tsel.s43_agent@1_test	stepfinder-pca-tsel.s43_agent@1_full	stepfinder-pca-tsel.s44_step@1_val	stepfinder-pca-tsel.s44_step@1_test	stepfinder-pca-tsel.s44_step@1_full	stepfinder-pca-tsel.s44_agent@1_val	stepfinder-pca-tsel.s44_agent@1_test	stepfinder-pca-tsel.s44_agent@1_full	stepfinder-pca-tsel.s45_step@1_val	stepfinder-pca-tsel.s45_step@1_test	stepfinder-pca-tsel.s45_step@1_full	stepfinder-pca-tsel.s45_agent@1_val	stepfinder-pca-tsel.s45_agent@1_test	stepfinder-pca-tsel.s45_agent@1_full	stepfinder-pca-tsel.s46_step@1_val	stepfinder-pca-tsel.s46_step@1_test	stepfinder-pca-tsel.s46_step@1_full	stepfinder-pca-tsel.s46_agent@1_val	stepfinder-pca-tsel.s46_agent@1_test	stepfinder-pca-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	hand-crafted	12.0	29.0	58.0	0.0	0.16249999999999998	0.14310344827586208	0.1379310344827586	0.4208333333333333	0.3689655172413794	0.3793103448275862	0.05833333333333333	0.056896551724137934	0.05172413793103449	0.3916666666666667	0.38275862068965516	0.3793103448275862	0.10416666666666666	0.1275862068965517	0.12068965517241378	0.4583333333333333	0.4379310344827586	0.4482758620689656	0.08333333333333331	0.10517241379310345	0.10344827586206898	0.45	0.45517241379310336	0.4482758620689656	0.0875	0.11206896551724137	0.10344827586206898	0.47916666666666663	0.43965517241379304	0.4482758620689656	0.16551724137931037	0.4844827586206897	0.1379310344827586	0.4482758620689656
qwen3-embedding-0.6b	algorithm-generated	26.0	63.0	126.0	0.0	0.326923076923077	0.32698412698412693	0.32539682539682535	0.451923076923077	0.4579365079365079	0.4603174603174603	0.3192307692307692	0.3222222222222222	0.3174603174603174	0.5634615384615385	0.5460317460317461	0.5476190476190477	0.3230769230769231	0.3357142857142857	0.32539682539682535	0.4923076923076922	0.5174603174603174	0.5079365079365079	0.33653846153846156	0.33888888888888885	0.33333333333333326	0.5326923076923077	0.5365079365079365	0.5317460317460317	0.40384615384615385	0.39999999999999997	0.39682539682539686	0.6057692307692306	0.5984126984126983	0.5952380952380951	0.4007936507936507	0.6015873015873014	0.39682539682539686	0.5952380952380951
qwen3.5-9b	hand-crafted	12.0	29.0	58.0	0.0	0.06666666666666665	0.08448275862068964	0.08620689655172416	0.37083333333333335	0.34655172413793106	0.34482758620689663	0.09999999999999999	0.12068965517241378	0.12068965517241378	0.35416666666666663	0.32931034482758625	0.3275862068965517	0.062499999999999986	0.07068965517241378	0.0689655172413793	0.3333333333333333	0.29655172413793107	0.29310344827586204	0.06666666666666667	0.08620689655172413	0.08620689655172416	0.33749999999999997	0.3137931034482759	0.31034482758620696	0.05416666666666666	0.06896551724137931	0.0689655172413793	0.33749999999999997	0.3137931034482759	0.31034482758620696	0.12413793103448274	0.34655172413793106	0.12068965517241378	0.34482758620689663
qwen3.5-9b	algorithm-generated	26.0	63.0	126.0	0.0	0.3057692307692308	0.2698412698412699	0.2777777777777778	0.4999999999999999	0.5158730158730158	0.5158730158730159	0.3019230769230769	0.3142857142857142	0.3095238095238095	0.4923076923076922	0.5277777777777778	0.5238095238095238	0.2653846153846154	0.2650793650793651	0.2698412698412698	0.4673076923076923	0.4746031746031745	0.47619047619047616	0.24038461538461536	0.24682539682539684	0.246031746031746	0.42884615384615393	0.4206349206349206	0.42857142857142855	0.2461538461538461	0.23174603174603176	0.23809523809523808	0.4519230769230769	0.442063492063492	0.4523809523809524	0.315079365079365	0.5349206349206349	0.3095238095238095	0.5238095238095238
deepseek-8b	hand-crafted	12.0	29.0	58.0	0.0	0.029166666666666667	0.06034482758620689	0.05172413793103449	0.3333333333333333	0.3189655172413793	0.31034482758620696	0.09166666666666666	0.11724137931034481	0.10344827586206898	0.45833333333333337	0.46206896551724136	0.4655172413793102	0.08333333333333331	0.10689655172413792	0.10344827586206898	0.35833333333333334	0.353448275862069	0.34482758620689663	0.0875	0.1103448275862069	0.10344827586206898	0.36666666666666664	0.33448275862068966	0.3275862068965517	0.0	0.0	0.0	0.3458333333333333	0.3137931034482758	0.31034482758620696	0.14999999999999997	0.46551724137931033	0.10344827586206898	0.4655172413793102
deepseek-8b	algorithm-generated	26.0	63.0	126.0	0.0	0.26538461538461544	0.24206349206349204	0.246031746031746	0.5134615384615385	0.519047619047619	0.5238095238095238	0.2634615384615385	0.2595238095238095	0.2619047619047619	0.5153846153846154	0.530952380952381	0.5396825396825397	0.3192307692307692	0.30476190476190473	0.3095238095238095	0.5134615384615385	0.5238095238095237	0.5238095238095238	0.23076923076923084	0.21666666666666665	0.21428571428571427	0.4865384615384615	0.5158730158730158	0.5079365079365079	0.22115384615384612	0.2539682539682539	0.23809523809523808	0.4288461538461538	0.4738095238095238	0.4603174603174603	0.3087301587301587	0.5587301587301587	0.3095238095238095	0.5396825396825397
qwen3.5-4b	hand-crafted	12.0	29.0	58.0	0.0	0.05	0.09310344827586206	0.08620689655172416	0.2958333333333333	0.30344827586206896	0.29310344827586204	0.05416666666666666	0.09482758620689655	0.08620689655172416	0.325	0.3258620689655172	0.31034482758620696	0.07499999999999998	0.07758620689655173	0.0689655172413793	0.4333333333333334	0.41034482758620694	0.4137931034482759	0.049999999999999996	0.08965517241379309	0.08620689655172416	0.2958333333333333	0.30344827586206896	0.29310344827586204	0.07916666666666668	0.12586206896551724	0.12068965517241378	0.36249999999999993	0.3551724137931035	0.34482758620689663	0.13275862068965516	0.4224137931034483	0.12068965517241378	0.4137931034482759
qwen3.5-4b	algorithm-generated	26.0	63.0	126.0	0.0	0.24038461538461536	0.2595238095238095	0.2619047619047619	0.46923076923076923	0.48650793650793644	0.492063492063492	0.2461538461538461	0.24999999999999994	0.25396825396825395	0.5057692307692307	0.5230158730158729	0.5238095238095238	0.23461538461538461	0.2722222222222222	0.2619047619047619	0.4884615384615384	0.5285714285714286	0.5238095238095238	0.21153846153846154	0.21825396825396823	0.21428571428571427	0.4884615384615386	0.4912698412698412	0.492063492063492	0.22500000000000003	0.23809523809523808	0.23809523809523808	0.45576923076923076	0.45555555555555555	0.4603174603174603	0.28809523809523807	0.5428571428571428	0.2619047619047619	0.5238095238095238
qwen3-14b	hand-crafted	12.0	29.0	58.0	0.0	0.05833333333333333	0.04310344827586206	0.05172413793103449	0.33749999999999997	0.28793103448275864	0.29310344827586204	0.04583333333333333	0.05344827586206896	0.05172413793103449	0.3458333333333333	0.3137931034482758	0.31034482758620696	0.029166666666666667	0.04310344827586206	0.03448275862068965	0.35416666666666663	0.2982758620689655	0.31034482758620696	0.0	0.0	0.0	0.32500000000000007	0.29482758620689653	0.29310344827586204	0.029166666666666667	0.05689655172413792	0.05172413793103449	0.31666666666666665	0.3017241379310344	0.29310344827586204	0.06724137931034481	0.3327586206896552	0.05172413793103449	0.31034482758620696
qwen3-14b	algorithm-generated	26.0	63.0	126.0	0.0	0.26923076923076916	0.2690476190476191	0.2619047619047619	0.4480769230769231	0.46984126984126984	0.46825396825396826	0.275	0.2587301587301587	0.25396825396825395	0.4519230769230769	0.4801587301587301	0.47619047619047616	0.20961538461538462	0.18730158730158727	0.19047619047619052	0.43269230769230776	0.47698412698412695	0.46825396825396826	0.2596153846153846	0.23968253968253966	0.23809523809523808	0.46153846153846156	0.45555555555555555	0.4603174603174603	0.23846153846153845	0.20555555555555555	0.21428571428571427	0.4480769230769231	0.4507936507936508	0.4523809523809524	0.2777777777777778	0.5007936507936507	0.2619047619047619	0.47619047619047616
qwen3.5-27b	hand-crafted	12.0	29.0	58.0	0.0	0.07499999999999998	0.06724137931034482	0.0689655172413793	0.38333333333333336	0.3517241379310345	0.34482758620689663	0.05833333333333333	0.08103448275862069	0.0689655172413793	0.3458333333333333	0.3137931034482758	0.31034482758620696	0.07499999999999998	0.09137931034482757	0.08620689655172416	0.38333333333333336	0.3517241379310345	0.34482758620689663	0.06666666666666667	0.09655172413793103	0.08620689655172416	0.35416666666666663	0.32931034482758625	0.3275862068965517	0.07499999999999998	0.049999999999999996	0.05172413793103449	0.4208333333333333	0.37413793103448273	0.3793103448275862	0.1086206896551724	0.3844827586206897	0.08620689655172416	0.3793103448275862
qwen3.5-27b	algorithm-generated	26.0	63.0	126.0	0.0	0.28076923076923077	0.2833333333333333	0.2698412698412698	0.46923076923076923	0.46746031746031746	0.46825396825396826	0.23461538461538461	0.22936507936507938	0.22222222222222224	0.4653846153846154	0.4531746031746032	0.4523809523809524	0.2576923076923077	0.26825396825396824	0.2619047619047619	0.4884615384615384	0.4738095238095238	0.4841269841269841	0.2711538461538462	0.2666666666666667	0.2698412698412698	0.5038461538461538	0.5063492063492063	0.5158730158730159	0.24230769230769228	0.2587301587301587	0.25396825396825395	0.42884615384615393	0.45952380952380956	0.4603174603174603	0.29841269841269835	0.5142857142857142	0.2698412698412698	0.5158730158730159
