model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder.s42_step@1_val	stepfinder.s42_step@1_test	stepfinder.s42_step@1_full	stepfinder.s42_agent@1_val	stepfinder.s42_agent@1_test	stepfinder.s42_agent@1_full	stepfinder.s43_step@1_val	stepfinder.s43_step@1_test	stepfinder.s43_step@1_full	stepfinder.s43_agent@1_val	stepfinder.s43_agent@1_test	stepfinder.s43_agent@1_full	stepfinder.s44_step@1_val	stepfinder.s44_step@1_test	stepfinder.s44_step@1_full	stepfinder.s44_agent@1_val	stepfinder.s44_agent@1_test	stepfinder.s44_agent@1_full	stepfinder.s45_step@1_val	stepfinder.s45_step@1_test	stepfinder.s45_step@1_full	stepfinder.s45_agent@1_val	stepfinder.s45_agent@1_test	stepfinder.s45_agent@1_full	stepfinder.s46_step@1_val	stepfinder.s46_step@1_test	stepfinder.s46_step@1_full	stepfinder.s46_agent@1_val	stepfinder.s46_agent@1_test	stepfinder.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	arc	61.0	152.0	304.0	0.0	0.4426229508196721	0.3991228070175439	0.40131578947368424	0.5628415300546449	0.5065789473684211	0.49671052631578955	0.32786885245901637	0.34649122807017546	0.34868421052631576	0.42622950819672134	0.418859649122807	0.42105263157894735	0.5683060109289618	0.5416666666666667	0.5526315789473685	0.6830601092896175	0.6271929824561403	0.631578947368421	0.4207650273224044	0.4254385964912281	0.40789473684210525	0.5355191256830601	0.5065789473684211	0.4901315789473684	0.5245901639344263	0.46491228070175444	0.49671052631578955	0.6502732240437159	0.5548245614035087	0.5789473684210527	0.5416666666666667	0.6271929824561403	0.5526315789473685	0.631578947368421
qwen3-embedding-0.6b	gaia	10.0	25.0	50.0	0.0	0.3666666666666667	0.26666666666666666	0.3	0.6	0.5466666666666667	0.58	0.30000000000000004	0.17333333333333334	0.20000000000000004	0.6	0.3866666666666667	0.46	0.3	0.3066666666666667	0.3	0.6333333333333333	0.6133333333333334	0.62	0.3666666666666667	0.32	0.32	0.5333333333333333	0.56	0.56	0.3666666666666667	0.22666666666666668	0.26	0.6666666666666666	0.5733333333333334	0.62	0.3333333333333333	0.6133333333333334	0.32	0.62
qwen3-embedding-0.6b	hotpot	116.0	289.0	578.0	0.0	0.21551724137931036	0.22376009227220298	0.21626297577854672	0.6954022988505747	0.6966551326412919	0.6920415224913494	0.1839080459770115	0.21337946943483277	0.20761245674740483	0.6609195402298851	0.6597462514417531	0.6608996539792388	0.3103448275862069	0.314878892733564	0.3166089965397924	0.6695402298850576	0.6620530565167243	0.6626297577854672	0.264367816091954	0.2883506343713956	0.28546712802768165	0.6436781609195402	0.657439446366782	0.6557093425605537	0.1867816091954023	0.209919261822376	0.21453287197231838	0.6666666666666666	0.6712802768166091	0.6678200692041522	0.31833910034602075	0.6966551326412919	0.3166089965397924	0.6920415224913494
qwen3-embedding-0.6b	math500	32.0	79.0	157.0	0.0	0.3229166666666667	0.4177215189873418	0.375796178343949	0.46875	0.5021097046413502	0.4777070063694267	0.19791666666666666	0.22784810126582278	0.21656050955414016	0.3125	0.27848101265822783	0.29936305732484075	0.46875	0.5991561181434599	0.5222929936305732	0.5625	0.5907172995780591	0.5605095541401274	0.3854166666666667	0.4388185654008439	0.4076433121019109	0.4895833333333333	0.4936708860759494	0.47133757961783446	0.4895833333333333	0.5738396624472574	0.5286624203821656	0.5625	0.5780590717299577	0.5477707006369427	0.6033755274261604	0.5907172995780591	0.5286624203821656	0.5605095541401274
qwen3-embedding-0.6b	mmlu_pro	19.0	46.0	92.0	0.0	0.15789473684210525	0.2028985507246377	0.20652173913043478	0.3508771929824561	0.4710144927536232	0.44565217391304346	0.15789473684210525	0.13768115942028986	0.15217391304347827	0.3859649122807018	0.3768115942028985	0.3804347826086956	0.3684210526315789	0.40579710144927533	0.41304347826086957	0.4561403508771929	0.5797101449275363	0.5652173913043478	0.14035087719298245	0.2246376811594203	0.1956521739130435	0.2807017543859649	0.4202898550724638	0.3804347826086956	0.2807017543859649	0.2898550724637681	0.2826086956521739	0.47368421052631576	0.49275362318840576	0.47826086956521746	0.40579710144927533	0.5797101449275363	0.41304347826086957	0.5652173913043478
qwen3-embedding-0.6b	musique	63.0	156.0	312.0	0.0	0.1851851851851852	0.16666666666666666	0.17307692307692304	0.6931216931216931	0.6880341880341879	0.6955128205128206	0.12698412698412698	0.1730769230769231	0.15705128205128205	0.6243386243386243	0.6025641025641025	0.6282051282051282	0.2698412698412698	0.30128205128205127	0.28205128205128205	0.6772486772486772	0.6752136752136751	0.6634615384615384	0.25396825396825395	0.2628205128205128	0.26282051282051283	0.6666666666666666	0.6923076923076924	0.6826923076923078	0.15873015873015872	0.16666666666666666	0.16025641025641027	0.6613756613756614	0.6688034188034188	0.6794871794871794	0.30128205128205127	0.6987179487179488	0.28205128205128205	0.6955128205128206
qwen3-embedding-0.6b	wikimqa	147.0	367.0	733.0	0.0	0.18367346938775508	0.13987284287011806	0.15416098226466576	0.6938775510204082	0.6639418710263396	0.6766712141882674	0.12471655328798185	0.13169845594913718	0.12687585266030013	0.6507936507936508	0.623069936421435	0.635743519781719	0.30385487528344673	0.27520435967302453	0.2892223738062756	0.709750566893424	0.6603088101725704	0.679399727148704	0.2698412698412698	0.24704813805631246	0.25648021828103684	0.6802721088435374	0.6594005449591279	0.6671214188267395	0.17233560090702948	0.16348773841961853	0.16371077762619374	0.6598639455782312	0.6412352406902815	0.6507503410641201	0.27520435967302453	0.6657584014532244	0.2892223738062756	0.679399727148704
qwen3.5-9b	arc	61.0	152.0	304.0	0.0	0.31693989071038253	0.34210526315789475	0.34868421052631576	0.4644808743169399	0.4583333333333333	0.46381578947368424	0.3060109289617486	0.28508771929824556	0.2894736842105263	0.39890710382513656	0.37719298245614036	0.37828947368421045	0.3770491803278688	0.3355263157894737	0.3519736842105263	0.4754098360655738	0.43421052631578944	0.4375	0.3169398907103825	0.3530701754385965	0.33881578947368424	0.46994535519125685	0.4583333333333333	0.44078947368421045	0.28961748633879775	0.31798245614035087	0.3157894736842105	0.40983606557377045	0.41008771929824567	0.40789473684210525	0.3530701754385965	0.46052631578947373	0.3519736842105263	0.46381578947368424
qwen3.5-9b	gaia	10.0	25.0	50.0	0.0	0.4000000000000001	0.28	0.3	0.6333333333333333	0.5333333333333333	0.56	0.4000000000000001	0.3066666666666667	0.32	0.7666666666666666	0.6533333333333333	0.68	0.4666666666666666	0.41333333333333333	0.42	0.8000000000000002	0.6133333333333334	0.68	0.2333333333333333	0.18666666666666668	0.16	0.5666666666666667	0.5066666666666667	0.5	0.4333333333333333	0.32	0.34	0.7000000000000001	0.5866666666666667	0.62	0.41333333333333333	0.6533333333333333	0.42	0.68
qwen3.5-9b	hotpot	116.0	289.0	578.0	0.0	0.28160919540229884	0.27681660899653976	0.27335640138408307	0.7241379310344828	0.7012687427912341	0.6955017301038063	0.24425287356321843	0.2364475201845444	0.24048442906574394	0.6982758620689656	0.6608996539792388	0.671280276816609	0.2902298850574712	0.28027681660899656	0.27335640138408307	0.6609195402298851	0.6401384083044982	0.6418685121107266	0.12931034482758622	0.16032295271049596	0.15051903114186851	0.6551724137931035	0.6516724336793541	0.6453287197231834	0.27586206896551724	0.29642445213379465	0.2837370242214533	0.6810344827586207	0.6816608996539792	0.6816608996539792	0.29642445213379465	0.7012687427912341	0.2837370242214533	0.6955017301038063
