seed	n_val	n_test	n_full	gt_in_prompt	stepfinder.s42_step@1_val	stepfinder.s42_step@1_test	stepfinder.s42_step@1_full	stepfinder.s42_agent@1_val	stepfinder.s42_agent@1_test	stepfinder.s42_agent@1_full	stepfinder.s43_step@1_val	stepfinder.s43_step@1_test	stepfinder.s43_step@1_full	stepfinder.s43_agent@1_val	stepfinder.s43_agent@1_test	stepfinder.s43_agent@1_full	stepfinder.s44_step@1_val	stepfinder.s44_step@1_test	stepfinder.s44_step@1_full	stepfinder.s44_agent@1_val	stepfinder.s44_agent@1_test	stepfinder.s44_agent@1_full	stepfinder.s45_step@1_val	stepfinder.s45_step@1_test	stepfinder.s45_step@1_full	stepfinder.s45_agent@1_val	stepfinder.s45_agent@1_test	stepfinder.s45_agent@1_full	stepfinder.s46_step@1_val	stepfinder.s46_step@1_test	stepfinder.s46_step@1_full	stepfinder.s46_agent@1_val	stepfinder.s46_agent@1_test	stepfinder.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	116	289	578	False	0.1810344827586207	0.23875432525951557	0.20588235294117646	0.6551724137931034	0.698961937716263	0.6851211072664359	0.1896551724137931	0.2179930795847751	0.21280276816608998	0.646551724137931	0.6608996539792388	0.6608996539792388	0.27586206896551724	0.3391003460207612	0.3166089965397924	0.6293103448275862	0.671280276816609	0.6643598615916955	0.23275862068965517	0.29411764705882354	0.2906574394463668	0.5689655172413793	0.671280276816609	0.657439446366782	0.1724137931034483	0.23183391003460208	0.21453287197231835	0.5948275862068966	0.6885813148788927	0.6660899653979239	0.3391003460207612	0.698961937716263	0.3166089965397924	0.6851211072664359
2	116	289	578	False	0.20689655172413793	0.20761245674740483	0.20588235294117646	0.6982758620689655	0.6851211072664359	0.6851211072664359	0.16379310344827586	0.23183391003460208	0.21280276816608998	0.6896551724137931	0.6262975778546713	0.6608996539792388	0.31896551724137934	0.30103806228373703	0.3166089965397924	0.7155172413793104	0.6366782006920415	0.6643598615916955	0.3017241379310345	0.3079584775086505	0.2906574394463668	0.6810344827586207	0.6470588235294118	0.657439446366782	0.20689655172413793	0.1972318339100346	0.21453287197231835	0.6982758620689655	0.643598615916955	0.6660899653979239	0.3079584775086505	0.6851211072664359	0.3166089965397924	0.6851211072664359
3	116	289	578	False	0.21551724137931033	0.19377162629757785	0.20588235294117646	0.7413793103448276	0.6782006920415224	0.6851211072664359	0.20689655172413793	0.20069204152249134	0.21280276816608998	0.6379310344827587	0.6816608996539792	0.6608996539792388	0.3103448275862069	0.3079584775086505	0.3166089965397924	0.6637931034482759	0.6782006920415224	0.6643598615916955	0.29310344827586204	0.2768166089965398	0.2906574394463668	0.6637931034482759	0.6678200692041523	0.657439446366782	0.1896551724137931	0.21107266435986158	0.21453287197231835	0.7068965517241379	0.6782006920415224	0.6660899653979239	0.3079584775086505	0.6816608996539792	0.3166089965397924	0.6851211072664359
