model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3-embedding-0.6b	arc	stepfinder-tsel.s42	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder-tsel.s43	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder-tsel.s44	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder-tsel.s45	DONE	304	304	0	0
qwen3-embedding-0.6b	arc	stepfinder-tsel.s46	DONE	304	304	0	0
qwen3-embedding-0.6b	gaia	stepfinder-tsel.s42	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder-tsel.s43	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder-tsel.s44	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder-tsel.s45	DONE	50	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder-tsel.s46	DONE	50	50	0	0
qwen3-embedding-0.6b	hotpot	stepfinder-tsel.s42	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder-tsel.s43	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder-tsel.s44	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder-tsel.s45	DONE	578	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder-tsel.s46	DONE	578	578	0	0
qwen3-embedding-0.6b	math500	stepfinder-tsel.s42	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder-tsel.s43	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder-tsel.s44	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder-tsel.s45	DONE	157	157	0	0
qwen3-embedding-0.6b	math500	stepfinder-tsel.s46	DONE	157	157	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder-tsel.s42	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder-tsel.s43	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder-tsel.s44	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder-tsel.s45	DONE	92	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder-tsel.s46	DONE	92	92	0	0
qwen3-embedding-0.6b	musique	stepfinder-tsel.s42	DONE	312	312	0	0
qwen3-embedding-0.6b	musique	stepfinder-tsel.s43	DONE	312	312	0	0
qwen3-embedding-0.6b	musique	stepfinder-tsel.s44	DONE	312	312	0	0
qwen3-embedding-0.6b	musique	stepfinder-tsel.s45	DONE	312	312	0	0
qwen3-embedding-0.6b	musique	stepfinder-tsel.s46	DONE	312	312	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder-tsel.s42	DONE	733	733	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder-tsel.s43	DONE	733	733	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder-tsel.s44	DONE	733	733	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder-tsel.s45	DONE	733	733	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder-tsel.s46	DONE	733	733	0	0
qwen3.5-9b	arc	stepfinder-tsel.s42	DONE	304	304	0	0
qwen3.5-9b	arc	stepfinder-tsel.s43	DONE	304	304	0	0
qwen3.5-9b	arc	stepfinder-tsel.s44	DONE	304	304	0	0
qwen3.5-9b	arc	stepfinder-tsel.s45	DONE	304	304	0	0
qwen3.5-9b	arc	stepfinder-tsel.s46	DONE	304	304	0	0
qwen3.5-9b	gaia	stepfinder-tsel.s42	DONE	50	50	0	0
qwen3.5-9b	gaia	stepfinder-tsel.s43	DONE	50	50	0	0
qwen3.5-9b	gaia	stepfinder-tsel.s44	DONE	50	50	0	0
qwen3.5-9b	gaia	stepfinder-tsel.s45	DONE	50	50	0	0
qwen3.5-9b	gaia	stepfinder-tsel.s46	DONE	50	50	0	0
qwen3.5-9b	hotpot	stepfinder-tsel.s42	DONE	578	578	0	0
qwen3.5-9b	hotpot	stepfinder-tsel.s43	DONE	578	578	0	0
qwen3.5-9b	hotpot	stepfinder-tsel.s44	DONE	578	578	0	0
qwen3.5-9b	hotpot	stepfinder-tsel.s45	DONE	578	578	0	0
qwen3.5-9b	hotpot	stepfinder-tsel.s46	DONE	578	578	0	0
qwen3.5-9b	math500	stepfinder-tsel.s42	DONE	157	157	0	0
qwen3.5-9b	math500	stepfinder-tsel.s43	DONE	157	157	0	0
qwen3.5-9b	math500	stepfinder-tsel.s44	DONE	157	157	0	0
qwen3.5-9b	math500	stepfinder-tsel.s45	DONE	157	157	0	0
qwen3.5-9b	math500	stepfinder-tsel.s46	DONE	157	157	0	0
qwen3.5-9b	mmlu_pro	stepfinder-tsel.s42	DONE	92	92	0	0
qwen3.5-9b	mmlu_pro	stepfinder-tsel.s43	DONE	92	92	0	0
qwen3.5-9b	mmlu_pro	stepfinder-tsel.s44	DONE	92	92	0	0
qwen3.5-9b	mmlu_pro	stepfinder-tsel.s45	DONE	92	92	0	0
qwen3.5-9b	mmlu_pro	stepfinder-tsel.s46	DONE	92	92	0	0
qwen3.5-9b	musique	stepfinder-tsel.s42	DONE	312	312	0	0
qwen3.5-9b	musique	stepfinder-tsel.s43	DONE	312	312	0	0
qwen3.5-9b	musique	stepfinder-tsel.s44	DONE	312	312	0	0
qwen3.5-9b	musique	stepfinder-tsel.s45	DONE	312	312	0	0
qwen3.5-9b	musique	stepfinder-tsel.s46	DONE	312	312	0	0
qwen3.5-9b	wikimqa	stepfinder-tsel.s42	DONE	733	733	0	0
qwen3.5-9b	wikimqa	stepfinder-tsel.s43	DONE	733	733	0	0
qwen3.5-9b	wikimqa	stepfinder-tsel.s44	DONE	733	733	0	0
qwen3.5-9b	wikimqa	stepfinder-tsel.s45	DONE	733	733	0	0
qwen3.5-9b	wikimqa	stepfinder-tsel.s46	DONE	733	733	0	0
deepseek-8b	arc	stepfinder-tsel.s42	DONE	304	304	0	0
deepseek-8b	arc	stepfinder-tsel.s43	DONE	304	304	0	0
deepseek-8b	arc	stepfinder-tsel.s44	DONE	304	304	0	0
deepseek-8b	arc	stepfinder-tsel.s45	DONE	304	304	0	0
deepseek-8b	arc	stepfinder-tsel.s46	DONE	304	304	0	0
deepseek-8b	gaia	stepfinder-tsel.s42	DONE	50	50	0	0
deepseek-8b	gaia	stepfinder-tsel.s43	DONE	50	50	0	0
deepseek-8b	gaia	stepfinder-tsel.s44	DONE	50	50	0	0
deepseek-8b	gaia	stepfinder-tsel.s45	DONE	50	50	0	0
deepseek-8b	gaia	stepfinder-tsel.s46	DONE	50	50	0	0
deepseek-8b	hotpot	stepfinder-tsel.s42	DONE	578	578	0	0
deepseek-8b	hotpot	stepfinder-tsel.s43	DONE	578	578	0	0
deepseek-8b	hotpot	stepfinder-tsel.s44	DONE	578	578	0	0
deepseek-8b	hotpot	stepfinder-tsel.s45	DONE	578	578	0	0
