model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder.e1_step@1_val	stepfinder.e1_step@1_test	stepfinder.e1_step@1_full	stepfinder.e1_agent@1_val	stepfinder.e1_agent@1_test	stepfinder.e1_agent@1_full	stepfinder.e2_step@1_val	stepfinder.e2_step@1_test	stepfinder.e2_step@1_full	stepfinder.e2_agent@1_val	stepfinder.e2_agent@1_test	stepfinder.e2_agent@1_full	stepfinder.e3_step@1_val	stepfinder.e3_step@1_test	stepfinder.e3_step@1_full	stepfinder.e3_agent@1_val	stepfinder.e3_agent@1_test	stepfinder.e3_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	arc	61.0	152.0	304.0	0.0	0.6666666666666666	0.649122807017544	0.5789473684210527	0.7158469945355191	0.6951754385964911	0.6151315789473685	0.639344262295082	0.6535087719298246	0.569078947368421	0.6557377049180328	0.662280701754386	0.5756578947368421	0.7049180327868853	0.6228070175438597	0.5657894736842105	0.7486338797814208	0.6732456140350878	0.5953947368421053	0.8070175438596491	0.8486842105263158	0.5789473684210527	0.6151315789473685
qwen3-embedding-0.6b	gaia	10.0	25.0	50.0	0.0	0.4000000000000001	0.3466666666666667	0.34	0.5333333333333333	0.48	0.46	0.43333333333333335	0.4666666666666666	0.38000000000000006	0.5666666666666665	0.45333333333333337	0.42	0.4666666666666666	0.52	0.44	0.5333333333333333	0.49333333333333335	0.44	0.5733333333333334	0.6000000000000001	0.44	0.46
qwen3-embedding-0.6b	hotpot	116.0	289.0	578.0	0.0	0.3879310344827586	0.4013840830449827	0.3460207612456747	0.5316091954022989	0.5340253748558247	0.4671280276816609	0.42241379310344823	0.4002306805074971	0.3546712802768166	0.5804597701149424	0.5444059976931949	0.4809688581314879	0.3850574712643678	0.40484429065743943	0.35640138408304506	0.5545977011494253	0.5547866205305652	0.4844290657439447	0.5040369088811995	0.6701268742791234	0.35640138408304506	0.4844290657439447
qwen3-embedding-0.6b	math500	32.0	79.0	157.0	0.0	0.5	0.5358649789029536	0.45859872611464975	0.46875	0.48101265822784817	0.41401273885350315	0.4895833333333333	0.5063291139240506	0.43949044585987257	0.4895833333333333	0.459915611814346	0.4076433121019109	0.5	0.5147679324894515	0.44585987261146504	0.5	0.5274261603375527	0.4522292993630573	0.6540084388185653	0.6075949367088608	0.45859872611464975	0.4522292993630573
qwen3-embedding-0.6b	mmlu_pro	19.0	46.0	92.0	0.0	0.47368421052631576	0.5434782608695653	0.4673913043478261	0.5263157894736842	0.6231884057971014	0.532608695652174	0.5614035087719298	0.5362318840579711	0.5108695652173914	0.5614035087719298	0.6304347826086957	0.5543478260869565	0.543859649122807	0.5289855072463768	0.5	0.5789473684210527	0.5869565217391304	0.5434782608695652	0.7028985507246377	0.7971014492753623	0.5108695652173914	0.5543478260869565
qwen3-embedding-0.6b	musique	63.0	156.0	312.0	0.0	0.39153439153439146	0.38888888888888884	0.3397435897435897	0.566137566137566	0.6025641025641025	0.5160256410256411	0.37566137566137564	0.3846153846153846	0.3269230769230769	0.5502645502645502	0.5897435897435898	0.5064102564102564	0.41798941798941797	0.4123931623931624	0.358974358974359	0.5873015873015873	0.5833333333333334	0.5032051282051282	0.48504273504273504	0.717948717948718	0.358974358974359	0.5160256410256411
qwen3-embedding-0.6b	wikimqa	147.0	367.0	733.0	0.0	0.24489795918367344	0.20980926430517713	0.1964529331514325	0.43990929705215415	0.4196185286103542	0.383356070941337	0.2925170068027211	0.29336966394187103	0.2551159618008186	0.5034013605442177	0.4868301544050862	0.42701227830832195	0.08616780045351474	0.07356948228882836	0.06548431105047749	0.35147392290249435	0.3623978201634877	0.32060027285129605	0.29336966394187103	0.5313351498637603	0.2551159618008186	0.42701227830832195
