seed	method	n_val	n_test	step@1_val	step@1_test	agent@1_val	agent@1_test
1	stepfinder.e1	18.0	46.0	0.1666666666666666	0.108695652173913	0.5555555555555556	0.5652173913043478
2	stepfinder.e2	18.0	46.0	0.0555555555555555	0.0652173913043478	0.5	0.5652173913043478
3	stepfinder.e3	18.0	46.0	0.2222222222222222	0.0652173913043478	0.7222222222222222	0.5869565217391305
4	stepfinder.e4	18.0	46.0	0.1111111111111111	0.0434782608695652	0.7222222222222222	0.6521739130434783
5	stepfinder.e5	18.0	46.0	0.0555555555555555	0.108695652173913	0.6111111111111112	0.5652173913043478
6	stepfinder.e6	18.0	46.0	0.1666666666666666	0.0434782608695652	0.6666666666666666	0.6521739130434783
7	stepfinder.e7	18.0	46.0	0.1666666666666666	0.108695652173913	0.6111111111111112	0.6739130434782609
8	stepfinder.e8	18.0	46.0	0.0555555555555555	0.1304347826086956	0.5555555555555556	0.5652173913043478
9	stepfinder.e9	18.0	46.0	0.0555555555555555	0.0869565217391304	0.3333333333333333	0.5217391304347826
10	stepfinder.e10	18.0	46.0	0.1111111111111111	0.0869565217391304	0.4444444444444444	0.4565217391304347
11	stepfinder.e11	18.0	46.0	0.1111111111111111	0.0869565217391304	0.3333333333333333	0.5652173913043478
12	stepfinder.e12	18.0	46.0	0.2222222222222222	0.1521739130434782	0.5555555555555556	0.6956521739130435
13	stepfinder.e13	18.0	46.0	0.1111111111111111	0.0869565217391304	0.6666666666666666	0.6304347826086957
14	stepfinder.e14	18.0	46.0	0.2222222222222222	0.0869565217391304	0.7777777777777778	0.4782608695652174
15	stepfinder.e15	18.0	46.0	0.2222222222222222	0.0434782608695652	0.7222222222222222	0.5869565217391305
16	stepfinder.e16	18.0	46.0	0.0	0.1304347826086956	0.5	0.5
17	stepfinder.e17	18.0	46.0	0.1111111111111111	0.0652173913043478	0.6111111111111112	0.6521739130434783
18	stepfinder.e18	18.0	46.0	0.0	0.0652173913043478	0.7222222222222222	0.6304347826086957
19	stepfinder.e19	18.0	46.0	0.1111111111111111	0.0652173913043478	0.5555555555555556	0.5217391304347826
20	stepfinder.e20	18.0	46.0	0.0555555555555555	0.108695652173913	0.7222222222222222	0.5
mean	diagonal	18.0	46.0	0.11666666666666665	0.08695652173913042	0.5944444444444443	0.5782608695652174
