model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	magentic	correct	DONE	91	91	0	0
qwen3.5-9b	captain	correct	DONE	85	85	0	0
deepseek-8b	magentic	correct	DONE	91	91	0	11
deepseek-8b	captain	correct	DONE	85	85	0	10
gpt-4o	magentic	correct	DONE	91	91	0	2
gpt-4o	captain	correct	DONE	85	85	0	2
gpt-5	magentic	correct	DONE	91	91	0	0
gpt-5	captain	correct	DONE	85	85	0	0
